bin_low_gev,bin_high_gev,value,error
3.46600000000000023e+02,5.37934999999999945e+02,5.39353871673346703e+02,1.90745234205726888e+01
5.37934999999999945e+02,7.29269999999999982e+02,1.67095181061196570e+02,8.08095185669072791e+00
7.29269999999999982e+02,9.20605000000000018e+02,4.19869377835090347e+01,2.77022821256018581e+00
9.20605000000000018e+02,1.11194000000000005e+03,1.26945671708379333e+01,1.05153070616901378e+00
1.11194000000000005e+03,1.30327500000000009e+03,4.24578719489336631e+00,3.73759942429982561e-01
1.30327499999999986e+03,1.49460999999999990e+03,1.78864454211284474e+00,1.95563198265416127e-01
1.49460999999999990e+03,1.68594499999999994e+03,4.83749770688411740e-01,5.64855366463349676e-02
1.68594499999999994e+03,1.87727999999999997e+03,2.24097748362473398e-01,2.82788484477200439e-02
1.87727999999999975e+03,2.06861499999999978e+03,8.39022610839815497e-02,1.18421841795593990e-02
2.06861499999999978e+03,2.25994999999999982e+03,4.62548213899173360e-02,8.56628267116802886e-03
2.25994999999999982e+03,2.45128499999999985e+03,2.11206350010685051e-02,3.56869482048142832e-03
2.45128499999999985e+03,2.64261999999999989e+03,9.70668360076024257e-03,1.34578891398898616e-03
2.64261999999999989e+03,2.83395499999999993e+03,3.82442781957712929e-03,6.17957230055957174e-04
2.83395499999999993e+03,3.02528999999999996e+03,2.08096018853725674e-03,5.25140714535279364e-04
3.02528999999999996e+03,3.21662500000000000e+03,1.37951205980811728e-03,4.00123952901994240e-04
3.21662499999999955e+03,3.40795999999999958e+03,3.36974577171030726e-04,8.50821170730417276e-05
3.40795999999999958e+03,3.59929499999999962e+03,8.13621316073344033e-05,2.35017283462928988e-05
3.59929499999999962e+03,3.79062999999999965e+03,2.22309056404468643e-05,9.94487286634224779e-06
3.79062999999999965e+03,3.98196499999999969e+03,-3.00716231751560015e-06,3.41072953995276968e-06
3.98196499999999969e+03,4.17329999999999927e+03,-9.02131490247860705e-06,2.01623889993130048e-06
4.17329999999999927e+03,4.36463499999999931e+03,-1.27567888633166899e-05,2.17889800864608283e-06
4.36463499999999931e+03,4.55596999999999935e+03,-8.81428998508854970e-06,1.18822670618576513e-06
4.55596999999999935e+03,4.74730499999999938e+03,-6.57214241241165827e-06,6.80778667835862297e-07
4.74730499999999938e+03,4.93863999999999942e+03,-4.20369608134793547e-06,5.60852745802455404e-07
4.93863999999999942e+03,5.12997499999999945e+03,-2.80681514452131135e-06,3.24778641511801362e-07
5.12997499999999945e+03,5.32130999999999949e+03,-1.59352998364984505e-06,1.83673868282643253e-07
5.32130999999999949e+03,5.51264499999999953e+03,-9.65031933791976842e-07,1.11941908283961927e-07
5.51264499999999953e+03,5.70397999999999956e+03,-4.54162333662180902e-07,5.57592963050307570e-08
5.70397999999999956e+03,5.89531499999999960e+03,-2.86035325574745386e-07,3.21673896995412916e-08
5.89531499999999960e+03,6.08664999999999964e+03,-1.05905728831728691e-07,1.35406713968733629e-08
6.08664999999999964e+03,6.27798499999999967e+03,-4.66354842089746441e-08,5.97927603705790198e-09
6.27798499999999967e+03,6.46931999999999971e+03,-1.95673595633922597e-08,2.56595997996898942e-09
6.46931999999999971e+03,6.66065499999999975e+03,-8.52648434025990305e-09,1.07013476935829030e-09
6.66065499999999975e+03,6.85198999999999978e+03,-3.34219496219484205e-09,4.55190039478330408e-10
6.85198999999999978e+03,7.04332499999999982e+03,-8.92763555183564140e-10,2.42362626152423416e-10
7.04332499999999891e+03,7.23465999999999894e+03,-3.29746385971308975e-10,5.31325285441988749e-11
7.23465999999999894e+03,7.42599499999999898e+03,-5.85232166733534178e-11,1.49363117015275368e-11
7.42599499999999898e+03,7.61732999999999902e+03,-9.72549643769619697e-12,1.64311523604201142e-12
7.61732999999999902e+03,7.80866499999999905e+03,-6.68057185496045485e-13,1.30832247656306767e-13
7.80866499999999905e+03,7.99999999999999909e+03,-5.32921773734907618e-15,1.42274049153872707e-15
