bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,3.21206974210176943e+00,2.43047573301446884e-01
3.46666666666666686e+02,3.58333333333333371e+02,2.21941645092931850e+02,4.20065702008358777e+00
3.58333333333333314e+02,3.70000000000000000e+02,3.70689428561503973e+02,6.83234593421847247e+00
3.70000000000000000e+02,3.81666666666666686e+02,4.21503686603105052e+02,7.90807870626705967e+00
3.81666666666666686e+02,3.93333333333333371e+02,4.54768632360432036e+02,8.71940583233047484e+00
3.93333333333333314e+02,4.05000000000000000e+02,4.38849684556475381e+02,8.49834539912422038e+00
4.05000000000000000e+02,4.16666666666666686e+02,4.32037463299281569e+02,8.73384951206466376e+00
4.16666666666666686e+02,4.28333333333333371e+02,4.23102199362656052e+02,8.57349966836845923e+00
4.28333333333333314e+02,4.40000000000000000e+02,3.92794462662750050e+02,8.65856800148280392e+00
4.40000000000000000e+02,4.51666666666666686e+02,3.70489502766066380e+02,8.24784976869442232e+00
4.51666666666666686e+02,4.63333333333333371e+02,3.43344017639730509e+02,7.49660471104619930e+00
4.63333333333333314e+02,4.75000000000000000e+02,3.27667646444237448e+02,7.61916427967926957e+00
4.75000000000000000e+02,4.86666666666666686e+02,2.90512912461058079e+02,6.97039127090454347e+00
4.86666666666666629e+02,4.98333333333333314e+02,2.66311391827343243e+02,6.12862553232464702e+00
4.98333333333333314e+02,5.10000000000000000e+02,2.55108258322889554e+02,5.98915332831645220e+00
5.10000000000000000e+02,5.21666666666666629e+02,2.20423767686472843e+02,5.51321279337128090e+00
5.21666666666666629e+02,5.33333333333333258e+02,2.03277012635278908e+02,5.14594843169554483e+00
5.33333333333333371e+02,5.45000000000000000e+02,2.01273884088415855e+02,5.12175695815441490e+00
5.45000000000000000e+02,5.56666666666666629e+02,1.70352518738253650e+02,4.52799775596459586e+00
5.56666666666666629e+02,5.68333333333333258e+02,1.64322240714225643e+02,4.56621124699445957e+00
5.68333333333333371e+02,5.80000000000000000e+02,1.49529804629809490e+02,3.93990255789918153e+00
5.80000000000000000e+02,5.91666666666666629e+02,1.34431028044723035e+02,3.89769385874505225e+00
5.91666666666666629e+02,6.03333333333333258e+02,1.27217853103280561e+02,3.83527404406713712e+00
6.03333333333333371e+02,6.15000000000000000e+02,1.09648166393101718e+02,3.15912368878947136e+00
6.15000000000000000e+02,6.26666666666666629e+02,9.79671280635009509e+01,2.73086112862712937e+00
6.26666666666666629e+02,6.38333333333333258e+02,8.85541933493125981e+01,2.53590598682230173e+00
6.38333333333333371e+02,6.50000000000000000e+02,8.42826004479212827e+01,2.42032910295911519e+00
6.50000000000000000e+02,6.61666666666666629e+02,7.64764029883777852e+01,2.26176642187579224e+00
6.61666666666666629e+02,6.73333333333333258e+02,6.93110531868588140e+01,2.08386621887666790e+00
6.73333333333333258e+02,6.84999999999999886e+02,6.59199015672210464e+01,1.93110394394834506e+00
6.85000000000000000e+02,6.96666666666666629e+02,5.84821368853613706e+01,1.77436636625574273e+00
6.96666666666666629e+02,7.08333333333333258e+02,5.25015697578963056e+01,1.65308514795918438e+00
7.08333333333333258e+02,7.19999999999999886e+02,4.88470912558308541e+01,1.56086766420185752e+00
7.20000000000000000e+02,7.31666666666666629e+02,4.63270287211871050e+01,1.55089051258047483e+00
7.31666666666666629e+02,7.43333333333333258e+02,4.16115510049844417e+01,1.44124061225455047e+00
7.43333333333333258e+02,7.54999999999999886e+02,3.67958689289370682e+01,1.17113074884565260e+00
7.55000000000000000e+02,7.66666666666666629e+02,3.49389465733120872e+01,1.07417014152254042e+00
7.66666666666666629e+02,7.78333333333333258e+02,3.04053082984912315e+01,9.63668107014345798e-01
7.78333333333333258e+02,7.89999999999999886e+02,2.92407393668555144e+01,1.00065141347519515e+00
7.90000000000000000e+02,8.01666666666666629e+02,2.76540310700939358e+01,1.01855286187356531e+00
8.01666666666666629e+02,8.13333333333333258e+02,2.40305432773442291e+01,8.66860195972195435e-01
8.13333333333333258e+02,8.24999999999999886e+02,2.28243847454789588e+01,8.24870312995436672e-01
8.25000000000000000e+02,8.36666666666666629e+02,2.19462614071963600e+01,8.13983671392241037e-01
8.36666666666666629e+02,8.48333333333333258e+02,1.89569469401960760e+01,6.90524312272828067e-01
8.48333333333333258e+02,8.59999999999999886e+02,1.68259481971754425e+01,6.21200307732633461e-01
8.60000000000000000e+02,8.71666666666666629e+02,1.60038718010089021e+01,5.84377873666584779e-01
8.71666666666666629e+02,8.83333333333333258e+02,1.46853188760659812e+01,6.08322258018567097e-01
8.83333333333333258e+02,8.94999999999999886e+02,1.33963327968521444e+01,4.84583458259825850e-01
8.95000000000000000e+02,9.06666666666666629e+02,1.32082785948616568e+01,4.95157267077853736e-01
9.06666666666666629e+02,9.18333333333333258e+02,1.22409579013950758e+01,4.65166486932954981e-01
9.18333333333333258e+02,9.29999999999999886e+02,1.10389060548916849e+01,4.28631057352667710e-01
9.30000000000000000e+02,9.41666666666666629e+02,1.05929654639939521e+01,4.39162726511207580e-01
9.41666666666666629e+02,9.53333333333333258e+02,9.47282858909568581e+00,4.02984037485518476e-01
9.53333333333333258e+02,9.64999999999999886e+02,8.71830540869690651e+00,3.47063486315622616e-01
9.65000000000000000e+02,9.76666666666666629e+02,7.68169949501498994e+00,3.05173356984689836e-01
9.76666666666666629e+02,9.88333333333333258e+02,7.61978342376611284e+00,3.31119353813760564e-01
9.88333333333333258e+02,9.99999999999999886e+02,7.15800301529633209e+00,2.89870262964163738e-01
