bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,5.36264003975801362e+00,2.91320163689161360e-01,4.23642971935856139e+00,6.91514570435639886e+00
3.46666666666666686e+02,3.58333333333333371e+02,3.90140094209097185e+02,5.05338164150722324e+00,3.07564628850532586e+02,5.04272218037199650e+02
3.58333333333333314e+02,3.70000000000000000e+02,6.19011750554436162e+02,7.84702505745350543e+00,4.85932199108467785e+02,8.03858584339944741e+02
3.70000000000000000e+02,3.81666666666666686e+02,6.85379757712609830e+02,8.99282509716626421e+00,5.36082622474711570e+02,8.93659764357640825e+02
3.81666666666666686e+02,3.93333333333333371e+02,7.26757015333323579e+02,9.65001087256386469e+00,5.66570545374441394e+02,9.51149193362722372e+02
3.93333333333333314e+02,4.05000000000000000e+02,7.24482090214371851e+02,9.85577013940867097e+00,5.63081538225019358e+02,9.51425412709203215e+02
4.05000000000000000e+02,4.16666666666666686e+02,7.05779075673039529e+02,9.78823275661898151e+00,5.46910000060269340e+02,9.29986440104168651e+02
4.16666666666666686e+02,4.28333333333333371e+02,6.65844842040653930e+02,9.50686106332287473e+00,5.14477600806984469e+02,8.80218283577281454e+02
4.28333333333333314e+02,4.40000000000000000e+02,6.46160912303327109e+02,9.27291566341952489e+00,4.98002756343924602e+02,8.56673640759500131e+02
4.40000000000000000e+02,4.51666666666666686e+02,5.97362805675254776e+02,8.86787741064124901e+00,4.59293731615643196e+02,7.94144110980515848e+02
4.51666666666666686e+02,4.63333333333333371e+02,5.49954962055950659e+02,8.34556988270406208e+00,4.21818018116105350e+02,7.33149119058868223e+02
4.63333333333333314e+02,4.75000000000000000e+02,5.22146168878677258e+02,8.00234859236793206e+00,3.99598033940971504e+02,6.97837119058573876e+02
4.75000000000000000e+02,4.86666666666666686e+02,4.73852946792345278e+02,7.48930453207719715e+00,3.61813049488873844e+02,6.34952551837607530e+02
4.86666666666666629e+02,4.98333333333333314e+02,4.37794332463164153e+02,7.07879665745930353e+00,3.33539175135425182e+02,5.88126620604135837e+02
4.98333333333333314e+02,5.10000000000000000e+02,4.08393484186005253e+02,6.65351980744305038e+00,3.10543686320179063e+02,5.49842476997569747e+02
5.10000000000000000e+02,5.21666666666666629e+02,3.70992364892465901e+02,6.18211894046167121e+00,2.81596880619948934e+02,5.00524580114021830e+02
5.21666666666666629e+02,5.33333333333333258e+02,3.40985159830532609e+02,5.76486441619630252e+00,2.58258873896191290e+02,4.61176171224330801e+02
5.33333333333333371e+02,5.45000000000000000e+02,2.99556241020750406e+02,5.28645646735887009e+00,2.26432374359045042e+02,4.06076512762534776e+02
5.45000000000000000e+02,5.56666666666666629e+02,2.96926150287360656e+02,5.16789687104810458e+00,2.24046062709340475e+02,4.03322908918509313e+02
5.56666666666666629e+02,5.68333333333333258e+02,2.66780782242047735e+02,4.75436258616784269e+00,2.00953904017732953e+02,3.63097096471156590e+02
5.68333333333333371e+02,5.80000000000000000e+02,2.46165288852560820e+02,4.49444159482198469e+00,1.85063598812611417e+02,3.35788327958972502e+02
5.80000000000000000e+02,5.91666666666666629e+02,2.20521407274480026e+02,4.13490703374878699e+00,1.65523513982564708e+02,3.01360471167166452e+02
5.91666666666666629e+02,6.03333333333333258e+02,2.00659743870629740e+02,3.81861521607030241e+00,1.50368348426140983e+02,2.74736918450598580e+02
6.03333333333333371e+02,6.15000000000000000e+02,1.84017983161176460e+02,3.61097082285825222e+00,1.37681413294970326e+02,2.52404796403477036e+02
6.15000000000000000e+02,6.26666666666666629e+02,1.71268677187579726e+02,3.39768916678042876e+00,1.27919197672999260e+02,2.35388955412003497e+02
6.26666666666666629e+02,6.38333333333333258e+02,1.51155361912174868e+02,3.03101317382566648e+00,1.12720797105601150e+02,2.08123323033010820e+02
6.38333333333333371e+02,6.50000000000000000e+02,1.39469032845462067e+02,2.91269675950582752e+00,1.03853480185240144e+02,1.92364860589806625e+02
6.50000000000000000e+02,6.61666666666666629e+02,1.34700099005308545e+02,2.78818347856793602e+00,1.00154660981373297e+02,1.86095756222014955e+02
6.61666666666666629e+02,6.73333333333333258e+02,1.16419523099091336e+02,2.48037027344484029e+00,8.64497245104891334e+01,1.61089633534851913e+02
6.73333333333333258e+02,6.84999999999999886e+02,1.07404262732451741e+02,2.31278521127201486e+00,7.96526488196905831e+01,1.48839328399075157e+02
6.85000000000000000e+02,6.96666666666666629e+02,1.01535293609356600e+02,2.24967678319616171e+00,7.51488044837354181e+01,1.41022572364734970e+02
6.96666666666666629e+02,7.08333333333333258e+02,9.05081913489801195e+01,2.05133381622499300e+00,6.68873137588732902e+01,1.25926094705942845e+02
7.08333333333333258e+02,7.19999999999999886e+02,8.77161625224299115e+01,1.96610984181673576e+00,6.47505797285228653e+01,1.22201949206664068e+02
7.20000000000000000e+02,7.31666666666666629e+02,7.81972383913186064e+01,1.78793918083418157e+00,5.76388458838606041e+01,1.09128727547883315e+02
