bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,1.14371317610779197e+01,4.46837476965047331e-01,9.41782079672764105e+00,1.40944793191409268e+01
3.46666666666666686e+02,3.58333333333333371e+02,6.47063798504467400e+02,6.66726903493816092e+00,5.57183739808043129e+02,7.49199488794681770e+02
3.58333333333333314e+02,3.70000000000000000e+02,9.94878131297343089e+02,1.04760024370339853e+01,8.59639724522064171e+02,1.14453665867578184e+03
3.70000000000000000e+02,3.81666666666666686e+02,1.08733962725759420e+03,1.20686371172243678e+01,9.45813014678066338e+02,1.23656871721415109e+03
3.81666666666666686e+02,3.93333333333333371e+02,1.14230324048326793e+03,1.31309015950996706e+01,9.92575241288592906e+02,1.29915896706123590e+03
3.93333333333333314e+02,4.05000000000000000e+02,1.11635736230114867e+03,1.31680542865590358e+01,9.72276232855926651e+02,1.26324197042743185e+03
4.05000000000000000e+02,4.16666666666666686e+02,1.07781671111270634e+03,1.33134879130552459e+01,9.41004116831877127e+02,1.21319645282413194e+03
4.16666666666666686e+02,4.28333333333333371e+02,1.01574846514659509e+03,1.30791675067428592e+01,8.87390659858328377e+02,1.14058328007448972e+03
4.28333333333333314e+02,4.40000000000000000e+02,9.72256361835894268e+02,1.29056409503166147e+01,8.47283263217186800e+02,1.09436942701802150e+03
4.40000000000000000e+02,4.51666666666666686e+02,9.02367974425292118e+02,1.23604710695174465e+01,7.86283467253817548e+02,1.01457689822290490e+03
4.51666666666666686e+02,4.63333333333333371e+02,8.26852906621818761e+02,1.14770925171044436e+01,7.20679729539364189e+02,9.28195243772088929e+02
4.63333333333333314e+02,4.75000000000000000e+02,7.81272204187098168e+02,1.13191635347756154e+01,6.79688143076172764e+02,8.78471156051026355e+02
4.75000000000000000e+02,4.86666666666666686e+02,6.99811185103738694e+02,1.05331108734281926e+01,6.11790587527928551e+02,7.79640085145928424e+02
4.86666666666666629e+02,4.98333333333333314e+02,6.39571656665416072e+02,9.66199676487083359e+00,5.57000232181119486e+02,7.16426016033358906e+02
4.98333333333333314e+02,5.10000000000000000e+02,6.02108179021359092e+02,9.25055495215904244e+00,5.24606387299250173e+02,6.72746280973005128e+02
5.10000000000000000e+02,5.21666666666666629e+02,5.35211727236746128e+02,8.56910188664739003e+00,4.66625367772456343e+02,5.96751348251152081e+02
5.21666666666666629e+02,5.33333333333333258e+02,4.90742320420799103e+02,7.99257205674139737e+00,4.27434664716435236e+02,5.47553140626296567e+02
5.33333333333333371e+02,5.45000000000000000e+02,4.56155973553276340e+02,7.55341071114227525e+00,3.96701110609500631e+02,5.09670046603633182e+02
5.45000000000000000e+02,5.56666666666666629e+02,4.17325878644419333e+02,7.17605583673099545e+00,3.63641245197455419e+02,4.64038161202550555e+02
5.56666666666666629e+02,5.68333333333333258e+02,3.84623015697483766e+02,6.86992702567520119e+00,3.33826357737258149e+02,4.30047738920814425e+02
5.68333333333333371e+02,5.80000000000000000e+02,3.54741089104663047e+02,6.21748518356721025e+00,3.07624080215358731e+02,3.96817749832499544e+02
5.80000000000000000e+02,5.91666666666666629e+02,3.11930239261716736e+02,5.96581485004539225e+00,2.72045769963039163e+02,3.45178868487128568e+02
5.91666666666666629e+02,6.03333333333333258e+02,2.92759430783245023e+02,5.66269760210369810e+00,2.54929496236559856e+02,3.24500968996416248e+02
6.03333333333333371e+02,6.15000000000000000e+02,2.58288586500578560e+02,5.01758488867898045e+00,2.25302263073581031e+02,2.85087219972747789e+02
6.15000000000000000e+02,6.26666666666666629e+02,2.36744736191892912e+02,4.58976477576648811e+00,2.05440870550841908e+02,2.63467954745219913e+02
6.26666666666666629e+02,6.38333333333333258e+02,2.09125673815614022e+02,4.16808786101164941e+00,1.83519768957368427e+02,2.27922812803904378e+02
6.38333333333333371e+02,6.50000000000000000e+02,1.97361585259958787e+02,3.96960209607746117e+00,1.72761374126869526e+02,2.15792960059905113e+02
6.50000000000000000e+02,6.61666666666666629e+02,1.83333463703343511e+02,3.86666462135345279e+00,1.59518833803668485e+02,2.02373813651351611e+02
6.61666666666666629e+02,6.73333333333333258e+02,1.62677404602396308e+02,3.44135409325868702e+00,1.41974558342011449e+02,1.78488900218590942e+02
6.73333333333333258e+02,6.84999999999999886e+02,1.51221608713794353e+02,3.27402526125417381e+00,1.32081117139850022e+02,1.65516824221351413e+02
6.85000000000000000e+02,6.96666666666666629e+02,1.40919708678701795e+02,3.03251742011647307e+00,1.22639085654987881e+02,1.55004700763186833e+02
6.96666666666666629e+02,7.08333333333333258e+02,1.21356364782707828e+02,2.87601269369507939e+00,1.06319906412529264e+02,1.31834424196217526e+02
7.08333333333333258e+02,7.19999999999999886e+02,1.17699383239918760e+02,2.76564196490945324e+00,1.02729361002916519e+02,1.28518204730091497e+02
7.20000000000000000e+02,7.31666666666666629e+02,1.06054688967719727e+02,2.58934877210075243e+00,9.31606936178539229e+01,1.14324856845629625e+02
