bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,6.38688611914091875e-01,1.29806377173504156e-01
3.46666666666666686e+02,3.58333333333333371e+02,1.93866855222510281e+01,9.25603118729165564e-01
3.58333333333333314e+02,3.70000000000000000e+02,1.36516656808244043e+01,1.14011160283609914e+00
3.70000000000000000e+02,3.81666666666666686e+02,3.47719934194842217e+00,1.45884573154088892e+00
3.81666666666666686e+02,3.93333333333333371e+02,-6.31507041996534202e+00,1.77858458848715539e+00
3.93333333333333314e+02,4.05000000000000000e+02,-7.46483582290957948e+00,1.97748767342687315e+00
4.05000000000000000e+02,4.16666666666666686e+02,-1.49688607251014307e+01,2.23299565292354218e+00
4.16666666666666686e+02,4.28333333333333371e+02,-2.58758074996268341e+01,2.63999805428879863e+00
4.28333333333333314e+02,4.40000000000000000e+02,-1.77870300314103318e+01,2.31360047816130887e+00
4.40000000000000000e+02,4.51666666666666686e+02,-1.74048987977305814e+01,2.41968881252447954e+00
4.51666666666666686e+02,4.63333333333333371e+02,-1.77399354358464159e+01,2.36475102178949648e+00
4.63333333333333314e+02,4.75000000000000000e+02,-2.11248497591506101e+01,2.39700886147784731e+00
4.75000000000000000e+02,4.86666666666666686e+02,-1.78227804366428337e+01,2.44525931092114224e+00
4.86666666666666629e+02,4.98333333333333314e+02,-2.04755228678576735e+01,2.32562656806079326e+00
4.98333333333333314e+02,5.10000000000000000e+02,-1.88442457499058271e+01,2.27191713005503582e+00
5.10000000000000000e+02,5.21666666666666629e+02,-1.61102875158114180e+01,2.13597805802889207e+00
5.21666666666666629e+02,5.33333333333333258e+02,-1.55003020103399134e+01,1.98267641891557145e+00
5.33333333333333371e+02,5.45000000000000000e+02,-9.41896923037969280e+00,1.63223690107109909e+00
5.45000000000000000e+02,5.56666666666666629e+02,-1.69312153614816019e+01,2.02282337133556922e+00
5.56666666666666629e+02,5.68333333333333258e+02,-1.55117243414259391e+01,1.88843037188308549e+00
5.68333333333333371e+02,5.80000000000000000e+02,-1.15928507967333800e+01,1.66434596385259592e+00
5.80000000000000000e+02,5.91666666666666629e+02,-1.54286803639924450e+01,1.77556676657841406e+00
5.91666666666666629e+02,6.03333333333333258e+02,-9.22874686728101068e+00,1.62563224678442442e+00
6.03333333333333371e+02,6.15000000000000000e+02,-1.19368520461743461e+01,1.42909425121803513e+00
6.15000000000000000e+02,6.26666666666666629e+02,-1.02021012048929816e+01,1.39983674516100276e+00
6.26666666666666629e+02,6.38333333333333258e+02,-1.01363424581531749e+01,1.28922728301067591e+00
6.38333333333333371e+02,6.50000000000000000e+02,-6.71665896749342561e+00,1.15321830326002339e+00
6.50000000000000000e+02,6.61666666666666629e+02,-1.00474598084851738e+01,1.41024126204842770e+00
6.61666666666666629e+02,6.73333333333333258e+02,-6.74524927845504063e+00,1.13337637628729415e+00
6.73333333333333258e+02,6.84999999999999886e+02,-6.81158240790438008e+00,1.25835746191341569e+00
6.85000000000000000e+02,6.96666666666666629e+02,-4.52974873661652833e+00,9.66619013601280885e-01
6.96666666666666629e+02,7.08333333333333258e+02,-8.06358374474137918e+00,1.13336750966000555e+00
7.08333333333333258e+02,7.19999999999999886e+02,-6.23949112306784670e+00,1.14256918610213920e+00
7.20000000000000000e+02,7.31666666666666629e+02,-6.81311204268854897e+00,1.03240167166841768e+00
7.31666666666666629e+02,7.43333333333333258e+02,-3.40800539339138764e+00,6.35670458152812867e-01
7.43333333333333258e+02,7.54999999999999886e+02,-4.92345180547786132e+00,7.96315808691603788e-01
7.55000000000000000e+02,7.66666666666666629e+02,-5.42785138128217870e+00,8.64255117963427355e-01
7.66666666666666629e+02,7.78333333333333258e+02,-4.02157544207682882e+00,6.44260840867139306e-01
7.78333333333333258e+02,7.89999999999999886e+02,-4.61736446587408711e+00,7.75631961938654357e-01
7.90000000000000000e+02,8.01666666666666629e+02,-3.91841252652481442e+00,6.25709135495898683e-01
8.01666666666666629e+02,8.13333333333333258e+02,-4.21349586335108572e+00,6.81555596224822424e-01
8.13333333333333258e+02,8.24999999999999886e+02,-4.53884737792334558e+00,7.24975451195411624e-01
8.25000000000000000e+02,8.36666666666666629e+02,-2.83076170565514440e+00,5.55629631741297536e-01
8.36666666666666629e+02,8.48333333333333258e+02,-4.99052533316716929e+00,7.62474476688741132e-01
8.48333333333333258e+02,8.59999999999999886e+02,-2.86563573294995466e+00,5.45282335069869895e-01
8.60000000000000000e+02,8.71666666666666629e+02,-3.07171276150601313e+00,7.48751151201718423e-01
8.71666666666666629e+02,8.83333333333333258e+02,-2.37870723170305043e+00,4.04644202004208420e-01
8.83333333333333258e+02,8.94999999999999886e+02,-2.72861397848902421e+00,5.42255339035611406e-01
8.95000000000000000e+02,9.06666666666666629e+02,-2.48293885033360162e+00,4.24012438285694737e-01
9.06666666666666629e+02,9.18333333333333258e+02,-2.61582744726203131e+00,4.19236771032758526e-01
9.18333333333333258e+02,9.29999999999999886e+02,-1.11865513754320989e+00,2.79651129185067238e-01
9.30000000000000000e+02,9.41666666666666629e+02,-3.29805923379033139e+00,5.31455396892957399e-01
9.41666666666666629e+02,9.53333333333333258e+02,-2.32393697135347965e+00,3.83422183361387559e-01
9.53333333333333258e+02,9.64999999999999886e+02,-2.17448101812205374e+00,3.95919286864133690e-01
9.65000000000000000e+02,9.76666666666666629e+02,-1.09567233782479190e+00,2.34609328367107933e-01
9.76666666666666629e+02,9.88333333333333258e+02,-1.65810366531646314e+00,3.98917983345333460e-01
9.88333333333333258e+02,9.99999999999999886e+02,-1.96461141239762904e+00,4.04663304672985835e-01
