bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,2.22373336730404469e+00,1.97166109171878795e-01
3.46666666666666686e+02,3.58333333333333371e+02,1.55953736801873522e+01,6.43078405596322566e-01
3.58333333333333314e+02,3.70000000000000000e+02,-8.47471349942147079e+00,4.35912120370136769e-01
3.70000000000000000e+02,3.81666666666666686e+02,-2.30210164000692004e+01,3.39350771433757747e-01
3.81666666666666686e+02,3.93333333333333371e+02,-3.29073367905224217e+01,3.26290748118168383e-01
3.93333333333333314e+02,4.05000000000000000e+02,-3.95095766467892204e+01,3.59328027761771307e-01
4.05000000000000000e+02,4.16666666666666686e+02,-4.50309671345133751e+01,4.16008446971585621e-01
4.16666666666666686e+02,4.28333333333333371e+02,-4.73227687570880562e+01,4.57961900108454112e-01
4.28333333333333314e+02,4.40000000000000000e+02,-4.89119830987725095e+01,4.95031745191952754e-01
4.40000000000000000e+02,4.51666666666666686e+02,-4.80794352182985278e+01,5.09976012972812032e-01
4.51666666666666686e+02,4.63333333333333371e+02,-4.87061376380160098e+01,5.32903734593025313e-01
4.63333333333333314e+02,4.75000000000000000e+02,-4.74167613766659102e+01,5.37181841164727336e-01
4.75000000000000000e+02,4.86666666666666686e+02,-4.67318937130217762e+01,5.39531955115172601e-01
4.86666666666666629e+02,4.98333333333333314e+02,-4.40585447572337117e+01,5.25575415317028560e-01
4.98333333333333314e+02,5.10000000000000000e+02,-4.25493177376298917e+01,5.21417355825064210e-01
5.10000000000000000e+02,5.21666666666666629e+02,-4.00941178263812290e+01,5.02986063778383508e-01
5.21666666666666629e+02,5.33333333333333258e+02,-3.80195500346724842e+01,4.85546394573542428e-01
5.33333333333333371e+02,5.45000000000000000e+02,-3.52551823255102761e+01,4.59129339399118652e-01
5.45000000000000000e+02,5.56666666666666629e+02,-3.30215750197133886e+01,4.40501115152260259e-01
5.56666666666666629e+02,5.68333333333333258e+02,-3.09682829173637231e+01,4.18902513385576603e-01
5.68333333333333371e+02,5.80000000000000000e+02,-2.93611535809739337e+01,4.05261774016323462e-01
5.80000000000000000e+02,5.91666666666666629e+02,-2.75935156934938774e+01,3.85792545547884280e-01
5.91666666666666629e+02,6.03333333333333258e+02,-2.58894193233843097e+01,3.63750971939405976e-01
6.03333333333333371e+02,6.15000000000000000e+02,-2.34407110075252696e+01,3.38636931876633462e-01
6.15000000000000000e+02,6.26666666666666629e+02,-2.22889678542948140e+01,3.23270174714793579e-01
6.26666666666666629e+02,6.38333333333333258e+02,-2.04475389877202645e+01,3.04941627115173031e-01
6.38333333333333371e+02,6.50000000000000000e+02,-1.96733890659311257e+01,2.93313768415361054e-01
6.50000000000000000e+02,6.61666666666666629e+02,-1.77955784818576532e+01,2.69741393854320610e-01
6.61666666666666629e+02,6.73333333333333258e+02,-1.63079224050988252e+01,2.52271427827309547e-01
6.73333333333333258e+02,6.84999999999999886e+02,-1.52909731779740579e+01,2.40083388775435752e-01
6.85000000000000000e+02,6.96666666666666629e+02,-1.45679730793996551e+01,2.28884152581426081e-01
6.96666666666666629e+02,7.08333333333333258e+02,-1.35898125794272229e+01,2.15095723692669466e-01
7.08333333333333258e+02,7.19999999999999886e+02,-1.26243794152741682e+01,2.03507635725357933e-01
7.20000000000000000e+02,7.31666666666666629e+02,-1.16564661020974434e+01,1.92057167379398708e-01
7.31666666666666629e+02,7.43333333333333258e+02,-1.05000312331566192e+01,1.76517923518545394e-01
7.43333333333333258e+02,7.54999999999999886e+02,-1.01387688973133976e+01,1.68104272404617505e-01
7.55000000000000000e+02,7.66666666666666629e+02,-9.18903118961991083e+00,1.55755654823327649e-01
7.66666666666666629e+02,7.78333333333333258e+02,-8.80616568230678354e+00,1.50696074764206683e-01
7.78333333333333258e+02,7.89999999999999886e+02,-8.09320466121545756e+00,1.38968337866316211e-01
7.90000000000000000e+02,8.01666666666666629e+02,-7.63216881407981074e+00,1.33112524198928356e-01
8.01666666666666629e+02,8.13333333333333258e+02,-7.19839347757808579e+00,1.26305371053160198e-01
8.13333333333333258e+02,8.24999999999999886e+02,-6.81291438224252843e+00,1.19525170686627796e-01
8.25000000000000000e+02,8.36666666666666629e+02,-6.31236714948094235e+00,1.13340735618317520e-01
8.36666666666666629e+02,8.48333333333333258e+02,-5.73647714895739469e+00,1.03734694169999919e-01
8.48333333333333258e+02,8.59999999999999886e+02,-5.31371675028176771e+00,9.79619937029119203e-02
8.60000000000000000e+02,8.71666666666666629e+02,-5.06437918762386197e+00,9.43016715784665421e-02
8.71666666666666629e+02,8.83333333333333258e+02,-4.67812840323187817e+00,8.81415862765753955e-02
8.83333333333333258e+02,8.94999999999999886e+02,-4.41205041756146610e+00,8.25083532216883270e-02
8.95000000000000000e+02,9.06666666666666629e+02,-4.19187984066642816e+00,7.83525669294875549e-02
9.06666666666666629e+02,9.18333333333333258e+02,-3.90935779236007841e+00,7.44540272573012835e-02
9.18333333333333258e+02,9.29999999999999886e+02,-3.56689727611692087e+00,6.85467231981872066e-02
9.30000000000000000e+02,9.41666666666666629e+02,-3.38878702707119173e+00,6.55976351071118208e-02
9.41666666666666629e+02,9.53333333333333258e+02,-3.23394557857638443e+00,6.27035183868078494e-02
9.53333333333333258e+02,9.64999999999999886e+02,-2.89675388799518130e+00,5.89791947552760834e-02
9.65000000000000000e+02,9.76666666666666629e+02,-2.84618381303644208e+00,5.64431656721198285e-02
9.76666666666666629e+02,9.88333333333333258e+02,-2.53306181009032327e+00,5.15471142553525496e-02
9.88333333333333258e+02,9.99999999999999886e+02,-2.48117418461717598e+00,4.92095649606981919e-02
