bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,4.22521512577493574e+00,2.91367628765995923e-01
3.46666666666666686e+02,3.58333333333333371e+02,2.92632039025135612e+02,5.04488673514574248e+00
3.58333333333333314e+02,3.70000000000000000e+02,4.87859453345140821e+02,8.23878002739755821e+00
3.70000000000000000e+02,3.81666666666666686e+02,5.52925850578179165e+02,9.47403102483088766e+00
3.81666666666666686e+02,3.93333333333333371e+02,5.95895049350901218e+02,1.05373908515221579e+01
3.93333333333333314e+02,4.05000000000000000e+02,5.73056574428474732e+02,1.01645487263967702e+01
4.05000000000000000e+02,4.16666666666666686e+02,5.61205234531890028e+02,1.05172456848488096e+01
4.16666666666666686e+02,4.28333333333333371e+02,5.48389765597756764e+02,1.02638158616647637e+01
4.28333333333333314e+02,4.40000000000000000e+02,5.10491538870317584e+02,1.05354068235829086e+01
4.40000000000000000e+02,4.51666666666666686e+02,4.75822443799115774e+02,1.00369281688252983e+01
4.51666666666666686e+02,4.63333333333333371e+02,4.44834699384067619e+02,9.11790090747278548e+00
4.63333333333333314e+02,4.75000000000000000e+02,4.22771996992152253e+02,9.25213972625061665e+00
4.75000000000000000e+02,4.86666666666666686e+02,3.73830589012031794e+02,8.48617020978257663e+00
4.86666666666666629e+02,4.98333333333333314e+02,3.42698998688046970e+02,7.44302125718144314e+00
4.98333333333333314e+02,5.10000000000000000e+02,3.25413322985005323e+02,7.25713446137549401e+00
5.10000000000000000e+02,5.21666666666666629e+02,2.82528485152955284e+02,6.73271193111842337e+00
5.21666666666666629e+02,5.33333333333333258e+02,2.60726286462300891e+02,6.36820653699403216e+00
5.33333333333333371e+02,5.45000000000000000e+02,2.56288724364984830e+02,6.25326805737835745e+00
5.45000000000000000e+02,5.56666666666666629e+02,2.14424075220407360e+02,5.51118284145070181e+00
5.56666666666666629e+02,5.68333333333333258e+02,2.08030848957522551e+02,5.60379211356642415e+00
5.68333333333333371e+02,5.80000000000000000e+02,1.89207493857198330e+02,4.78607443244484099e+00
5.80000000000000000e+02,5.91666666666666629e+02,1.69331722537222362e+02,4.85026153418519090e+00
5.91666666666666629e+02,6.03333333333333258e+02,1.59942495424274341e+02,4.79584910672298825e+00
6.03333333333333371e+02,6.15000000000000000e+02,1.36836472344218123e+02,3.88412283145793458e+00
6.15000000000000000e+02,6.26666666666666629e+02,1.23204159489570273e+02,3.30299114208919153e+00
6.26666666666666629e+02,6.38333333333333258e+02,1.10821899845877425e+02,3.11551373552239141e+00
6.38333333333333371e+02,6.50000000000000000e+02,1.04181191533870702e+02,2.95378777406687298e+00
6.50000000000000000e+02,6.61666666666666629e+02,9.50872008539377447e+01,2.79470970085575221e+00
6.61666666666666629e+02,6.73333333333333258e+02,8.56368387166126865e+01,2.55949846861665442e+00
6.73333333333333258e+02,6.84999999999999886e+02,8.12832574194031565e+01,2.35267920613530457e+00
6.85000000000000000e+02,6.96666666666666629e+02,7.21240218868497180e+01,2.16892767981150714e+00
6.96666666666666629e+02,7.08333333333333258e+02,6.47687929102433344e+01,2.03184295606921372e+00
7.08333333333333258e+02,7.19999999999999886e+02,5.95776421342887517e+01,1.89689793711590493e+00
7.20000000000000000e+02,7.31666666666666629e+02,5.64923156124949060e+01,1.92226217267885358e+00
7.31666666666666629e+02,7.43333333333333258e+02,5.10746599120898495e+01,1.79089677429338123e+00
7.43333333333333258e+02,7.54999999999999886e+02,4.45703081811404758e+01,1.42056268686396381e+00
7.55000000000000000e+02,7.66666666666666629e+02,4.19138323041328462e+01,1.30084977150168268e+00
7.66666666666666629e+02,7.78333333333333258e+02,3.60057395772854889e+01,1.15323032603562758e+00
7.78333333333333258e+02,7.89999999999999886e+02,3.50519364149832100e+01,1.23060752550926322e+00
7.90000000000000000e+02,8.01666666666666629e+02,3.28186864989618243e+01,1.26078843312621691e+00
8.01666666666666629e+02,8.13333333333333258e+02,2.85759218588170398e+01,1.07040441821485244e+00
8.13333333333333258e+02,8.24999999999999886e+02,2.71022172151715495e+01,1.01232737093631986e+00
8.25000000000000000e+02,8.36666666666666629e+02,2.56966133051118852e+01,9.89420222613824119e-01
8.36666666666666629e+02,8.48333333333333258e+02,2.21543561705477394e+01,8.44080721630343533e-01
8.48333333333333258e+02,8.59999999999999886e+02,1.97746657273929856e+01,7.59623772626294214e-01
8.60000000000000000e+02,8.71666666666666629e+02,1.86212482397620462e+01,7.07519208594658333e-01
8.71666666666666629e+02,8.83333333333333258e+02,1.71613906225938031e+01,7.65022503752619598e-01
8.83333333333333258e+02,8.94999999999999886e+02,1.53438082204450144e+01,5.75479333846144248e-01
8.95000000000000000e+02,9.06666666666666629e+02,1.52399419019944791e+01,6.06479580856390976e-01
9.06666666666666629e+02,9.18333333333333258e+02,1.40397663373489419e+01,5.61052719272250755e-01
9.18333333333333258e+02,9.29999999999999886e+02,1.26039707173287834e+01,5.32878557120784357e-01
9.30000000000000000e+02,9.41666666666666629e+02,1.21638537573071890e+01,5.37375971960545429e-01
9.41666666666666629e+02,9.53333333333333258e+02,1.08264359367664174e+01,5.10324033852812109e-01
9.53333333333333258e+02,9.64999999999999886e+02,9.89119992288021521e+00,4.23044868607631130e-01
9.65000000000000000e+02,9.76666666666666629e+02,8.53456199465585463e+00,3.66701896672017580e-01
9.76666666666666629e+02,9.88333333333333258e+02,8.63511600269405655e+00,4.16032398518436097e-01
9.88333333333333258e+02,9.99999999999999886e+02,7.99985168701520788e+00,3.53409642870416263e-01
