bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,1.40944793191409268e+01,5.66076203930563460e-01
3.46666666666666686e+02,3.58333333333333371e+02,7.49199488794681770e+02,8.39391226401455626e+00
3.58333333333333314e+02,3.70000000000000000e+02,1.14453665867578184e+03,1.32751597996459250e+01
3.70000000000000000e+02,3.81666666666666686e+02,1.23656871721415109e+03,1.53410268361949544e+01
3.81666666666666686e+02,3.93333333333333371e+02,1.29915896706123590e+03,1.68033826901667354e+01
3.93333333333333314e+02,4.05000000000000000e+02,1.26324197042743185e+03,1.69022099822379417e+01
4.05000000000000000e+02,4.16666666666666686e+02,1.21319645282413194e+03,1.71793893577096135e+01
4.16666666666666686e+02,4.28333333333333371e+02,1.14058328007448972e+03,1.69228982099000262e+01
4.28333333333333314e+02,4.40000000000000000e+02,1.09436942701802150e+03,1.67804861921582251e+01
4.40000000000000000e+02,4.51666666666666686e+02,1.01457689822290490e+03,1.61235358553508803e+01
4.51666666666666686e+02,4.63333333333333371e+02,9.28195243772088929e+02,1.50487810052965880e+01
4.63333333333333314e+02,4.75000000000000000e+02,8.78471156051026355e+02,1.48146427521607311e+01
4.75000000000000000e+02,4.86666666666666686e+02,7.79640085145928424e+02,1.38779023786024975e+01
4.86666666666666629e+02,4.98333333333333314e+02,7.16426016033358906e+02,1.27860100298122799e+01
4.98333333333333314e+02,5.10000000000000000e+02,6.72746280973005128e+02,1.22414109847604369e+01
5.10000000000000000e+02,5.21666666666666629e+02,5.96751348251152081e+02,1.14013976848687211e+01
5.21666666666666629e+02,5.33333333333333258e+02,5.47553140626296567e+02,1.07038633008362378e+01
5.33333333333333371e+02,5.45000000000000000e+02,5.09670046603633182e+02,1.00043954255720831e+01
5.45000000000000000e+02,5.56666666666666629e+02,4.64038161202550555e+02,9.61495822187034044e+00
5.56666666666666629e+02,5.68333333333333258e+02,4.30047738920814425e+02,9.19234227585854846e+00
5.68333333333333371e+02,5.80000000000000000e+02,3.96817749832499544e+02,8.33463743266876911e+00
5.80000000000000000e+02,5.91666666666666629e+02,3.45178868487128568e+02,8.06841885435250283e+00
5.91666666666666629e+02,6.03333333333333258e+02,3.24500968996416248e+02,7.65517929208771530e+00
6.03333333333333371e+02,6.15000000000000000e+02,2.85087219972747789e+02,6.78795593167739142e+00
6.15000000000000000e+02,6.26666666666666629e+02,2.63467954745219913e+02,6.22816936093457318e+00
6.26666666666666629e+02,6.38333333333333258e+02,2.27922812803904378e+02,5.69361271633085408e+00
6.38333333333333371e+02,6.50000000000000000e+02,2.15792960059905113e+02,5.40118033270456621e+00
6.50000000000000000e+02,6.61666666666666629e+02,2.02373813651351611e+02,5.34104943733286675e+00
6.61666666666666629e+02,6.73333333333333258e+02,1.78488900218590942e+02,4.72086563972981654e+00
6.73333333333333258e+02,6.84999999999999886e+02,1.65516824221351413e+02,4.51124292024777418e+00
6.85000000000000000e+02,6.96666666666666629e+02,1.55004700763186833e+02,4.17389912807923658e+00
6.96666666666666629e+02,7.08333333333333258e+02,1.31834424196217526e+02,3.99580010340955827e+00
7.08333333333333258e+02,7.19999999999999886e+02,1.28518204730091497e+02,3.85477962833549848e+00
7.20000000000000000e+02,7.31666666666666629e+02,1.14324856845629625e+02,3.59462697867759085e+00
7.31666666666666629e+02,7.43333333333333258e+02,1.11058125441432111e+02,3.19811821794023343e+00
7.43333333333333258e+02,7.54999999999999886e+02,9.47933240648474822e+01,2.97012631038284791e+00
7.55000000000000000e+02,7.66666666666666629e+02,8.50279531566080493e+01,2.80718609402986896e+00
7.66666666666666629e+02,7.78333333333333258e+02,8.11829087930722011e+01,2.58056210825302568e+00
7.78333333333333258e+02,7.89999999999999886e+02,7.53541792021121353e+01,2.59813160464361825e+00
7.90000000000000000e+02,8.01666666666666629e+02,6.77313116779263993e+01,2.37529589684923037e+00
8.01666666666666629e+02,8.13333333333333258e+02,6.10712533775761415e+01,2.27450636340352386e+00
8.13333333333333258e+02,8.24999999999999886e+02,5.68339294962773707e+01,2.19659465388324993e+00
8.25000000000000000e+02,8.36666666666666629e+02,5.43424062968501573e+01,1.98206837594163376e+00
8.36666666666666629e+02,8.48333333333333258e+02,4.62811854903882960e+01,2.02483685327383389e+00
8.48333333333333258e+02,8.59999999999999886e+02,4.55027442132303435e+01,1.77114568754659318e+00
8.60000000000000000e+02,8.71666666666666629e+02,4.01266915037624798e+01,1.81611376031509542e+00
8.71666666666666629e+02,8.83333333333333258e+02,3.61353441644523343e+01,1.49646971656352590e+00
8.83333333333333258e+02,8.94999999999999886e+02,3.41724679987712179e+01,1.52734609668985577e+00
8.95000000000000000e+02,9.06666666666666629e+02,3.14837856368123283e+01,1.35817100946428471e+00
9.06666666666666629e+02,9.18333333333333258e+02,2.88262367790273295e+01,1.29567060272660517e+00
9.18333333333333258e+02,9.29999999999999886e+02,2.94211688633058195e+01,1.13997303106748626e+00
9.30000000000000000e+02,9.41666666666666629e+02,2.34992993788808917e+01,1.31004223394358488e+00
9.41666666666666629e+02,9.53333333333333258e+02,2.32141453944852643e+01,1.15387602718989535e+00
9.53333333333333258e+02,9.64999999999999886e+02,2.10902326741675026e+01,1.06307201367100146e+00
9.65000000000000000e+02,9.76666666666666629e+02,2.08695740006265389e+01,8.86029983959941370e-01
9.76666666666666629e+02,9.88333333333333258e+02,1.84350392756302170e+01,1.02623465147617998e+00
9.88333333333333258e+02,9.99999999999999886e+02,1.62033307642050133e+01,9.57096731885437424e-01
