bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,4.23642971935856139e+00,2.30460359726699177e-01
3.46666666666666686e+02,3.58333333333333371e+02,3.07564628850532586e+02,3.98843583867980600e+00
3.58333333333333314e+02,3.70000000000000000e+02,4.85932199108467785e+02,6.16878467127419050e+00
3.70000000000000000e+02,3.81666666666666686e+02,5.36082622474711570e+02,7.04370648086315132e+00
3.81666666666666686e+02,3.93333333333333371e+02,5.66570545374441394e+02,7.53347017587623835e+00
3.93333333333333314e+02,4.05000000000000000e+02,5.63081538225019358e+02,7.67001086946862820e+00
4.05000000000000000e+02,4.16666666666666686e+02,5.46910000060269340e+02,7.59413498196806547e+00
4.16666666666666686e+02,4.28333333333333371e+02,5.14477600806984469e+02,7.35465561273672819e+00
4.28333333333333314e+02,4.40000000000000000e+02,4.98002756343924602e+02,7.15465608366604044e+00
4.40000000000000000e+02,4.51666666666666686e+02,4.59293731615643196e+02,6.82441439531115535e+00
4.51666666666666686e+02,4.63333333333333371e+02,4.21818018116105350e+02,6.40716659869237937e+00
4.63333333333333314e+02,4.75000000000000000e+02,3.99598033940971504e+02,6.12911085702159841e+00
4.75000000000000000e+02,4.86666666666666686e+02,3.61813049488873844e+02,5.72274804977391227e+00
4.86666666666666629e+02,4.98333333333333314e+02,3.33539175135425182e+02,5.39667307057854195e+00
4.98333333333333314e+02,5.10000000000000000e+02,3.10543686320179063e+02,5.06209843072327548e+00
5.10000000000000000e+02,5.21666666666666629e+02,2.81596880619948934e+02,4.69405050972390381e+00
5.21666666666666629e+02,5.33333333333333258e+02,2.58258873896191290e+02,4.36754758819833011e+00
5.33333333333333371e+02,5.45000000000000000e+02,2.26432374359045042e+02,3.99728018276862462e+00
5.45000000000000000e+02,5.56666666666666629e+02,2.24046062709340475e+02,3.89988388805747777e+00
5.56666666666666629e+02,5.68333333333333258e+02,2.00953904017732953e+02,3.58117069202728988e+00
5.68333333333333371e+02,5.80000000000000000e+02,1.85063598812611417e+02,3.37858659856394627e+00
5.80000000000000000e+02,5.91666666666666629e+02,1.65523513982564708e+02,3.10269573506333129e+00
5.91666666666666629e+02,6.03333333333333258e+02,1.50368348426140983e+02,2.86065464359142618e+00
6.03333333333333371e+02,6.15000000000000000e+02,1.37681413294970326e+02,2.70027949301603787e+00
6.15000000000000000e+02,6.26666666666666629e+02,1.27919197672999260e+02,2.53618747749202100e+00
6.26666666666666629e+02,6.38333333333333258e+02,1.12720797105601150e+02,2.25900185926589270e+00
6.38333333333333371e+02,6.50000000000000000e+02,1.03853480185240144e+02,2.16733651044118281e+00
6.50000000000000000e+02,6.61666666666666629e+02,1.00154660981373297e+02,2.07135306253193674e+00
6.61666666666666629e+02,6.73333333333333258e+02,8.64497245104891334e+01,1.84017201412856246e+00
6.73333333333333258e+02,6.84999999999999886e+02,7.96526488196905831e+01,1.71289152804533118e+00
6.85000000000000000e+02,6.96666666666666629e+02,7.51488044837354181e+01,1.66302527412365997e+00
6.96666666666666629e+02,7.08333333333333258e+02,6.68873137588732902e+01,1.51417441943961051e+00
7.08333333333333258e+02,7.19999999999999886e+02,6.47505797285228653e+01,1.44925775379619504e+00
7.20000000000000000e+02,7.31666666666666629e+02,5.76388458838606041e+01,1.31614372404861601e+00
7.31666666666666629e+02,7.43333333333333258e+02,5.35581651592817920e+01,1.25261284388328753e+00
7.43333333333333258e+02,7.54999999999999886e+02,4.84803884754406269e+01,1.15696402281041211e+00
7.55000000000000000e+02,7.66666666666666629e+02,4.34716647928007376e+01,1.04482200485258514e+00
7.66666666666666629e+02,7.78333333333333258e+02,4.25515924271086803e+01,1.04865969151321803e+00
7.78333333333333258e+02,7.89999999999999886e+02,3.89769603899579238e+01,9.70010535500514304e-01
7.90000000000000000e+02,8.01666666666666629e+02,3.45729868179606328e+01,8.80479624924108806e-01
8.01666666666666629e+02,8.13333333333333258e+02,3.27848164515616389e+01,8.51160644157828661e-01
8.13333333333333258e+02,8.24999999999999886e+02,3.05831366605882806e+01,7.87358116713244072e-01
8.25000000000000000e+02,8.36666666666666629e+02,2.78912691025111279e+01,7.31256066442348751e-01
8.36666666666666629e+02,8.48333333333333258e+02,2.62145955570485398e+01,6.91255317744831177e-01
8.48333333333333258e+02,8.59999999999999886e+02,2.46312165916804560e+01,6.70213257254089867e-01
8.60000000000000000e+02,8.71666666666666629e+02,2.19974203133952564e+01,5.89932676123984367e-01
8.71666666666666629e+02,8.83333333333333258e+02,1.95437302394025032e+01,5.47016770259273311e-01
8.83333333333333258e+02,8.94999999999999886e+02,1.91247829749436384e+01,5.45519174925831019e-01
8.95000000000000000e+02,9.06666666666666629e+02,1.72174278990457417e+01,4.97171104398876740e-01
9.06666666666666629e+02,9.18333333333333258e+02,1.60440984433997578e+01,4.65705418813936511e-01
9.18333333333333258e+02,9.29999999999999886e+02,1.51946534421755679e+01,4.41168180938998178e-01
9.30000000000000000e+02,9.41666666666666629e+02,1.39223019946839965e+01,4.08891000252017744e-01
9.41666666666666629e+02,9.53333333333333258e+02,1.32418977903082453e+01,4.03061512871654259e-01
9.53333333333333258e+02,9.64999999999999886e+02,1.20650329867491202e+01,3.61696717984078764e-01
9.65000000000000000e+02,9.76666666666666629e+02,1.16143508956695634e+01,3.46192724957990472e-01
9.76666666666666629e+02,9.88333333333333258e+02,1.02768914193663701e+01,3.31414368443701590e-01
9.88333333333333258e+02,9.99999999999999886e+02,9.63516421663061173e+00,2.93071030130799492e-01
