bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,4.44414096851621532e-01,9.13970879864940827e-02
3.46666666666666686e+02,3.58333333333333371e+02,1.38743156168365420e+01,6.47202731868248837e-01
3.58333333333333314e+02,3.70000000000000000e+02,1.01884592546241262e+01,7.80227907983730207e-01
3.70000000000000000e+02,3.81666666666666686e+02,3.22905331658465844e+00,9.89740020865697567e-01
3.81666666666666686e+02,3.93333333333333371e+02,-3.50709272105392511e+00,1.20814543930518381e+00
3.93333333333333314e+02,4.05000000000000000e+02,-4.13415623448820835e+00,1.33010057222411415e+00
4.05000000000000000e+02,4.16666666666666686e+02,-9.36648497340787145e+00,1.50323021279329083e+00
4.16666666666666686e+02,4.28333333333333371e+02,-1.69001472216035893e+01,1.77585817956368563e+00
4.28333333333333314e+02,4.40000000000000000e+02,-1.13789913352851126e+01,1.55681690778283199e+00
4.40000000000000000e+02,4.51666666666666686e+02,-1.12203352844815676e+01,1.62616513531009077e+00
4.51666666666666686e+02,4.63333333333333371e+02,-1.14776167908271596e+01,1.59026182562390228e+00
4.63333333333333314e+02,4.75000000000000000e+02,-1.39112024073609639e+01,1.61224202522096705e+00
4.75000000000000000e+02,4.86666666666666686e+02,-1.15640688218555123e+01,1.63742508281476695e+00
4.86666666666666629e+02,4.98333333333333314e+02,-1.35317820206571877e+01,1.56732135039179710e+00
4.98333333333333314e+02,5.10000000000000000e+02,-1.23578286754698343e+01,1.51950594122478977e+00
5.10000000000000000e+02,5.21666666666666629e+02,-1.05461627505718365e+01,1.42728739917351843e+00
5.21666666666666629e+02,5.33333333333333258e+02,-1.00982211185438686e+01,1.31974864305763351e+00
5.33333333333333371e+02,5.45000000000000000e+02,-6.05054932039870152e+00,1.08606759579434331e+00
5.45000000000000000e+02,5.56666666666666629e+02,-1.11412329943632464e+01,1.34590211107613333e+00
5.56666666666666629e+02,5.68333333333333258e+02,-1.01643924079325885e+01,1.25206362550480588e+00
5.68333333333333371e+02,5.80000000000000000e+02,-7.57721488447962788e+00,1.10953357855289259e+00
5.80000000000000000e+02,5.91666666666666629e+02,-1.02335483273615946e+01,1.18209807299969660e+00
5.91666666666666629e+02,6.03333333333333258e+02,-5.98608954476487209e+00,1.07607316986312229e+00
6.03333333333333371e+02,6.15000000000000000e+02,-7.88496211720939932e+00,9.51772965690924511e-01
6.15000000000000000e+02,6.26666666666666629e+02,-6.67933616695689647e+00,9.31432395693667536e-01
6.26666666666666629e+02,6.38333333333333258e+02,-6.64118492311950703e+00,8.51668526798963654e-01
6.38333333333333371e+02,6.50000000000000000e+02,-4.36098349348790570e+00,7.65662905819410766e-01
6.50000000000000000e+02,6.61666666666666629e+02,-6.54254115813395032e+00,9.25987052120365695e-01
6.61666666666666629e+02,6.73333333333333258e+02,-4.41764239389178215e+00,7.48578424184944136e-01
6.73333333333333258e+02,6.84999999999999886e+02,-4.43552587797924325e+00,8.37523940552775015e-01
6.85000000000000000e+02,6.96666666666666629e+02,-2.89531016281652276e+00,6.34951919947752241e-01
6.96666666666666629e+02,7.08333333333333258e+02,-5.30485374556886757e+00,7.50115900565383908e-01
7.08333333333333258e+02,7.19999999999999886e+02,-4.03024246615590975e+00,7.48963794174162700e-01
7.20000000000000000e+02,7.31666666666666629e+02,-4.48338432123867836e+00,6.89037560880408129e-01
7.31666666666666629e+02,7.43333333333333258e+02,-2.21490212660680452e+00,4.19679625275755697e-01
7.43333333333333258e+02,7.54999999999999886e+02,-3.21600636412721963e+00,5.20575812105814939e-01
7.55000000000000000e+02,7.66666666666666629e+02,-3.50438592718368813e+00,5.60409082336283060e-01
7.66666666666666629e+02,7.78333333333333258e+02,-2.60804976882057904e+00,4.24065264552080545e-01
7.78333333333333258e+02,7.89999999999999886e+02,-2.98893718336132386e+00,5.04983222562919831e-01
7.90000000000000000e+02,8.01666666666666629e+02,-2.54622651993957794e+00,4.11042528435495658e-01
8.01666666666666629e+02,8.13333333333333258e+02,-2.75796517532748231e+00,4.50865543496937415e-01
8.13333333333333258e+02,8.24999999999999886e+02,-2.95080961483233928e+00,4.76897116929511478e-01
8.25000000000000000e+02,8.36666666666666629e+02,-1.81701779763826443e+00,3.60849733418978913e-01
8.36666666666666629e+02,8.48333333333333258e+02,-3.25428267430656959e+00,5.01707102827550155e-01
8.48333333333333258e+02,8.59999999999999886e+02,-1.84782125110235107e+00,3.58891740170187712e-01
8.60000000000000000e+02,8.71666666666666629e+02,-1.99218079635383005e+00,4.97841159213468720e-01
8.71666666666666629e+02,8.83333333333333258e+02,-1.52757985449236000e+00,2.63612112051888448e-01
8.83333333333333258e+02,8.94999999999999886e+02,-1.74030547276266767e+00,3.48209198820713273e-01
8.95000000000000000e+02,9.06666666666666629e+02,-1.62676360616636173e+00,2.79726922640216480e-01
9.06666666666666629e+02,9.18333333333333258e+02,-1.68445331932414688e+00,2.70803603315577179e-01
9.18333333333333258e+02,9.29999999999999886e+02,-7.07496365862423926e-01,1.81153173487426322e-01
9.30000000000000000e+02,9.41666666666666629e+02,-2.14270387798573614e+00,3.46417988523368803e-01
9.41666666666666629e+02,9.53333333333333258e+02,-1.49099873751101941e+00,2.47015047879492938e-01
9.53333333333333258e+02,9.64999999999999886e+02,-1.41243480231477148e+00,2.59632860077581462e-01
9.65000000000000000e+02,9.76666666666666629e+02,-7.05763683916924900e-01,1.54033020524177916e-01
9.76666666666666629e+02,9.88333333333333258e+02,-1.06971877546064853e+00,2.58837236095883938e-01
9.88333333333333258e+02,9.99999999999999886e+02,-1.26659146117376453e+00,2.64110375507510875e-01
