bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,2.19725983567540384e+00,1.62386736638658602e-01
3.46666666666666686e+02,3.58333333333333371e+02,6.05693511108279949e+01,8.64652346946672257e-01
3.58333333333333314e+02,3.70000000000000000e+02,7.07574062628896741e+01,9.52150677752689245e-01
3.70000000000000000e+02,3.81666666666666686e+02,7.28742260752151765e+01,9.68970895832043322e-01
3.81666666666666686e+02,3.93333333333333371e+02,6.95364503452063190e+01,9.41482016879596872e-01
3.93333333333333314e+02,4.05000000000000000e+02,6.49494812280512690e+01,9.00456636876663441e-01
4.05000000000000000e+02,4.16666666666666686e+02,5.93347964629656559e+01,8.51886887699917383e-01
4.16666666666666686e+02,4.28333333333333371e+02,5.24917041317668307e+01,7.90412494718686243e-01
4.28333333333333314e+02,4.40000000000000000e+02,4.82715662300506025e+01,7.49895000479628870e-01
4.40000000000000000e+02,4.51666666666666686e+02,4.11324408885200583e+01,6.81062720743120242e-01
4.51666666666666686e+02,4.63333333333333371e+02,3.69808763968359955e+01,6.40832639914153845e-01
4.63333333333333314e+02,4.75000000000000000e+02,3.25167596225733320e+01,5.98393760097118532e-01
4.75000000000000000e+02,4.86666666666666686e+02,2.92772970658359952e+01,5.63975043614492355e-01
4.86666666666666629e+02,4.98333333333333314e+02,2.41137777607645702e+01,5.02210085067739564e-01
4.98333333333333314e+02,5.10000000000000000e+02,2.14393009882417829e+01,4.70770499386376384e-01
5.10000000000000000e+02,5.21666666666666629e+02,1.90694613605279280e+01,4.52312647177486926e-01
5.21666666666666629e+02,5.33333333333333258e+02,1.66300915958845721e+01,4.16602430931598100e-01
5.33333333333333371e+02,5.45000000000000000e+02,1.46755895489937416e+01,3.97303457164392138e-01
5.45000000000000000e+02,5.56666666666666629e+02,1.27623920818115444e+01,3.71638042544915281e-01
5.56666666666666629e+02,5.68333333333333258e+02,1.06430375255454077e+01,3.37024389326508411e-01
5.68333333333333371e+02,5.80000000000000000e+02,9.64100408134376607e+00,3.18526601477512328e-01
5.80000000000000000e+02,5.91666666666666629e+02,8.13692949960744016e+00,2.96194561632739939e-01
5.91666666666666629e+02,6.03333333333333258e+02,7.68509525662991955e+00,2.85225451648424333e-01
6.03333333333333371e+02,6.15000000000000000e+02,6.42941341915158482e+00,2.63651214858722227e-01
6.15000000000000000e+02,6.26666666666666629e+02,5.02873114456783821e+00,2.32518178917794971e-01
6.26666666666666629e+02,6.38333333333333258e+02,5.65453705300180065e+00,2.48732370743188380e-01
6.38333333333333371e+02,6.50000000000000000e+02,4.44463467406613866e+00,2.19185316179055512e-01
6.50000000000000000e+02,6.61666666666666629e+02,3.72866513631507823e+00,2.01416706115063349e-01
6.61666666666666629e+02,6.73333333333333258e+02,3.37354398537604405e+00,1.91636334558141691e-01
6.73333333333333258e+02,6.84999999999999886e+02,3.02160116743888718e+00,1.83236056610585729e-01
6.85000000000000000e+02,6.96666666666666629e+02,2.65522438411260442e+00,1.70904736582388611e-01
6.96666666666666629e+02,7.08333333333333258e+02,1.89973120571949572e+00,1.50289773578602126e-01
7.08333333333333258e+02,7.19999999999999886e+02,1.88737645034575374e+00,1.47076337002775087e-01
7.20000000000000000e+02,7.31666666666666629e+02,1.97707462734218398e+00,1.44704324177479776e-01
7.31666666666666629e+02,7.43333333333333258e+02,1.68369841903539874e+00,1.37878302100965383e-01
7.43333333333333258e+02,7.54999999999999886e+02,1.24462255609663908e+00,1.17782422624276364e-01
7.55000000000000000e+02,7.66666666666666629e+02,1.12430710385853283e+00,1.13660966023760024e-01
7.66666666666666629e+02,7.78333333333333258e+02,1.07274764732502748e+00,1.09427231531571273e-01
7.78333333333333258e+02,7.89999999999999886e+02,8.30694059371478000e-01,9.92018837723953190e-02
7.90000000000000000e+02,8.01666666666666629e+02,6.77502131895880266e-01,9.44112869105803304e-02
8.01666666666666629e+02,8.13333333333333258e+02,6.98782909004700747e-01,9.12517461482847542e-02
8.13333333333333258e+02,8.24999999999999886e+02,3.92052670794106994e-01,8.04116981185794277e-02
8.25000000000000000e+02,8.36666666666666629e+02,4.74296234043570131e-01,8.03882388327389341e-02
8.36666666666666629e+02,8.48333333333333258e+02,4.04876322072807326e-01,7.34971086950918784e-02
8.48333333333333258e+02,8.59999999999999886e+02,4.23312748499043656e-01,7.22430956413864928e-02
8.60000000000000000e+02,8.71666666666666629e+02,2.82703401938964316e-01,6.72129250917812976e-02
8.71666666666666629e+02,8.83333333333333258e+02,3.30951795597593801e-01,6.55192431471536829e-02
8.83333333333333258e+02,8.94999999999999886e+02,1.70107364077059842e-01,5.82394247838620288e-02
8.95000000000000000e+02,9.06666666666666629e+02,2.26547954424924730e-01,5.64624477564841659e-02
9.06666666666666629e+02,9.18333333333333258e+02,1.32241938852037694e-01,5.20666769848941308e-02
9.18333333333333258e+02,9.29999999999999886e+02,6.19275043926671501e-02,4.78123711338591245e-02
9.30000000000000000e+02,9.41666666666666629e+02,9.27331426117596613e-02,4.50933992877345022e-02
9.41666666666666629e+02,9.53333333333333258e+02,-2.76842886511188963e-02,4.17572081080078497e-02
9.53333333333333258e+02,9.64999999999999886e+02,6.85537691779935648e-02,4.35115910337572007e-02
9.65000000000000000e+02,9.76666666666666629e+02,2.53616399226957237e-02,3.90698640877695097e-02
9.76666666666666629e+02,9.88333333333333258e+02,2.11471616476905967e-02,3.65672122617767548e-02
9.88333333333333258e+02,9.99999999999999886e+02,2.23856500142524777e-02,3.38660405289256880e-02
