bin_low_gev,bin_high_gev,value,error
3.46600000000000023e+02,5.37934999999999945e+02,3.18517323695548669e+02,3.59668359605222889e+01
5.37934999999999945e+02,7.29269999999999982e+02,9.92482813352107343e+01,1.74584452735451130e+01
7.29269999999999982e+02,9.20605000000000018e+02,2.13946983068792917e+01,4.16449617526538862e+00
9.20605000000000018e+02,1.11194000000000005e+03,6.14519511864002066e+00,1.37661951912233027e+00
1.11194000000000005e+03,1.30327500000000009e+03,1.48070194894005613e+00,3.57020644603226023e-01
1.30327499999999986e+03,1.49460999999999990e+03,6.66120658519955944e-01,1.59991591401413197e-01
1.49460999999999990e+03,1.68594499999999994e+03,2.76089196994916797e-01,7.14212020246522694e-02
1.68594499999999994e+03,1.87727999999999997e+03,9.40385043702936241e-02,3.32052742152687264e-02
1.87727999999999975e+03,2.06861499999999978e+03,1.57183434272388511e-02,4.73234120065815691e-03
2.06861499999999978e+03,2.25994999999999982e+03,2.92917831064254224e-02,1.34228012888537602e-02
2.25994999999999982e+03,2.45128499999999985e+03,2.20313603934705390e-03,1.42563565786136301e-03
2.45128499999999985e+03,2.64261999999999989e+03,1.40594851628873590e-03,2.08091412426067868e-03
2.64261999999999989e+03,2.83395499999999993e+03,-2.67030568545497001e-04,1.44178499270895583e-04
2.83395499999999993e+03,3.02528999999999996e+03,2.47000048081011056e-04,2.47572777639805137e-04
3.02528999999999996e+03,3.21662500000000000e+03,2.28564632252699660e-04,1.97399801167124543e-04
3.21662499999999955e+03,3.40795999999999958e+03,1.15429501057397066e-04,1.27033988398538960e-04
3.40795999999999958e+03,3.59929499999999962e+03,-1.15901067819215085e-05,1.77392912808900168e-05
3.59929499999999962e+03,3.79062999999999965e+03,-1.93111608007291590e-05,9.55378111043738176e-06
3.79062999999999965e+03,3.98196499999999969e+03,1.57148768368747236e-05,9.79038530378096951e-06
3.98196499999999969e+03,4.17329999999999927e+03,-1.32354986439484499e-06,2.92187074223115729e-06
4.17329999999999927e+03,4.36463499999999931e+03,2.56664406374139860e-06,2.27004052332166755e-06
4.36463499999999931e+03,4.55596999999999935e+03,3.46609582040552870e-06,1.21119244214269609e-06
4.55596999999999935e+03,4.74730499999999938e+03,2.32157581819002473e-06,1.02063220678924726e-06
4.74730499999999938e+03,4.93863999999999942e+03,5.48703652624342317e-07,4.93417042234499481e-07
4.93863999999999942e+03,5.12997499999999945e+03,1.85960188730863606e-06,5.36466977468684960e-07
5.12997499999999945e+03,5.32130999999999949e+03,6.80421215308524407e-07,2.47084583680599987e-07
5.32130999999999949e+03,5.51264499999999953e+03,3.26253793535631073e-07,1.11329878480921232e-07
5.51264499999999953e+03,5.70397999999999956e+03,1.38059566267948994e-07,9.32773620697877575e-08
5.70397999999999956e+03,5.89531499999999960e+03,2.08274713103988271e-07,4.88597326089312076e-08
5.89531499999999960e+03,6.08664999999999964e+03,3.48586101634677199e-08,1.35876732260252203e-08
6.08664999999999964e+03,6.27798499999999967e+03,3.39228029924191863e-08,1.17713988849452133e-08
6.27798499999999967e+03,6.46931999999999971e+03,1.39110630866254721e-08,4.57086818275825083e-09
6.46931999999999971e+03,6.66065499999999975e+03,3.21005229129636589e-09,1.45144359412369529e-09
6.66065499999999975e+03,6.85198999999999978e+03,2.72662997711998751e-09,9.37828638690112969e-10
6.85198999999999978e+03,7.04332499999999982e+03,1.50720006158904062e-09,3.51432618146252144e-10
7.04332499999999891e+03,7.23465999999999894e+03,2.99241642542455375e-10,1.22443358177585964e-10
7.23465999999999894e+03,7.42599499999999898e+03,7.00338572291353108e-11,2.83951016794682170e-11
7.42599499999999898e+03,7.61732999999999902e+03,7.99941059140684439e-12,3.09588131805203938e-12
7.61732999999999902e+03,7.80866499999999905e+03,7.47724606495178577e-13,3.01381589508342103e-13
7.80866499999999905e+03,7.99999999999999909e+03,6.55277361074398450e-15,3.44152619284120209e-15
