bin_low_gev,bin_high_gev,value,error
3.46600000000000023e+02,5.37934999999999945e+02,5.66354956345721916e+02,4.46209982544477270e+01
5.37934999999999945e+02,7.29269999999999982e+02,1.23877462221964407e+02,1.56574254684145977e+01
7.29269999999999982e+02,9.20605000000000018e+02,4.20930988948044273e+01,5.51707239071397293e+00
9.20605000000000018e+02,1.11194000000000005e+03,1.68060256658057980e+01,3.13407703431830953e+00
1.11194000000000005e+03,1.30327500000000009e+03,4.21154594126888426e+00,9.26638684290298942e-01
1.30327499999999986e+03,1.49460999999999990e+03,1.48398443816753312e+00,3.04472942221602816e-01
1.49460999999999990e+03,1.68594499999999994e+03,4.29576305130119296e-01,8.90089495393894120e-02
1.68594499999999994e+03,1.87727999999999997e+03,1.95068318002331542e-01,6.17599024539561559e-02
1.87727999999999975e+03,2.06861499999999978e+03,5.69243227666021701e-02,1.29726399891729495e-02
2.06861499999999978e+03,2.25994999999999982e+03,5.58291512773660403e-02,1.99482490643553209e-02
2.25994999999999982e+03,2.45128499999999985e+03,2.74048607119195264e-02,1.09907433904394697e-02
2.45128499999999985e+03,2.64261999999999989e+03,5.19831327912890790e-03,2.04670086741789211e-03
2.64261999999999989e+03,2.83395499999999993e+03,2.49181160433909789e-03,7.80916651125196392e-04
2.83395499999999993e+03,3.02528999999999996e+03,2.83684501745229628e-03,1.90235981765001882e-03
3.02528999999999996e+03,3.21662500000000000e+03,1.04593029764995875e-03,4.68732784525546710e-04
3.21662499999999955e+03,3.40795999999999958e+03,5.34988377085378027e-04,2.38531393227550480e-04
3.40795999999999958e+03,3.59929499999999962e+03,1.26114802424065215e-04,4.01878240991033298e-05
3.59929499999999962e+03,3.79062999999999965e+03,5.82152800127907227e-05,2.21685993701302168e-05
3.79062999999999965e+03,3.98196499999999969e+03,-1.28762651833063577e-05,1.05503165729674531e-05
3.98196499999999969e+03,4.17329999999999927e+03,-7.56320627076477583e-07,7.23298144378611831e-06
4.17329999999999927e+03,4.36463499999999931e+03,-1.31402039574415149e-05,4.16494769463225433e-06
4.36463499999999931e+03,4.55596999999999935e+03,-8.67057915438423873e-06,2.41494426658098817e-06
4.55596999999999935e+03,4.74730499999999938e+03,-4.10767357609879998e-06,1.10338483794425162e-06
4.74730499999999938e+03,4.93863999999999942e+03,-6.75588009234815190e-06,1.66390373262240241e-06
4.93863999999999942e+03,5.12997499999999945e+03,-3.32945500905727151e-06,1.10687305982608280e-06
5.12997499999999945e+03,5.32130999999999949e+03,-2.08261282865458254e-06,5.08140985255077165e-07
5.32130999999999949e+03,5.51264499999999953e+03,-1.32144316988312329e-06,3.84432427689792158e-07
5.51264499999999953e+03,5.70397999999999956e+03,-4.51460328048758253e-07,1.24041285360595392e-07
5.70397999999999956e+03,5.89531499999999960e+03,-3.14413496002633264e-07,7.25207393436834438e-08
5.89531499999999960e+03,6.08664999999999964e+03,-1.51118705530515456e-07,3.90075759064843579e-08
6.08664999999999964e+03,6.27798499999999967e+03,-4.59749538690742877e-08,1.43850745851725245e-08
6.27798499999999967e+03,6.46931999999999971e+03,-1.82850774197089110e-08,5.91439088670651000e-09
6.46931999999999971e+03,6.66065499999999975e+03,-5.46889431357900546e-09,2.22367116050946119e-09
6.66065499999999975e+03,6.85198999999999978e+03,-3.36323431765388581e-09,1.13581247894536676e-09
6.85198999999999978e+03,7.04332499999999982e+03,-1.05796531251468387e-09,3.69397332074433663e-10
7.04332499999999891e+03,7.23465999999999894e+03,-2.34910132726682425e-10,7.81128440296162221e-11
7.23465999999999894e+03,7.42599499999999898e+03,-2.34041987223907921e-11,4.97873284395302821e-11
7.42599499999999898e+03,7.61732999999999902e+03,-1.31217359432073231e-11,4.32462849948210644e-12
7.61732999999999902e+03,7.80866499999999905e+03,-6.74983905817781117e-13,3.04389768398715666e-13
7.80866499999999905e+03,7.99999999999999909e+03,-6.79722248960431366e-15,3.70508150573801919e-15
