bin_low_gev,bin_high_gev,value,error
3.46600000000000023e+02,5.37934999999999945e+02,-3.64615751775873989e+01,2.55945378393208900e+00
5.37934999999999945e+02,7.29269999999999982e+02,-1.82790414367153637e+01,1.49727001776521695e+00
7.29269999999999982e+02,9.20605000000000018e+02,-6.66038295839624972e+00,6.56613833319435347e-01
9.20605000000000018e+02,1.11194000000000005e+03,-1.95782564061502895e+00,2.54914631190484464e-01
1.11194000000000005e+03,1.30327500000000009e+03,-9.94832522709521605e-01,1.25473475434319526e-01
1.30327499999999986e+03,1.49460999999999990e+03,-3.56597510644660665e-01,4.51019616579078145e-02
1.49460999999999990e+03,1.68594499999999994e+03,-1.50215711379563605e-01,2.28293971880561795e-02
1.68594499999999994e+03,1.87727999999999997e+03,-6.15268808423796373e-02,1.02172885008930923e-02
1.87727999999999975e+03,2.06861499999999978e+03,-2.71016626148806415e-02,4.84125492845640260e-03
2.06861499999999978e+03,2.25994999999999982e+03,-9.86994573896287503e-03,2.55641677008377642e-03
2.25994999999999982e+03,2.45128499999999985e+03,-8.28809768452287363e-03,1.22474001285225050e-03
2.45128499999999985e+03,2.64261999999999989e+03,-2.94123265490275681e-03,4.79038486485867856e-04
2.64261999999999989e+03,2.83395499999999993e+03,-1.02034899839786885e-03,2.89171317687208801e-04
2.83395499999999993e+03,3.02528999999999996e+03,-4.78210784793919213e-04,1.35806288798317977e-04
3.02528999999999996e+03,3.21662500000000000e+03,-2.39387499912505736e-04,8.20800459705608543e-05
3.21662499999999955e+03,3.40795999999999958e+03,-9.49159046484008358e-05,4.92585888552822792e-05
3.40795999999999958e+03,3.59929499999999962e+03,-2.05710460216537485e-06,2.95336455921609141e-05
3.59929499999999962e+03,3.79062999999999965e+03,-3.98752733552624100e-05,1.42499537839576263e-05
3.79062999999999965e+03,3.98196499999999969e+03,1.13268050112897651e-05,1.06439418810685559e-05
3.98196499999999969e+03,4.17329999999999927e+03,2.37123498011217649e-06,5.67345120457676294e-06
4.17329999999999927e+03,4.36463499999999931e+03,2.64215056163946753e-06,3.11587078926546300e-06
4.36463499999999931e+03,4.55596999999999935e+03,9.78013973835819807e-06,2.87576315686161571e-06
4.55596999999999935e+03,4.74730499999999938e+03,4.26691944246614148e-06,1.68951893595839391e-06
4.74730499999999938e+03,4.93863999999999942e+03,1.73158873191305489e-06,9.20229806808857080e-07
4.93863999999999942e+03,5.12997499999999945e+03,1.28965082195660124e-06,5.75901055513123643e-07
5.12997499999999945e+03,5.32130999999999949e+03,1.22520450059261491e-06,4.01155312704692675e-07
5.32130999999999949e+03,5.51264499999999953e+03,5.14594912489069712e-07,1.57326748433523508e-07
5.51264499999999953e+03,5.70397999999999956e+03,1.76353036876857470e-07,7.43669555094261441e-08
5.70397999999999956e+03,5.89531499999999960e+03,7.17879800290771729e-08,3.24461162986874435e-08
5.89531499999999960e+03,6.08664999999999964e+03,1.05713535118634227e-07,2.84563697506074266e-08
6.08664999999999964e+03,6.27798499999999967e+03,5.07839291253991388e-08,1.35923532955495106e-08
6.27798499999999967e+03,6.46931999999999971e+03,1.57982701655942731e-08,5.26936703620037938e-09
6.46931999999999971e+03,6.66065499999999975e+03,6.04393817223083501e-09,1.77447287136078835e-09
6.66065499999999975e+03,6.85198999999999978e+03,2.01391838583291437e-09,8.26997060307418854e-10
6.85198999999999978e+03,7.04332499999999982e+03,1.04314703212818400e-09,3.57277838908353900e-10
7.04332499999999891e+03,7.23465999999999894e+03,2.21972635732955758e-10,7.20649602201543413e-11
7.23465999999999894e+03,7.42599499999999898e+03,5.00513832814947271e-11,1.45402342687687816e-11
7.42599499999999898e+03,7.61732999999999902e+03,1.31801853428805828e-11,3.70305358998091712e-12
7.61732999999999902e+03,7.80866499999999905e+03,3.63545784647254948e-13,1.20989261309460008e-13
7.80866499999999905e+03,7.99999999999999909e+03,3.43102783104588407e-15,1.51493070048444621e-15
