bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,3.26742066781783862e+01,3.79223432956676421e+00
5.00000000000000000e+00,1.00000000000000000e+01,9.60129510082220889e+01,6.77822747923484492e+00
1.00000000000000000e+01,1.50000000000000000e+01,1.68446151465893706e+02,7.77558929461792925e+00
1.50000000000000000e+01,2.00000000000000000e+01,2.38784014621432789e+02,1.05563178420048320e+01
2.00000000000000000e+01,2.50000000000000000e+01,3.13605372640463656e+02,1.29043962003239958e+01
2.50000000000000000e+01,3.00000000000000000e+01,3.28338124763785572e+02,1.05272429595835479e+01
3.00000000000000000e+01,3.50000000000000000e+01,3.94934933045852631e+02,1.18832581827585120e+01
3.50000000000000000e+01,4.00000000000000000e+01,4.18559771472381385e+02,1.31232670124970561e+01
4.00000000000000000e+01,4.50000000000000000e+01,4.64977779391668435e+02,1.29266335035964701e+01
4.50000000000000000e+01,5.00000000000000000e+01,5.13041907114590117e+02,1.38702237896037115e+01
5.00000000000000000e+01,5.50000000000000000e+01,5.43911611871398236e+02,1.48707595090431237e+01
5.50000000000000000e+01,6.00000000000000000e+01,5.72651927615528280e+02,1.46670899274464581e+01
6.00000000000000000e+01,6.50000000000000000e+01,6.14753906954480158e+02,1.58355386266746994e+01
6.50000000000000000e+01,7.00000000000000000e+01,5.92708243387524135e+02,1.45382715654757870e+01
7.00000000000000000e+01,7.50000000000000000e+01,6.31598109320760386e+02,1.65974166595080845e+01
7.50000000000000000e+01,8.00000000000000000e+01,6.22585348805690273e+02,1.52582745247803810e+01
8.00000000000000000e+01,8.50000000000000000e+01,6.39538002138673960e+02,1.63087797220006934e+01
8.50000000000000000e+01,9.00000000000000000e+01,6.17334953669069023e+02,1.53167421419879570e+01
9.00000000000000000e+01,9.50000000000000000e+01,5.91976089773658941e+02,1.50114566471031061e+01
9.50000000000000000e+01,1.00000000000000000e+02,6.17577631843796439e+02,1.62514817530913298e+01
1.00000000000000000e+02,1.05000000000000000e+02,5.91593211548825366e+02,1.52841900595126390e+01
1.05000000000000000e+02,1.10000000000000000e+02,5.32203745324630631e+02,1.34432063598684302e+01
1.10000000000000000e+02,1.15000000000000000e+02,5.14002584297458270e+02,1.26876952777202412e+01
1.15000000000000000e+02,1.20000000000000000e+02,5.22193095152659794e+02,1.31133720841818029e+01
1.20000000000000000e+02,1.25000000000000000e+02,4.87917063661036025e+02,1.21941983545329204e+01
1.25000000000000000e+02,1.30000000000000000e+02,4.57945766503624668e+02,1.21343421198105972e+01
1.30000000000000000e+02,1.35000000000000000e+02,4.22859268661568251e+02,1.02650823629729810e+01
1.35000000000000000e+02,1.40000000000000000e+02,4.15168067024473544e+02,1.12949851704545310e+01
1.40000000000000000e+02,1.45000000000000000e+02,3.77560192913932553e+02,1.00928269961600421e+01
1.45000000000000000e+02,1.50000000000000000e+02,3.67526302728633937e+02,9.82373763681049006e+00
1.50000000000000000e+02,1.55000000000000000e+02,3.19893511540213979e+02,8.90290041654848707e+00
1.55000000000000000e+02,1.60000000000000000e+02,3.11143942672656920e+02,8.27923768755954015e+00
1.60000000000000000e+02,1.65000000000000000e+02,2.92127186000976337e+02,8.39155115778236826e+00
1.65000000000000000e+02,1.70000000000000000e+02,2.65509818067417541e+02,7.26305313248744788e+00
1.70000000000000000e+02,1.75000000000000000e+02,2.50012653267700898e+02,6.63891332769046372e+00
1.75000000000000000e+02,1.80000000000000000e+02,2.36587157577862769e+02,6.93250276169267377e+00
1.80000000000000000e+02,1.85000000000000000e+02,2.15136009074992415e+02,6.04638783015580294e+00
1.85000000000000000e+02,1.90000000000000000e+02,1.99533550007117839e+02,5.98660368004690824e+00
1.90000000000000000e+02,1.95000000000000000e+02,1.73368202695848794e+02,4.73805066998048119e+00
1.95000000000000000e+02,2.00000000000000000e+02,1.73919765693791391e+02,5.01181790298403484e+00
2.00000000000000000e+02,2.05000000000000000e+02,1.54331634815523444e+02,4.53667900897137955e+00
2.05000000000000000e+02,2.10000000000000000e+02,1.37171495112195089e+02,3.96001651127179999e+00
2.10000000000000000e+02,2.15000000000000000e+02,1.24047262731719954e+02,3.70178285487896774e+00
2.15000000000000000e+02,2.20000000000000000e+02,1.20891555066380320e+02,3.50682789775337644e+00
2.20000000000000000e+02,2.25000000000000000e+02,1.06301345146599402e+02,3.19677951517246317e+00
2.25000000000000000e+02,2.30000000000000000e+02,9.36160291881429174e+01,2.75293663641310804e+00
2.30000000000000000e+02,2.35000000000000000e+02,9.56840587783370324e+01,2.98488608115865617e+00
2.35000000000000000e+02,2.40000000000000000e+02,8.91740064564569508e+01,2.80034242275859047e+00
2.40000000000000000e+02,2.45000000000000000e+02,7.93130476084843536e+01,2.65064166769074872e+00
2.45000000000000000e+02,2.50000000000000000e+02,7.21132017552938862e+01,2.23113525204653884e+00
2.50000000000000000e+02,2.55000000000000000e+02,6.23632182503475150e+01,1.89640160562164795e+00
2.55000000000000000e+02,2.60000000000000000e+02,5.82699106013815182e+01,1.73302791372366505e+00
2.60000000000000000e+02,2.65000000000000000e+02,5.49883532913714745e+01,1.70907521619646219e+00
2.65000000000000000e+02,2.70000000000000000e+02,4.96250599383271194e+01,1.44579262717502921e+00
2.70000000000000000e+02,2.75000000000000000e+02,4.56470625230947888e+01,1.49216225398566471e+00
2.75000000000000000e+02,2.80000000000000000e+02,4.13204740703731304e+01,1.33840644226944439e+00
2.80000000000000000e+02,2.85000000000000000e+02,3.72046800031919602e+01,1.17944076412432874e+00
2.85000000000000000e+02,2.90000000000000000e+02,3.59655167070033741e+01,1.28082317768631104e+00
2.90000000000000000e+02,2.95000000000000000e+02,3.24598997443854458e+01,1.07351755566725560e+00
2.95000000000000000e+02,3.00000000000000000e+02,2.93853148765116821e+01,9.34984812911021645e-01
3.00000000000000000e+02,3.05000000000000000e+02,2.74553479732591299e+01,9.57139808363912992e-01
3.05000000000000000e+02,3.10000000000000000e+02,2.49049034489631218e+01,9.22939729031121425e-01
3.10000000000000000e+02,3.15000000000000000e+02,2.27177625430632695e+01,8.23301245717884322e-01
3.15000000000000000e+02,3.20000000000000000e+02,2.01512347878913651e+01,6.93828529835193386e-01
3.20000000000000000e+02,3.25000000000000000e+02,1.93732568963403686e+01,6.65356488870644469e-01
3.25000000000000000e+02,3.30000000000000000e+02,1.73749956114421202e+01,5.74652054053528150e-01
3.30000000000000000e+02,3.35000000000000000e+02,1.66705463167406229e+01,5.87973949545239960e-01
3.35000000000000000e+02,3.40000000000000000e+02,1.34660732958819764e+01,4.53259258232941831e-01
3.40000000000000000e+02,3.45000000000000000e+02,1.33023781666633756e+01,4.61405360967661660e-01
3.45000000000000000e+02,3.50000000000000000e+02,1.25686118205077193e+01,4.55602250392879882e-01
3.50000000000000000e+02,3.55000000000000000e+02,1.13348929861271834e+01,4.23696046758381129e-01
3.55000000000000000e+02,3.60000000000000000e+02,1.01910384499710407e+01,3.94623895837732885e-01
3.60000000000000000e+02,3.65000000000000000e+02,1.00758144814514115e+01,4.12383336744030937e-01
3.65000000000000000e+02,3.70000000000000000e+02,8.85047016369988704e+00,3.37278506894489516e-01
3.70000000000000000e+02,3.75000000000000000e+02,8.11385405627731870e+00,3.14744864231947252e-01
3.75000000000000000e+02,3.80000000000000000e+02,7.96100752660943645e+00,3.15997761171938341e-01
3.80000000000000000e+02,3.85000000000000000e+02,6.44928872152877020e+00,2.31916108592807230e-01
3.85000000000000000e+02,3.90000000000000000e+02,6.39645123792516390e+00,2.43604292911283132e-01
3.90000000000000000e+02,3.95000000000000000e+02,5.85525264459409911e+00,2.33807290176179988e-01
3.95000000000000000e+02,4.00000000000000000e+02,5.34225504826605402e+00,2.20372639399731229e-01
4.00000000000000000e+02,4.05000000000000000e+02,4.51570735210337748e+00,1.63992666382530405e-01
4.05000000000000000e+02,4.10000000000000000e+02,4.54556969236829023e+00,1.78625816596211323e-01
4.10000000000000000e+02,4.15000000000000000e+02,4.36345186891151293e+00,1.73530254680452078e-01
4.15000000000000000e+02,4.20000000000000000e+02,4.17028435065644576e+00,1.83056946457037378e-01
4.20000000000000000e+02,4.25000000000000000e+02,3.90089512518702231e+00,1.59003651679580554e-01
4.25000000000000000e+02,4.30000000000000000e+02,3.37828472039464955e+00,1.42186807602654453e-01
4.30000000000000000e+02,4.35000000000000000e+02,3.11103981502947713e+00,1.27330659752757064e-01
4.35000000000000000e+02,4.40000000000000000e+02,2.92433989576551845e+00,1.21611961807888636e-01
4.40000000000000000e+02,4.45000000000000000e+02,2.62283865417876161e+00,1.24940218450855775e-01
4.45000000000000000e+02,4.50000000000000000e+02,2.37948661789464699e+00,9.95058150064775798e-02
4.50000000000000000e+02,4.55000000000000000e+02,2.37068468601504057e+00,1.01883923225096387e-01
4.55000000000000000e+02,4.60000000000000000e+02,2.09273306876599197e+00,8.59905822005947451e-02
4.60000000000000000e+02,4.65000000000000000e+02,1.90794476305262473e+00,8.11207658579559399e-02
4.65000000000000000e+02,4.70000000000000000e+02,1.83788908221315839e+00,8.40834615018662690e-02
4.70000000000000000e+02,4.75000000000000000e+02,1.54862910358930939e+00,7.18549859860199008e-02
4.75000000000000000e+02,4.80000000000000000e+02,1.56592804542249775e+00,7.41725843782213429e-02
4.80000000000000000e+02,4.85000000000000000e+02,1.41989075940584075e+00,6.81941518969895466e-02
4.85000000000000000e+02,4.90000000000000000e+02,1.33688980211323072e+00,5.99443311304497517e-02
4.90000000000000000e+02,4.95000000000000000e+02,1.24679143590403396e+00,5.92714448180241618e-02
4.95000000000000000e+02,5.00000000000000000e+02,1.04310228177385489e+00,4.76640956923019554e-02
