bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,5.08130324393346342e+01,3.78797803609999661e+00
5.00000000000000000e+00,1.00000000000000000e+01,1.56092512467755768e+02,6.69165718068505733e+00
1.00000000000000000e+01,1.50000000000000000e+01,2.52558071905881434e+02,8.44826987219110137e+00
1.50000000000000000e+01,2.00000000000000000e+01,3.47583658743038654e+02,1.00774445769302883e+01
2.00000000000000000e+01,2.50000000000000000e+01,4.49294418352593652e+02,1.14367616120083433e+01
2.50000000000000000e+01,3.00000000000000000e+01,5.46480788535906299e+02,1.29341903057416090e+01
3.00000000000000000e+01,3.50000000000000000e+01,5.95542742161807269e+02,1.33342140462293255e+01
3.50000000000000000e+01,4.00000000000000000e+01,6.85025339777146087e+02,1.44735927384666141e+01
4.00000000000000000e+01,4.50000000000000000e+01,7.56867339896938347e+02,1.53727623835502225e+01
4.50000000000000000e+01,5.00000000000000000e+01,8.30251169177919110e+02,1.62196852799852458e+01
5.00000000000000000e+01,5.50000000000000000e+01,8.90693713238085024e+02,1.68976900930358624e+01
5.50000000000000000e+01,6.00000000000000000e+01,9.10478585028857992e+02,1.70208775371292802e+01
6.00000000000000000e+01,6.50000000000000000e+01,8.98367764520436367e+02,1.68239166435530372e+01
6.50000000000000000e+01,7.00000000000000000e+01,9.56555589514831809e+02,1.74856222134932011e+01
7.00000000000000000e+01,7.50000000000000000e+01,9.46751981504624382e+02,1.71958760575591434e+01
7.50000000000000000e+01,8.00000000000000000e+01,9.46775686541103823e+02,1.70835232537447688e+01
8.00000000000000000e+01,8.50000000000000000e+01,9.79066390855398140e+02,1.75011080080379031e+01
8.50000000000000000e+01,9.00000000000000000e+01,1.00681080098595112e+03,1.74488489876509796e+01
9.00000000000000000e+01,9.50000000000000000e+01,9.79528581698242078e+02,1.70753368787044764e+01
9.50000000000000000e+01,1.00000000000000000e+02,9.21575890202534424e+02,1.63430774559896648e+01
1.00000000000000000e+02,1.05000000000000000e+02,9.09630994575603154e+02,1.60425378182659095e+01
1.05000000000000000e+02,1.10000000000000000e+02,8.73784861633951664e+02,1.54883134159740816e+01
1.10000000000000000e+02,1.15000000000000000e+02,8.56302976713924522e+02,1.50230691633609403e+01
1.15000000000000000e+02,1.20000000000000000e+02,8.01695204797372412e+02,1.43255303360733777e+01
1.20000000000000000e+02,1.25000000000000000e+02,8.13411455570021531e+02,1.41652905714212913e+01
1.25000000000000000e+02,1.30000000000000000e+02,7.47955213167240458e+02,1.33011576088230186e+01
1.30000000000000000e+02,1.35000000000000000e+02,7.25814509430900102e+02,1.28395554859733458e+01
1.35000000000000000e+02,1.40000000000000000e+02,6.65982718820003811e+02,1.20178214281301301e+01
1.40000000000000000e+02,1.45000000000000000e+02,6.45114200018394627e+02,1.15529474217179136e+01
1.45000000000000000e+02,1.50000000000000000e+02,6.06865134732194861e+02,1.08980665659558476e+01
1.50000000000000000e+02,1.55000000000000000e+02,5.64507702763749649e+02,1.02561760728056122e+01
1.55000000000000000e+02,1.60000000000000000e+02,5.20276572564075082e+02,9.60381580234814436e+00
1.60000000000000000e+02,1.65000000000000000e+02,5.08691572531914858e+02,9.21076137928217165e+00
1.65000000000000000e+02,1.70000000000000000e+02,4.51328238555056998e+02,8.41012564306757504e+00
1.70000000000000000e+02,1.75000000000000000e+02,4.29979981486375891e+02,7.95921685145824842e+00
1.75000000000000000e+02,1.80000000000000000e+02,3.97893810256849065e+02,7.49114558916570328e+00
1.80000000000000000e+02,1.85000000000000000e+02,3.80876553557859722e+02,7.14094496249261290e+00
1.85000000000000000e+02,1.90000000000000000e+02,3.53802324852416405e+02,6.66240959896643137e+00
1.90000000000000000e+02,1.95000000000000000e+02,3.24210162128403681e+02,6.17964937816246085e+00
1.95000000000000000e+02,2.00000000000000000e+02,2.95552984678781513e+02,5.70739651918326452e+00
2.00000000000000000e+02,2.05000000000000000e+02,2.85040446131169574e+02,5.45828458656554183e+00
2.05000000000000000e+02,2.10000000000000000e+02,2.64459437534757058e+02,5.07142736761835877e+00
2.10000000000000000e+02,2.15000000000000000e+02,2.35654749438492530e+02,4.66133068162008080e+00
2.15000000000000000e+02,2.20000000000000000e+02,2.27506449657062149e+02,4.44445460108250678e+00
2.20000000000000000e+02,2.25000000000000000e+02,2.06804663589582731e+02,4.08249765840744683e+00
2.25000000000000000e+02,2.30000000000000000e+02,1.92940361661880701e+02,3.82818612584717854e+00
2.30000000000000000e+02,2.35000000000000000e+02,1.78063541509897391e+02,3.59243133903418821e+00
2.35000000000000000e+02,2.40000000000000000e+02,1.58022751122134025e+02,3.26092555155542074e+00
2.40000000000000000e+02,2.45000000000000000e+02,1.48049456217213560e+02,3.04255084481777871e+00
2.45000000000000000e+02,2.50000000000000000e+02,1.43019077827976901e+02,2.90414059054654361e+00
2.50000000000000000e+02,2.55000000000000000e+02,1.26366147241776801e+02,2.65169089388619250e+00
2.55000000000000000e+02,2.60000000000000000e+02,1.12322383951138860e+02,2.40574150610588910e+00
2.60000000000000000e+02,2.65000000000000000e+02,1.11700329470526640e+02,2.32173588068391101e+00
2.65000000000000000e+02,2.70000000000000000e+02,9.69220058337612187e+01,2.08337930404302041e+00
2.70000000000000000e+02,2.75000000000000000e+02,9.54131044566930484e+01,2.02287677415343126e+00
2.75000000000000000e+02,2.80000000000000000e+02,8.45169877764527513e+01,1.85018613598169956e+00
2.80000000000000000e+02,2.85000000000000000e+02,8.21078147431642691e+01,1.75818215491504026e+00
2.85000000000000000e+02,2.90000000000000000e+02,7.67425207537855556e+01,1.65811190825149946e+00
2.90000000000000000e+02,2.95000000000000000e+02,6.91761026679601372e+01,1.50720599346554551e+00
2.95000000000000000e+02,3.00000000000000000e+02,6.35028238528097262e+01,1.41055608676740674e+00
3.00000000000000000e+02,3.05000000000000000e+02,5.68136874649027561e+01,1.28571778882889887e+00
3.05000000000000000e+02,3.10000000000000000e+02,5.40954422399982562e+01,1.21595156998067400e+00
3.10000000000000000e+02,3.15000000000000000e+02,5.08815300670436557e+01,1.14624084586592168e+00
3.15000000000000000e+02,3.20000000000000000e+02,4.70630262996105273e+01,1.06633265109452791e+00
3.20000000000000000e+02,3.25000000000000000e+02,4.28136583127799568e+01,9.83383895207232461e-01
3.25000000000000000e+02,3.30000000000000000e+02,4.05370043882033215e+01,9.32323180799176088e-01
3.30000000000000000e+02,3.35000000000000000e+02,3.88028936588293476e+01,8.84304749361918607e-01
3.35000000000000000e+02,3.40000000000000000e+02,3.60304943875817898e+01,8.29910349619881638e-01
3.40000000000000000e+02,3.45000000000000000e+02,3.25514797804744873e+01,7.65210095467761753e-01
3.45000000000000000e+02,3.50000000000000000e+02,2.99593984974956129e+01,7.09542249989901674e-01
3.50000000000000000e+02,3.55000000000000000e+02,2.80367472172541383e+01,6.65441030943315970e-01
3.55000000000000000e+02,3.60000000000000000e+02,2.67037629359552042e+01,6.30508538892448400e-01
3.60000000000000000e+02,3.65000000000000000e+02,2.56157793405522334e+01,6.01947369398239562e-01
3.65000000000000000e+02,3.70000000000000000e+02,2.27939093223480853e+01,5.51615127829875651e-01
3.70000000000000000e+02,3.75000000000000000e+02,1.97982374535903993e+01,4.95597208130132971e-01
3.75000000000000000e+02,3.80000000000000000e+02,1.98722824506918059e+01,4.87222808138228936e-01
3.80000000000000000e+02,3.85000000000000000e+02,1.71944933192018787e+01,4.35084403171701606e-01
3.85000000000000000e+02,3.90000000000000000e+02,1.63130222975925641e+01,4.13276388850871645e-01
