bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
0.00000000000000000e+00,5.00000000000000000e+00,5.08130324393346342e+01,3.78797803609999661e+00,3.94102829687755545e+01,6.69208327602857338e+01
5.00000000000000000e+00,1.00000000000000000e+01,1.56092512467755768e+02,6.69165718068505733e+00,1.21081326609692482e+02,2.05527232262615740e+02
1.00000000000000000e+01,1.50000000000000000e+01,2.52558071905881434e+02,8.44826987219110137e+00,1.95834320072490925e+02,3.32701208346170631e+02
1.50000000000000000e+01,2.00000000000000000e+01,3.47583658743038654e+02,1.00774445769302883e+01,2.69641205556641069e+02,4.57610566877337874e+02
2.00000000000000000e+01,2.50000000000000000e+01,4.49294418352593652e+02,1.14367616120083433e+01,3.48404858887085936e+02,5.91812465878102330e+02
2.50000000000000000e+01,3.00000000000000000e+01,5.46480788535906299e+02,1.29341903057416090e+01,4.23116418142104180e+02,7.21045277293347795e+02
3.00000000000000000e+01,3.50000000000000000e+01,5.95542742161807269e+02,1.33342140462293255e+01,4.61655814396759979e+02,7.84734063006838483e+02
3.50000000000000000e+01,4.00000000000000000e+01,6.85025339777146087e+02,1.44735927384666141e+01,5.30259989928866730e+02,9.04073254925101423e+02
4.00000000000000000e+01,4.50000000000000000e+01,7.56867339896938347e+02,1.53727623835502225e+01,5.85041157306665696e+02,1.00054057223016196e+03
4.50000000000000000e+01,5.00000000000000000e+01,8.30251169177919110e+02,1.62196852799852458e+01,6.41777894097139210e+02,1.09747516935364138e+03
5.00000000000000000e+01,5.50000000000000000e+01,8.90693713238085024e+02,1.68976900930358624e+01,6.88329489447324249e+02,1.17767174862315892e+03
5.50000000000000000e+01,6.00000000000000000e+01,9.10478585028857992e+02,1.70208775371292802e+01,7.02514982233111709e+02,1.20597420105014021e+03
6.00000000000000000e+01,6.50000000000000000e+01,8.98367764520436367e+02,1.68239166435530372e+01,6.93033558945580467e+02,1.19023018472259378e+03
6.50000000000000000e+01,7.00000000000000000e+01,9.56555589514831809e+02,1.74856222134932011e+01,7.37318945669828281e+02,1.26847866427451117e+03
7.00000000000000000e+01,7.50000000000000000e+01,9.46751981504624382e+02,1.71958760575591434e+01,7.28833983668530891e+02,1.25731279881520436e+03
7.50000000000000000e+01,8.00000000000000000e+01,9.46775686541103823e+02,1.70835232537447688e+01,7.28480628216486593e+02,1.25808560343686440e+03
8.00000000000000000e+01,8.50000000000000000e+01,9.79066390855398140e+02,1.75011080080379031e+01,7.52402879869408025e+02,1.30274844843952997e+03
8.50000000000000000e+01,9.00000000000000000e+01,1.00681080098595112e+03,1.74488489876509796e+01,7.73077534534495612e+02,1.34099089250729321e+03
9.00000000000000000e+01,9.50000000000000000e+01,9.79528581698242078e+02,1.70753368787044764e+01,7.51801934081482386e+02,1.30528689673009058e+03
