bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,8.83980132958551081e+01,5.41240614906446993e+00
5.00000000000000000e+00,1.00000000000000000e+01,2.59423232577182432e+02,9.66240364607620528e+00
1.00000000000000000e+01,1.50000000000000000e+01,4.28270952262428978e+02,1.16211584011269391e+01
1.50000000000000000e+01,2.00000000000000000e+01,5.94059453635026898e+02,1.47302102468616507e+01
2.00000000000000000e+01,2.50000000000000000e+01,7.68975020416389498e+02,1.74209669233265920e+01
2.50000000000000000e+01,3.00000000000000000e+01,8.71266025641812462e+02,1.70125540560307940e+01
3.00000000000000000e+01,3.50000000000000000e+01,9.90336861160290823e+02,1.81721739740900574e+01
3.50000000000000000e+01,4.00000000000000000e+01,1.10529194704341944e+03,1.97606896738769713e+01
4.00000000000000000e+01,4.50000000000000000e+01,1.20935053633502730e+03,2.03843223841586791e+01
4.50000000000000000e+01,5.00000000000000000e+01,1.32710802243461626e+03,2.16485159268907701e+01
5.00000000000000000e+01,5.50000000000000000e+01,1.40489883748142665e+03,2.28532944673271992e+01
5.50000000000000000e+01,6.00000000000000000e+01,1.45322836718010763e+03,2.27454095625028785e+01
6.00000000000000000e+01,6.50000000000000000e+01,1.47812957156860944e+03,2.34730279748075290e+01
6.50000000000000000e+01,7.00000000000000000e+01,1.50771055972053159e+03,2.31292079822003700e+01
7.00000000000000000e+01,7.50000000000000000e+01,1.52942140396291279e+03,2.42014668574566549e+01
7.50000000000000000e+01,8.00000000000000000e+01,1.51825532341581652e+03,2.32383392269561213e+01
8.00000000000000000e+01,8.50000000000000000e+01,1.56162892443066494e+03,2.42480509524631778e+01
8.50000000000000000e+01,9.00000000000000000e+01,1.56278155509085423e+03,2.35785671817865463e+01
9.00000000000000000e+01,9.50000000000000000e+01,1.50086806466772464e+03,2.30556883720077614e+01
9.50000000000000000e+01,1.00000000000000000e+02,1.45814647660814217e+03,2.35083654079601203e+01
1.00000000000000000e+02,1.05000000000000000e+02,1.41869716300755636e+03,2.25574885446609947e+01
1.05000000000000000e+02,1.10000000000000000e+02,1.32647846081390935e+03,2.08346935898297616e+01
1.10000000000000000e+02,1.15000000000000000e+02,1.28803865295628725e+03,2.00094929510704453e+01
1.15000000000000000e+02,1.20000000000000000e+02,1.23461885272477639e+03,1.98725602626939803e+01
1.20000000000000000e+02,1.25000000000000000e+02,1.20742166841048379e+03,1.91995337667846115e+01
1.25000000000000000e+02,1.30000000000000000e+02,1.10933341858593826e+03,1.84423427525544632e+01
1.30000000000000000e+02,1.35000000000000000e+02,1.05382162397895922e+03,1.68797291717483589e+01
1.35000000000000000e+02,1.40000000000000000e+02,9.91439945297006943e+02,1.69156401351613859e+01
1.40000000000000000e+02,1.45000000000000000e+02,9.23520050614079764e+02,1.57844630795942429e+01
1.45000000000000000e+02,1.50000000000000000e+02,8.74585556448758098e+02,1.52408812180412241e+01
1.50000000000000000e+02,1.55000000000000000e+02,7.87009041736759059e+02,1.41970926611870052e+01
1.55000000000000000e+02,1.60000000000000000e+02,7.42496235060525919e+02,1.31311997842261210e+01
1.60000000000000000e+02,1.65000000000000000e+02,7.08791077464729369e+02,1.30106840454910966e+01
1.65000000000000000e+02,1.70000000000000000e+02,6.29340946100995097e+02,1.16753671930565801e+01
1.70000000000000000e+02,1.75000000000000000e+02,5.97069641812488726e+02,1.07581534572055233e+01
1.75000000000000000e+02,1.80000000000000000e+02,5.53755750949874141e+02,1.06552433629683261e+01
1.80000000000000000e+02,1.85000000000000000e+02,5.14163706515121362e+02,9.95122857335584854e+00
1.85000000000000000e+02,1.90000000000000000e+02,4.76030381986141720e+02,9.48912864906417219e+00
1.90000000000000000e+02,1.95000000000000000e+02,4.25102344626421541e+02,8.32145702696810652e+00
1.95000000000000000e+02,2.00000000000000000e+02,3.89947969020371374e+02,8.29582702611354783e+00
2.00000000000000000e+02,2.05000000000000000e+02,3.68460616258941400e+02,7.87732482838909931e+00
2.05000000000000000e+02,2.10000000000000000e+02,3.32375678202858865e+02,7.17755966585179284e+00
2.10000000000000000e+02,2.15000000000000000e+02,2.97077645148802617e+02,6.55030504738940156e+00
2.15000000000000000e+02,2.20000000000000000e+02,2.85693069156439833e+02,6.39451810952747390e+00
2.20000000000000000e+02,2.25000000000000000e+02,2.49341560171029357e+02,5.92089769304004765e+00
2.25000000000000000e+02,2.30000000000000000e+02,2.27659126826253754e+02,5.41269344990065004e+00
2.30000000000000000e+02,2.35000000000000000e+02,2.21648727469580990e+02,5.36223776696952470e+00
2.35000000000000000e+02,2.40000000000000000e+02,1.99023991640812710e+02,4.93844057288055804e+00
2.40000000000000000e+02,2.45000000000000000e+02,1.79337806302443255e+02,4.65559074356532587e+00
2.45000000000000000e+02,2.50000000000000000e+02,1.69591625387702067e+02,4.30326341769053933e+00
2.50000000000000000e+02,2.55000000000000000e+02,1.46695987467957565e+02,3.89866569343749836e+00
2.55000000000000000e+02,2.60000000000000000e+02,1.31888268458290867e+02,3.47461787656159204e+00
2.60000000000000000e+02,2.65000000000000000e+02,1.24985501986707575e+02,3.68782669249402595e+00
2.65000000000000000e+02,2.70000000000000000e+02,1.07533719113592127e+02,3.27056027023623264e+00
