bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
0.00000000000000000e+00,5.00000000000000000e+00,8.83980132958551081e+01,5.41240614906446993e+00,7.56464671033049569e+01,1.02534221265406998e+02
5.00000000000000000e+00,1.00000000000000000e+01,2.59423232577182432e+02,9.66240364607620528e+00,2.22134938237823803e+02,3.00572780443503291e+02
1.00000000000000000e+01,1.50000000000000000e+01,4.28270952262428978e+02,1.16211584011269391e+01,3.66448652162719782e+02,4.97136917295513001e+02
1.50000000000000000e+01,2.00000000000000000e+01,5.94059453635026898e+02,1.47302102468616507e+01,5.10337508707052734e+02,6.84930361759488846e+02
2.00000000000000000e+01,2.50000000000000000e+01,7.68975020416389498e+02,1.74209669233265920e+01,6.56956506660964237e+02,8.94160207378493851e+02
2.50000000000000000e+01,3.00000000000000000e+01,8.71266025641812462e+02,1.70125540560307940e+01,7.46839156406580287e+02,1.00804939409940005e+03
3.00000000000000000e+01,3.50000000000000000e+01,9.90336861160290823e+02,1.81721739740900574e+01,8.54554272461042046e+02,1.13440127166563548e+03
3.50000000000000000e+01,4.00000000000000000e+01,1.10529194704341944e+03,1.97606896738769713e+01,9.49907448118774028e+02,1.27338854552331350e+03
4.00000000000000000e+01,4.50000000000000000e+01,1.20935053633502730e+03,2.03843223841586791e+01,1.03615782499033116e+03,1.40020019914544400e+03
4.50000000000000000e+01,5.00000000000000000e+01,1.32710802243461626e+03,2.16485159268907701e+01,1.14134504675523203e+03,1.52638071176721314e+03
5.00000000000000000e+01,5.50000000000000000e+01,1.40489883748142665e+03,2.28532944673271992e+01,1.21262225120214725e+03,1.60597330633240153e+03
5.50000000000000000e+01,6.00000000000000000e+01,1.45322836718010763e+03,2.27454095625028785e+01,1.24878536141344216e+03,1.67268009751332238e+03
6.00000000000000000e+01,6.50000000000000000e+01,1.47812957156860944e+03,2.34730279748075290e+01,1.27738937443831310e+03,1.68635465409210587e+03
6.50000000000000000e+01,7.00000000000000000e+01,1.50771055972053159e+03,2.31292079822003700e+01,1.30150177497369782e+03,1.72262673788302936e+03
7.00000000000000000e+01,7.50000000000000000e+01,1.52942140396291279e+03,2.42014668574566549e+01,1.31962487790222895e+03,1.74780880934935522e+03
7.50000000000000000e+01,8.00000000000000000e+01,1.51825532341581652e+03,2.32383392269561213e+01,1.31317360619787678e+03,1.72809473600178944e+03
8.00000000000000000e+01,8.50000000000000000e+01,1.56162892443066494e+03,2.42480509524631778e+01,1.34709036047458403e+03,1.78351059880198522e+03
8.50000000000000000e+01,9.00000000000000000e+01,1.56278155509085423e+03,2.35785671817865463e+01,1.34386449256989908e+03,1.79262937497294547e+03
