bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,1.02534221265406998e+02,6.90565985636891000e+00
5.00000000000000000e+00,1.00000000000000000e+01,3.00572780443503291e+02,1.24499086768964311e+01
1.00000000000000000e+01,1.50000000000000000e+01,4.97136917295513001e+02,1.49339687633514231e+01
1.50000000000000000e+01,2.00000000000000000e+01,6.84930361759488846e+02,1.86501129002907646e+01
2.00000000000000000e+01,2.50000000000000000e+01,8.94160207378493851e+02,2.25157968874900440e+01
2.50000000000000000e+01,3.00000000000000000e+01,1.00804939409940005e+03,2.20448961947256521e+01
3.00000000000000000e+01,3.50000000000000000e+01,1.13440127166563548e+03,2.33089145935722506e+01
3.50000000000000000e+01,4.00000000000000000e+01,1.27338854552331350e+03,2.54139197478736456e+01
4.00000000000000000e+01,4.50000000000000000e+01,1.40020019914544400e+03,2.64552503750028727e+01
4.50000000000000000e+01,5.00000000000000000e+01,1.52638071176721314e+03,2.79557033231659986e+01
5.00000000000000000e+01,5.50000000000000000e+01,1.60597330633240153e+03,2.94594515981699239e+01
5.50000000000000000e+01,6.00000000000000000e+01,1.67268009751332238e+03,2.94611605859739747e+01
6.00000000000000000e+01,6.50000000000000000e+01,1.68635465409210587e+03,3.02950225989428645e+01
6.50000000000000000e+01,7.00000000000000000e+01,1.72262673788302936e+03,3.00129795358419891e+01
7.00000000000000000e+01,7.50000000000000000e+01,1.74780880934935522e+03,3.13021332559448133e+01
7.50000000000000000e+01,8.00000000000000000e+01,1.72809473600178944e+03,3.00354814649255921e+01
8.00000000000000000e+01,8.50000000000000000e+01,1.78351059880198522e+03,3.14113863142894338e+01
8.50000000000000000e+01,9.00000000000000000e+01,1.79262937497294547e+03,3.06395811458395748e+01
9.00000000000000000e+01,9.50000000000000000e+01,1.71224875041118617e+03,2.99833393534879669e+01
9.50000000000000000e+01,1.00000000000000000e+02,1.64806503434097931e+03,3.07180316842875136e+01
1.00000000000000000e+02,1.05000000000000000e+02,1.61380219270566363e+03,2.95058658321207794e+01
1.05000000000000000e+02,1.10000000000000000e+02,1.49953930908955908e+03,2.71673317416155733e+01
1.10000000000000000e+02,1.15000000000000000e+02,1.45308775613604985e+03,2.61585598344186749e+01
1.15000000000000000e+02,1.20000000000000000e+02,1.39080770020896671e+03,2.60546427663151121e+01
1.20000000000000000e+02,1.25000000000000000e+02,1.36746230019597624e+03,2.53166825146291323e+01
1.25000000000000000e+02,1.30000000000000000e+02,1.24797016116240979e+03,2.43474270685520153e+01
1.30000000000000000e+02,1.35000000000000000e+02,1.17031541135127532e+03,2.22877903416356951e+01
1.35000000000000000e+02,1.40000000000000000e+02,1.10556244599169463e+03,2.23189360003670210e+01
1.40000000000000000e+02,1.45000000000000000e+02,1.02483864101414110e+03,2.09084404790642004e+01
1.45000000000000000e+02,1.50000000000000000e+02,9.71068765077354897e+02,2.02293176912996842e+01
1.50000000000000000e+02,1.55000000000000000e+02,8.73919993866193863e+02,1.89860291392561429e+01
1.55000000000000000e+02,1.60000000000000000e+02,8.25039251180217093e+02,1.75663809077657582e+01
1.60000000000000000e+02,1.65000000000000000e+02,7.83808200196880989e+02,1.74684413849018974e+01
1.65000000000000000e+02,1.70000000000000000e+02,6.85162867850046837e+02,1.57574083988261240e+01
1.70000000000000000e+02,1.75000000000000000e+02,6.54544668147143284e+02,1.44269551059482808e+01
1.75000000000000000e+02,1.80000000000000000e+02,6.06717480705014168e+02,1.42803351703033954e+01
1.80000000000000000e+02,1.85000000000000000e+02,5.59621203630647415e+02,1.35006603267873970e+01
1.85000000000000000e+02,1.90000000000000000e+02,5.20217269543158181e+02,1.28746667509971395e+01
1.90000000000000000e+02,1.95000000000000000e+02,4.61167933794219266e+02,1.13124557655356366e+01
1.95000000000000000e+02,2.00000000000000000e+02,4.12278123783456635e+02,1.14176525461040139e+01
2.00000000000000000e+02,2.05000000000000000e+02,3.98763272196091407e+02,1.08567166455376523e+01
2.05000000000000000e+02,2.10000000000000000e+02,3.55451807055325276e+02,9.92779895498100906e+00
2.10000000000000000e+02,2.15000000000000000e+02,3.12922692149419959e+02,9.05814907750004394e+00
2.15000000000000000e+02,2.20000000000000000e+02,3.04266271826730190e+02,8.92057370048453535e+00
2.20000000000000000e+02,2.25000000000000000e+02,2.59066705662468735e+02,8.31979215433205788e+00
2.25000000000000000e+02,2.30000000000000000e+02,2.37650962147718474e+02,7.62541346981975732e+00
2.30000000000000000e+02,2.35000000000000000e+02,2.31633830840995330e+02,7.56139106590862831e+00
2.35000000000000000e+02,2.40000000000000000e+02,2.06036879646379958e+02,6.92354919911840749e+00
2.40000000000000000e+02,2.45000000000000000e+02,1.84549223743763577e+02,6.57744401383628663e+00
2.45000000000000000e+02,2.50000000000000000e+02,1.74024017803678760e+02,6.09276318330290767e+00
2.50000000000000000e+02,2.55000000000000000e+02,1.49906329069661723e+02,5.56598895785795200e+00
2.55000000000000000e+02,2.60000000000000000e+02,1.31811905732573564e+02,4.95108189568330381e+00
2.60000000000000000e+02,2.65000000000000000e+02,1.24016806589674076e+02,5.29937526931856961e+00
2.65000000000000000e+02,2.70000000000000000e+02,1.04109136445445301e+02,4.74026375723272420e+00
2.70000000000000000e+02,2.75000000000000000e+02,1.07274829222552853e+02,4.57865862817933866e+00
2.75000000000000000e+02,2.80000000000000000e+02,9.18823079619845799e+01,4.46805661549262645e+00
2.80000000000000000e+02,2.85000000000000000e+02,8.52794327532337491e+01,4.12968604261569538e+00
2.85000000000000000e+02,2.90000000000000000e+02,7.52175907618052690e+01,4.29404408775613522e+00
2.90000000000000000e+02,2.95000000000000000e+02,6.88605222567211399e+01,4.26922848643088582e+00
2.95000000000000000e+02,3.00000000000000000e+02,5.96635448042488434e+01,3.71076796369281814e+00
3.00000000000000000e+02,3.05000000000000000e+02,5.58188550039140026e+01,3.57247611360546014e+00
3.05000000000000000e+02,3.10000000000000000e+02,4.86930655807332471e+01,3.70032300505144640e+00
3.10000000000000000e+02,3.15000000000000000e+02,4.50298602575398164e+01,3.10990247055879276e+00
3.15000000000000000e+02,3.20000000000000000e+02,4.14242546413719310e+01,2.53721975622983553e+00
3.20000000000000000e+02,3.25000000000000000e+02,3.61994864266481855e+01,2.82871799160725335e+00
