bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,2.73393100711943982e+00,9.52217230842132611e-01
5.00000000000000000e+00,1.00000000000000000e+01,-1.43686683989615815e-01,2.33433448223936679e+00
1.00000000000000000e+01,1.50000000000000000e+01,-5.32938626797613210e-02,2.53645669407324403e+00
1.50000000000000000e+01,2.00000000000000000e+01,8.36879919215334223e-01,2.86429274077897578e+00
2.00000000000000000e+01,2.50000000000000000e+01,-1.40666662881351834e+00,3.65555828898432322e+00
2.50000000000000000e+01,3.00000000000000000e+01,-1.27732982457501230e+01,5.04988730577128209e+00
3.00000000000000000e+01,3.50000000000000000e+01,-3.89357146343768745e+00,5.01998720713452062e+00
3.50000000000000000e+01,4.00000000000000000e+01,2.89614627367288735e+00,4.43657862961032112e+00
4.00000000000000000e+01,4.50000000000000000e+01,-1.14986821503307866e+01,5.19204422873599913e+00
4.50000000000000000e+01,5.00000000000000000e+01,-1.09920849536961622e+01,5.57137239001727291e+00
5.00000000000000000e+01,5.50000000000000000e+01,-2.45986883737750048e+01,6.07913707480830823e+00
5.50000000000000000e+01,6.00000000000000000e+01,-1.63336195321946533e+01,5.43898686734963643e+00
6.00000000000000000e+01,6.50000000000000000e+01,-1.66187667050699162e+01,6.41445872633212932e+00
6.50000000000000000e+01,7.00000000000000000e+01,-1.89886148384682336e+01,6.50390170031344450e+00
7.00000000000000000e+01,7.50000000000000000e+01,-2.21439094487553376e+01,5.81652435814591673e+00
7.50000000000000000e+01,8.00000000000000000e+01,-1.75234000137394084e+01,5.95975552411184673e+00
8.00000000000000000e+01,8.50000000000000000e+01,-1.81212412796696682e+01,6.01980839074831842e+00
8.50000000000000000e+01,9.00000000000000000e+01,-1.82066481282360328e+01,6.26747496768437173e+00
9.00000000000000000e+01,9.50000000000000000e+01,-2.58845721484013644e+01,5.78972338831462530e+00
9.50000000000000000e+01,1.00000000000000000e+02,-3.53660666569440139e+01,7.09441174451640588e+00
1.00000000000000000e+02,1.05000000000000000e+02,-3.45972486744338710e+01,6.48089652528472726e+00
1.05000000000000000e+02,1.10000000000000000e+02,-2.25194936764949389e+01,5.55605946929735328e+00
1.10000000000000000e+02,1.15000000000000000e+02,-2.29215093877438782e+01,5.57253956239719184e+00
1.15000000000000000e+02,1.20000000000000000e+02,-2.96624361109290504e+01,6.35253100553016470e+00
1.20000000000000000e+02,1.25000000000000000e+02,-3.59421806101549564e+01,6.65757339755375277e+00
1.25000000000000000e+02,1.30000000000000000e+02,-3.67542853992040932e+01,5.97621311660248722e+00
1.30000000000000000e+02,1.35000000000000000e+02,-3.14166105983058443e+01,5.77591223012704535e+00
1.35000000000000000e+02,1.40000000000000000e+02,-2.66866724098639985e+01,5.59436455560369605e+00
1.40000000000000000e+02,1.45000000000000000e+02,-4.07443882362522558e+01,5.58520363559347555e+00
1.45000000000000000e+02,1.50000000000000000e+02,-4.07548185341691322e+01,6.20086269018976122e+00
1.50000000000000000e+02,1.55000000000000000e+02,-4.21809169608782213e+01,6.25081166247942921e+00
1.55000000000000000e+02,1.60000000000000000e+02,-3.27081004241076201e+01,5.08571628467058545e+00
1.60000000000000000e+02,1.65000000000000000e+02,-3.76945290432001698e+01,5.65353546086261094e+00
1.65000000000000000e+02,1.70000000000000000e+02,-3.12995338313688087e+01,5.39428407422967382e+00
1.70000000000000000e+02,1.75000000000000000e+02,-2.75976766466988224e+01,4.18550241347480867e+00
1.75000000000000000e+02,1.80000000000000000e+02,-3.06640778720348877e+01,4.54566987077588536e+00
1.80000000000000000e+02,1.85000000000000000e+02,-3.23808539615345978e+01,5.04805625951811354e+00
1.85000000000000000e+02,1.90000000000000000e+02,-3.30605674406210852e+01,4.73301553500067307e+00
1.90000000000000000e+02,1.95000000000000000e+02,-2.91720469770728386e+01,4.38125484826970002e+00
1.95000000000000000e+02,2.00000000000000000e+02,-3.90680229619317387e+01,5.10620224710597892e+00
2.00000000000000000e+02,2.05000000000000000e+02,-3.43479757134360142e+01,5.20518099070237739e+00
2.05000000000000000e+02,2.10000000000000000e+02,-3.47404601678428548e+01,4.77218765019935365e+00
2.10000000000000000e+02,2.15000000000000000e+02,-2.57604132845633735e+01,4.12304610648503544e+00
2.15000000000000000e+02,2.20000000000000000e+02,-3.09986947045791439e+01,4.55498988352079603e+00
2.20000000000000000e+02,2.25000000000000000e+02,-3.47858995419617685e+01,4.37800496096017344e+00
2.25000000000000000e+02,2.30000000000000000e+02,-3.21088360860567619e+01,4.05835179661566503e+00
2.30000000000000000e+02,2.35000000000000000e+02,-2.28244956794599574e+01,4.04571584249852734e+00
2.35000000000000000e+02,2.40000000000000000e+02,-1.97553742918822053e+01,3.68617687861935517e+00
2.40000000000000000e+02,2.45000000000000000e+02,-2.37000422776965642e+01,3.57475593879244391e+00
2.45000000000000000e+02,2.50000000000000000e+02,-2.15186649173547053e+01,3.44001798405059223e+00
2.50000000000000000e+02,2.55000000000000000e+02,-2.19141920372958943e+01,3.28188036956600282e+00
2.55000000000000000e+02,2.60000000000000000e+02,-1.65310206279078429e+01,2.75962954486950940e+00
2.60000000000000000e+02,2.65000000000000000e+02,-2.38436639171851468e+01,3.48806039138110524e+00
2.65000000000000000e+02,2.70000000000000000e+02,-2.26214740603809297e+01,3.15596555376472931e+00
2.70000000000000000e+02,2.75000000000000000e+02,-1.81034917794921490e+01,2.94698364470502883e+00
2.75000000000000000e+02,2.80000000000000000e+02,-1.69382552747855577e+01,3.12995912601387749e+00
2.80000000000000000e+02,2.85000000000000000e+02,-1.86543116706551118e+01,2.88252837881955637e+00
2.85000000000000000e+02,2.90000000000000000e+02,-2.20279656725300690e+01,3.14119059489272789e+00
2.90000000000000000e+02,2.95000000000000000e+02,-1.84818388410437535e+01,3.39425132054447865e+00
2.95000000000000000e+02,3.00000000000000000e+02,-1.81727789923487251e+01,2.84464721279036681e+00
3.00000000000000000e+02,3.05000000000000000e+02,-1.36757449573514318e+01,2.75528718080785806e+00
3.05000000000000000e+02,3.10000000000000000e+02,-1.67935604160613821e+01,3.00823360046186794e+00
3.10000000000000000e+02,3.15000000000000000e+02,-1.63183584035402021e+01,2.38244495887759022e+00
3.15000000000000000e+02,3.20000000000000000e+02,-1.18827720129505945e+01,1.76605380281112812e+00
3.20000000000000000e+02,3.25000000000000000e+02,-1.26406367176309420e+01,2.26080482091680057e+00
3.25000000000000000e+02,3.30000000000000000e+02,-1.23861879119145453e+01,2.26632854828500108e+00
3.30000000000000000e+02,3.35000000000000000e+02,-8.03912860850767430e+00,1.43897036967877057e+00
3.35000000000000000e+02,3.40000000000000000e+02,-1.02773099863544743e+01,1.82202594384352845e+00
3.40000000000000000e+02,3.45000000000000000e+02,-9.84209695205474588e+00,1.75786854137797843e+00
3.45000000000000000e+02,3.50000000000000000e+02,-1.24959301943582552e+01,2.08271542688103750e+00
3.50000000000000000e+02,3.55000000000000000e+02,-8.58634802027813215e+00,1.92009466022717312e+00
3.55000000000000000e+02,3.60000000000000000e+02,-1.31782937750847253e+01,2.54634168892186397e+00
3.60000000000000000e+02,3.65000000000000000e+02,-7.05366337948967015e+00,1.46380910061997871e+00
3.65000000000000000e+02,3.70000000000000000e+02,-9.11300546014524215e+00,1.68421080732505701e+00
3.70000000000000000e+02,3.75000000000000000e+02,-7.56434431175389044e+00,1.58836737214373502e+00
3.75000000000000000e+02,3.80000000000000000e+02,-7.75714255138283004e+00,1.49083186397958278e+00
3.80000000000000000e+02,3.85000000000000000e+02,-6.49072508468673881e+00,1.29247235345267009e+00
3.85000000000000000e+02,3.90000000000000000e+02,-7.49210554119559902e+00,1.50195757415965825e+00
3.90000000000000000e+02,3.95000000000000000e+02,-8.54346556885306185e+00,1.82094840264783908e+00
3.95000000000000000e+02,4.00000000000000000e+02,-8.16538846109345329e+00,1.67621206223646269e+00
4.00000000000000000e+02,4.05000000000000000e+02,-5.11197279300527896e+00,1.02042342528369612e+00
4.05000000000000000e+02,4.10000000000000000e+02,-7.10973508456004666e+00,1.17436935584202029e+00
4.10000000000000000e+02,4.15000000000000000e+02,-6.84965402122311229e+00,1.57029443338544317e+00
4.15000000000000000e+02,4.20000000000000000e+02,-5.62588173509807721e+00,1.31067825794499071e+00
4.20000000000000000e+02,4.25000000000000000e+02,-3.95122368755454989e+00,1.04329578454935801e+00
4.25000000000000000e+02,4.30000000000000000e+02,-4.37536594203588969e+00,9.93839843331433270e-01
4.30000000000000000e+02,4.35000000000000000e+02,-5.23734178532917483e+00,1.19586797242308029e+00
4.35000000000000000e+02,4.40000000000000000e+02,-2.61286986529961007e+00,6.41386810019839326e-01
4.40000000000000000e+02,4.45000000000000000e+02,-4.12714926577976016e+00,1.07079852387036145e+00
4.45000000000000000e+02,4.50000000000000000e+02,-2.95822288701347436e+00,5.30402281338000159e-01
4.50000000000000000e+02,4.55000000000000000e+02,-2.38312401055153567e+00,5.15291193478925491e-01
4.55000000000000000e+02,4.60000000000000000e+02,-4.18437678445555328e+00,9.98264971963345848e-01
4.60000000000000000e+02,4.65000000000000000e+02,-4.49939937516217281e+00,1.01750133494458028e+00
