bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,2.60640376686806832e+01,3.16639125055467918e+00
5.00000000000000000e+00,1.00000000000000000e+01,7.60328219271051182e+01,5.60224238477454151e+00
1.00000000000000000e+01,1.50000000000000000e+01,1.33379993793454815e+02,6.51585693721343695e+00
1.50000000000000000e+01,2.00000000000000000e+01,1.91305820485926688e+02,8.91277643628769312e+00
2.00000000000000000e+01,2.50000000000000000e+01,2.47793420423717777e+02,1.05315627063258095e+01
2.50000000000000000e+01,3.00000000000000000e+01,2.58797443313189547e+02,8.84566436012979018e+00
3.00000000000000000e+01,3.50000000000000000e+01,3.13911177804569661e+02,1.00783541865190625e+01
3.50000000000000000e+01,4.00000000000000000e+01,3.30369730709604141e+02,1.10057455172980845e+01
4.00000000000000000e+01,4.50000000000000000e+01,3.64442865489590190e+02,1.07913019287804310e+01
4.50000000000000000e+01,5.00000000000000000e+01,4.06500096069523465e+02,1.16927785424146364e+01
5.00000000000000000e+01,5.50000000000000000e+01,4.32466278128480326e+02,1.25527472215623792e+01
5.50000000000000000e+01,6.00000000000000000e+01,4.52957501541576164e+02,1.22893299885089711e+01
6.00000000000000000e+01,6.50000000000000000e+01,4.88777764451018584e+02,1.33091262646617707e+01
6.50000000000000000e+01,7.00000000000000000e+01,4.70587048789026596e+02,1.22805241880229303e+01
7.00000000000000000e+01,7.50000000000000000e+01,5.01187229231695369e+02,1.38555801515383195e+01
7.50000000000000000e+01,8.00000000000000000e+01,4.94030206436826631e+02,1.29035363001327017e+01
8.00000000000000000e+01,8.50000000000000000e+01,5.09247311798387045e+02,1.36617847380417547e+01
8.50000000000000000e+01,9.00000000000000000e+01,4.90241382431722684e+02,1.28903814257070231e+01
9.00000000000000000e+01,9.50000000000000000e+01,4.71537720827737303e+02,1.26025846855468959e+01
9.50000000000000000e+01,1.00000000000000000e+02,4.93599583224424691e+02,1.34681884444557536e+01
1.00000000000000000e+02,1.05000000000000000e+02,4.70904962123881091e+02,1.26928844940266838e+01
1.05000000000000000e+02,1.10000000000000000e+02,4.24502213437324372e+02,1.13670666489827390e+01
1.10000000000000000e+02,1.15000000000000000e+02,4.11462980781107603e+02,1.07365477648331513e+01
1.15000000000000000e+02,1.20000000000000000e+02,4.17567460498378182e+02,1.10140338755086287e+01
1.20000000000000000e+02,1.25000000000000000e+02,3.89924471436789361e+02,1.02437257722373332e+01
1.25000000000000000e+02,1.30000000000000000e+02,3.64601731081799642e+02,1.00970593750094597e+01
1.30000000000000000e+02,1.35000000000000000e+02,3.42352456001484086e+02,8.75411649156610672e+00
1.35000000000000000e+02,1.40000000000000000e+02,3.35162319355249565e+02,9.42009685918898576e+00
1.40000000000000000e+02,1.45000000000000000e+02,3.04747073432897764e+02,8.49022303584833793e+00
1.45000000000000000e+02,1.50000000000000000e+02,2.94920555152111831e+02,8.25355407506456906e+00
1.50000000000000000e+02,1.55000000000000000e+02,2.56288855508788458e+02,7.45276688493686024e+00
1.55000000000000000e+02,1.60000000000000000e+02,2.50194743702163692e+02,6.91018758638207231e+00
1.60000000000000000e+02,1.65000000000000000e+02,2.36116830296757797e+02,6.96375858880197640e+00
1.65000000000000000e+02,1.70000000000000000e+02,2.15080158471166669e+02,6.06942188403055383e+00
