bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.46666666666666686e+02,3.58333333333333371e+02,5.75334772704799491e+01,3.44010655329296853e+01
3.58333333333333314e+02,3.70000000000000000e+02,4.03653370525947594e+02,2.68609900950186557e+02
3.70000000000000000e+02,3.81666666666666686e+02,6.51116916546312723e+02,3.86428980482128338e+02
3.81666666666666686e+02,3.93333333333333371e+02,1.62281667607464719e+01,1.62281667607464719e+01
3.93333333333333314e+02,4.05000000000000000e+02,1.83299800588004132e+02,8.69623381879861768e+01
4.05000000000000000e+02,4.16666666666666686e+02,4.86913747014727164e+02,3.59982391577829333e+02
4.16666666666666686e+02,4.28333333333333371e+02,8.20955524426388337e+01,7.70124227142674584e+01
4.28333333333333314e+02,4.40000000000000000e+02,4.37445400214470010e+03,4.38616070423921883e+03
4.40000000000000000e+02,4.51666666666666686e+02,1.67410822307571010e+02,1.52943048037701317e+02
4.51666666666666686e+02,4.63333333333333371e+02,4.52382038761946660e+02,3.23284713675601608e+02
4.63333333333333314e+02,4.75000000000000000e+02,1.27530247935077217e+01,1.11354876507924647e+01
4.75000000000000000e+02,4.86666666666666686e+02,9.94207669973290464e+00,9.94207669973290464e+00
4.86666666666666629e+02,4.98333333333333314e+02,1.86593071278336794e+02,1.50805427297856824e+02
4.98333333333333314e+02,5.10000000000000000e+02,1.29640071755903161e+01,1.26576295688167431e+01
5.10000000000000000e+02,5.21666666666666629e+02,3.95230321958912384e+02,2.90534984678830256e+02
5.21666666666666629e+02,5.33333333333333258e+02,8.91819211157371399e+01,8.71776657673339059e+01
5.33333333333333371e+02,5.45000000000000000e+02,-4.46589509857558339e-02,8.52353890821692939e-02
5.45000000000000000e+02,5.56666666666666629e+02,1.39506871496471547e+02,1.39506871496471547e+02
5.56666666666666629e+02,5.68333333333333258e+02,3.03040614687248100e+00,3.03040614687248100e+00
5.68333333333333371e+02,5.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
5.80000000000000000e+02,5.91666666666666629e+02,2.86138767746924483e-01,2.86138767746924483e-01
5.91666666666666629e+02,6.03333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
6.03333333333333371e+02,6.15000000000000000e+02,5.13938351218508984e+01,4.27274460172550334e+01
6.15000000000000000e+02,6.26666666666666629e+02,2.49771444148394437e+02,2.53983318535420466e+02
6.26666666666666629e+02,6.38333333333333258e+02,1.16664136348928622e+02,1.10524352013712459e+02
6.38333333333333371e+02,6.50000000000000000e+02,-1.06544933455621993e-01,1.06544933455621993e-01
6.50000000000000000e+02,6.61666666666666629e+02,1.71781432903899287e+02,1.69244704559803637e+02
6.61666666666666629e+02,6.73333333333333258e+02,9.21753826721070091e+00,9.21753826721070091e+00
6.73333333333333258e+02,6.84999999999999886e+02,4.20052938667639042e-01,4.20052938667639097e-01
6.85000000000000000e+02,6.96666666666666629e+02,3.17923524193805609e-02,3.17923524193805609e-02
6.96666666666666629e+02,7.08333333333333258e+02,2.87787556419269720e+02,2.87787556419269720e+02
7.08333333333333258e+02,7.19999999999999886e+02,1.05749849351683185e+01,1.06065911624483284e+01
7.20000000000000000e+02,7.31666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
7.31666666666666629e+02,7.43333333333333258e+02,4.49166097081305704e+00,3.04122675377212692e+00
7.43333333333333258e+02,7.54999999999999886e+02,7.71057749937242409e-01,7.71057749937242409e-01
7.55000000000000000e+02,7.66666666666666629e+02,1.88200466179480341e+00,1.15500918388633500e+00
7.66666666666666629e+02,7.78333333333333258e+02,2.42384634647840329e+01,2.28240115178723251e+01
7.78333333333333258e+02,7.89999999999999886e+02,1.85185029618098285e+00,1.69610866912227132e+00
7.90000000000000000e+02,8.01666666666666629e+02,8.49265051514157854e+00,8.49265051514157676e+00
8.01666666666666629e+02,8.13333333333333258e+02,7.93052082523831388e+01,7.93052082523831388e+01
8.13333333333333258e+02,8.24999999999999886e+02,4.23434986453907136e+00,4.20482398807110513e+00
8.25000000000000000e+02,8.36666666666666629e+02,6.71302858820105319e-02,6.00661474419911315e-02
8.36666666666666629e+02,8.48333333333333258e+02,4.76043741481217864e-01,4.76043741481217808e-01
8.48333333333333258e+02,8.59999999999999886e+02,-7.80510549336947478e-05,7.80510549336947343e-05
8.60000000000000000e+02,8.71666666666666629e+02,4.67308559157336205e+01,4.67308559157336134e+01
8.71666666666666629e+02,8.83333333333333258e+02,2.95536142652851018e-02,2.95536142652851018e-02
8.83333333333333258e+02,8.94999999999999886e+02,2.64211747616653714e+00,2.64211747616653758e+00
8.95000000000000000e+02,9.06666666666666629e+02,2.74692513084569150e+01,2.74634550528008319e+01
9.06666666666666629e+02,9.18333333333333258e+02,9.35675071871382574e-02,9.35675071871382574e-02
9.18333333333333258e+02,9.29999999999999886e+02,8.48237752040642140e-02,8.48237752040642279e-02
9.30000000000000000e+02,9.41666666666666629e+02,1.41142701637011038e-03,1.41142701637011038e-03
9.41666666666666629e+02,9.53333333333333258e+02,2.00178891374213621e-03,2.00178891374213621e-03
9.53333333333333258e+02,9.64999999999999886e+02,1.38043737555543666e+00,9.77318076584137052e-01
9.65000000000000000e+02,9.76666666666666629e+02,1.58246460905249353e-01,1.58246460905249353e-01
9.76666666666666629e+02,9.88333333333333258e+02,1.40386737646745696e-01,1.40386737646745696e-01
9.88333333333333258e+02,9.99999999999999886e+02,0.00000000000000000e+00,0.00000000000000000e+00
