bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.46666666666666686e+02,3.58333333333333371e+02,6.98589519645444690e-01,6.98589519645444801e-01
3.58333333333333314e+02,3.70000000000000000e+02,3.95501698028411184e+01,3.95501698028411184e+01
3.70000000000000000e+02,3.81666666666666686e+02,1.25438055112713059e+02,1.25438055112713059e+02
3.81666666666666686e+02,3.93333333333333371e+02,5.37846214102306362e+02,5.37846214102306476e+02
3.93333333333333314e+02,4.05000000000000000e+02,1.50210567346801031e+03,1.50210567346801008e+03
4.05000000000000000e+02,4.16666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
4.16666666666666686e+02,4.28333333333333371e+02,1.24243134294339620e+03,1.24243134294339620e+03
4.28333333333333314e+02,4.40000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
4.40000000000000000e+02,4.51666666666666686e+02,1.10733338015126037e+03,1.10733338015126037e+03
4.51666666666666686e+02,4.63333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
4.63333333333333314e+02,4.75000000000000000e+02,4.93409387327813988e+02,4.93409387327813988e+02
4.75000000000000000e+02,4.86666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
4.86666666666666629e+02,4.98333333333333314e+02,7.99470369497651490e+00,7.99470369497651490e+00
4.98333333333333314e+02,5.10000000000000000e+02,3.28774189380427629e+02,3.28774189380427629e+02
5.10000000000000000e+02,5.21666666666666629e+02,1.59861847678336005e+02,1.59861847678336005e+02
5.21666666666666629e+02,5.33333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
5.33333333333333371e+02,5.45000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
5.45000000000000000e+02,5.56666666666666629e+02,1.80510357785810834e+03,1.80460988658061819e+03
5.56666666666666629e+02,5.68333333333333258e+02,4.35434799678656702e+02,4.35434799678656702e+02
5.68333333333333371e+02,5.80000000000000000e+02,4.50142330904518406e+00,4.50142330904518406e+00
5.80000000000000000e+02,5.91666666666666629e+02,9.67625118983812058e+01,9.67625118983811916e+01
5.91666666666666629e+02,6.03333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
6.03333333333333371e+02,6.15000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
6.15000000000000000e+02,6.26666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
6.26666666666666629e+02,6.38333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
6.38333333333333371e+02,6.50000000000000000e+02,-7.78243168198089336e-02,7.78243168198089474e-02
6.50000000000000000e+02,6.61666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
6.61666666666666629e+02,6.73333333333333258e+02,9.28670963932217219e+00,9.28670963932217219e+00
6.73333333333333258e+02,6.84999999999999886e+02,5.59129316815643961e+02,5.59129316815643961e+02
6.85000000000000000e+02,6.96666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
6.96666666666666629e+02,7.08333333333333258e+02,2.21680524198372844e+01,2.21448160908958336e+01
7.08333333333333258e+02,7.19999999999999886e+02,0.00000000000000000e+00,0.00000000000000000e+00
7.20000000000000000e+02,7.31666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
7.31666666666666629e+02,7.43333333333333258e+02,1.21860468304829208e+01,1.21860468304829226e+01
7.43333333333333258e+02,7.54999999999999886e+02,1.22774880225215739e+01,1.22774880225215757e+01
7.55000000000000000e+02,7.66666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
7.66666666666666629e+02,7.78333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
7.78333333333333258e+02,7.89999999999999886e+02,4.50464046895246497e+01,4.50464046895246568e+01
7.90000000000000000e+02,8.01666666666666629e+02,5.24489799801895629e+02,3.01862356397727581e+02
8.01666666666666629e+02,8.13333333333333258e+02,-9.97713432456372590e-02,9.97713432456372590e-02
8.13333333333333258e+02,8.24999999999999886e+02,0.00000000000000000e+00,0.00000000000000000e+00
8.25000000000000000e+02,8.36666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
8.36666666666666629e+02,8.48333333333333258e+02,1.16891330399573210e+01,1.16891330399573228e+01
8.48333333333333258e+02,8.59999999999999886e+02,0.00000000000000000e+00,0.00000000000000000e+00
8.60000000000000000e+02,8.71666666666666629e+02,1.05193975725541122e+01,1.05193975725541122e+01
8.71666666666666629e+02,8.83333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
8.83333333333333258e+02,8.94999999999999886e+02,1.11057777087682638e+02,1.11057777087682652e+02
8.95000000000000000e+02,9.06666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.06666666666666629e+02,9.18333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.18333333333333258e+02,9.29999999999999886e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.30000000000000000e+02,9.41666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.41666666666666629e+02,9.53333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.53333333333333258e+02,9.64999999999999886e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.65000000000000000e+02,9.76666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.76666666666666629e+02,9.88333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.88333333333333258e+02,9.99999999999999886e+02,0.00000000000000000e+00,0.00000000000000000e+00
