bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,5.90579087754531828e-01,1.38434901198250249e-01
3.46666666666666686e+02,3.58333333333333371e+02,6.53234199768219526e+01,3.64801187729000631e+01
3.58333333333333314e+02,3.70000000000000000e+02,4.12391329275401461e+02,2.73739246334617519e+02
3.70000000000000000e+02,3.81666666666666686e+02,7.83993380864986420e+02,4.06300236329456709e+02
3.81666666666666686e+02,3.93333333333333371e+02,5.32619121683665639e+02,5.38303491115710244e+02
3.93333333333333314e+02,4.05000000000000000e+02,1.53986665575382472e+03,1.50655695771691035e+03
4.05000000000000000e+02,4.16666666666666686e+02,4.20966645003265626e+02,3.61225433936529157e+02
4.16666666666666686e+02,4.28333333333333371e+02,1.27001936005998755e+03,1.24502173849863470e+03
4.28333333333333314e+02,4.40000000000000000e+02,4.34124369580645453e+03,4.38618460981863791e+03
4.40000000000000000e+02,4.51666666666666686e+02,1.20425948807798659e+03,1.11828985676072580e+03
4.51666666666666686e+02,4.63333333333333371e+02,3.69912142020302213e+02,3.26277550889639315e+02
4.63333333333333314e+02,4.75000000000000000e+02,4.42543109983584031e+02,4.94118917415363569e+02
4.75000000000000000e+02,4.86666666666666686e+02,-7.88068753092405672e+00,1.02383681415194818e+01
4.86666666666666629e+02,4.98333333333333314e+02,1.03125374695446226e+00,1.94589176109732506e+02
4.98333333333333314e+02,5.10000000000000000e+02,2.56782107476759961e+02,3.35601878160580782e+02
5.10000000000000000e+02,5.21666666666666629e+02,5.38981882121436911e+02,3.31618681723035650e+02
5.21666666666666629e+02,5.33333333333333258e+02,5.50937073164272846e+01,8.91593342230505499e+01
5.33333333333333371e+02,5.45000000000000000e+02,-1.73810969456605591e+01,7.36812705404205648e+00
5.45000000000000000e+02,5.56666666666666629e+02,1.91283916165913138e+03,1.81005470916856189e+03
5.56666666666666629e+02,5.68333333333333258e+02,4.11740536322113201e+02,4.35593783749357669e+02
5.68333333333333371e+02,5.80000000000000000e+02,-1.77601377839919294e+01,1.16984716386827650e+01
5.80000000000000000e+02,5.91666666666666629e+02,-1.03913175325298980e+02,1.52100983323774926e+02
5.91666666666666629e+02,6.03333333333333258e+02,-1.06323231987514674e+02,8.34413144772241253e+01
6.03333333333333371e+02,6.15000000000000000e+02,1.20740001522536318e+01,4.56860440555563656e+01
6.15000000000000000e+02,6.26666666666666629e+02,1.98745543671569322e+02,2.57182916806396065e+02
6.26666666666666629e+02,6.38333333333333258e+02,1.35943283759780940e+01,1.27292564960944318e+02
6.38333333333333371e+02,6.50000000000000000e+02,-8.19022558207021092e+01,6.51764389416527763e+01
6.50000000000000000e+02,6.61666666666666629e+02,1.49615815275310268e+02,1.69607144687749667e+02
6.61666666666666629e+02,6.73333333333333258e+02,-4.13890335337561410e+01,5.47468862193271093e+01
6.73333333333333258e+02,6.84999999999999886e+02,5.52551711697584778e+02,5.59130921569223233e+02
6.85000000000000000e+02,6.96666666666666629e+02,-1.28610932358055230e+01,7.22909650443296492e+00
6.96666666666666629e+02,7.08333333333333258e+02,3.01892025094365636e+02,2.88640529086588799e+02
7.08333333333333258e+02,7.19999999999999886e+02,2.92031090405901850e+00,1.18805215082498457e+01
7.20000000000000000e+02,7.31666666666666629e+02,-1.10949518119744148e+01,4.38354784241825257e+00
7.31666666666666629e+02,7.43333333333333258e+02,-2.34283114283969240e+01,3.87930031575711851e+01
7.43333333333333258e+02,7.54999999999999886e+02,-2.06816249526645208e+01,3.13335669207885097e+01
7.55000000000000000e+02,7.66666666666666629e+02,-2.89444931261187932e+01,2.03839030637131096e+01
7.66666666666666629e+02,7.78333333333333258e+02,2.02168880227072023e+01,2.28331025881075433e+01
7.78333333333333258e+02,7.89999999999999886e+02,4.22843223656592642e+01,4.50849973820122258e+01
7.90000000000000000e+02,8.01666666666666629e+02,5.29064037790512430e+02,3.01982447891733102e+02
8.01666666666666629e+02,8.13333333333333258e+02,7.13432258780529338e+01,7.93524642782437297e+01
8.13333333333333258e+02,8.24999999999999886e+02,-4.89347087244706103e+00,6.26616395138861559e+00
8.25000000000000000e+02,8.36666666666666629e+02,-4.76625508539076748e+00,2.02500165463086823e+00
8.36666666666666629e+02,8.48333333333333258e+02,7.17043747275344945e+00,1.17236442267247600e+01
8.48333333333333258e+02,8.59999999999999886e+02,-3.35376665005191343e+00,7.24291528825530606e-01
8.60000000000000000e+02,8.71666666666666629e+02,5.41785407267817192e+01,4.79060669246906343e+01
8.71666666666666629e+02,8.83333333333333258e+02,-2.35196786684175496e+00,4.05731766480604439e-01
8.83333333333333258e+02,8.94999999999999886e+02,1.09815595073780798e+02,1.11096480511288576e+02
8.95000000000000000e+02,9.06666666666666629e+02,2.49723444487555035e+01,2.74667315968257206e+01
9.06666666666666629e+02,9.18333333333333258e+02,-2.45360462271658264e+00,4.36914135604475007e-01
9.18333333333333258e+02,9.29999999999999886e+02,-1.04927295955446054e+00,2.92640171232373347e-01
9.30000000000000000e+02,9.41666666666666629e+02,-1.45611410327004656e+01,1.12770232981916365e+01
9.41666666666666629e+02,9.53333333333333258e+02,-6.24039177011721957e+00,3.93717139674735561e+00
9.53333333333333258e+02,9.64999999999999886e+02,-3.16399125163669082e+00,2.59394571536608698e+00
9.65000000000000000e+02,9.76666666666666629e+02,-1.18261742696104033e+00,3.74436076730934764e-01
9.76666666666666629e+02,9.88333333333333258e+02,-1.51771692766971755e+00,4.22899507617831072e-01
9.88333333333333258e+02,9.99999999999999886e+02,-1.96687555954701265e+00,4.04669638731615045e-01
