bin_low_gev,bin_high_gev,value,error
3.00000000000000000e+02,3.11666666666666686e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.11666666666666686e+02,3.23333333333333371e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.23333333333333314e+02,3.35000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
3.35000000000000000e+02,3.46666666666666686e+02,-4.81095241595599910e-02,4.81095241595599910e-02
3.46666666666666686e+02,3.58333333333333371e+02,-1.22953323355544644e+01,1.20839144085686492e+01
3.58333333333333314e+02,3.70000000000000000e+02,-4.44638767342116310e+01,3.48766441831048155e+01
3.70000000000000000e+02,3.81666666666666686e+02,3.96120986401215536e+00,3.96120986401215536e+00
3.81666666666666686e+02,3.93333333333333371e+02,-1.51401887594219264e+01,1.50193796018498613e+01
3.93333333333333314e+02,4.05000000000000000e+02,-1.38073982479280119e+02,7.63285913654094799e+01
4.05000000000000000e+02,4.16666666666666686e+02,-5.09782412863601238e+01,2.98580911471945996e+01
4.16666666666666686e+02,4.28333333333333371e+02,-2.86317278264204376e+01,2.24856524028927467e+01
4.28333333333333314e+02,4.40000000000000000e+02,-1.54232763068348859e+01,1.42952876998551766e+01
4.40000000000000000e+02,4.51666666666666686e+02,-5.30798155831142680e+01,3.14254371440895639e+01
4.51666666666666686e+02,4.63333333333333371e+02,-6.47299613057980423e+01,4.40277420591881352e+01
4.63333333333333314e+02,4.75000000000000000e+02,-4.24944523785870629e+01,2.38942735361254535e+01
4.75000000000000000e+02,4.86666666666666686e+02,1.62059858726688459e-05,1.62059858726688459e-05
4.86666666666666629e+02,4.98333333333333314e+02,-1.73080998358501176e+02,1.22692080960715543e+02
4.98333333333333314e+02,5.10000000000000000e+02,-6.61118433293521548e+01,6.61118433293521548e+01
5.10000000000000000e+02,5.21666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
5.21666666666666629e+02,5.33333333333333258e+02,-1.85879117889699508e+01,1.85879117889699508e+01
5.33333333333333371e+02,5.45000000000000000e+02,-7.91746876429510849e+00,7.18455523409322172e+00
5.45000000000000000e+02,5.56666666666666629e+02,-1.48400723339668392e+01,1.46611196588557675e+01
5.56666666666666629e+02,5.68333333333333258e+02,-1.12129451619900760e+01,1.12129451619900760e+01
5.68333333333333371e+02,5.80000000000000000e+02,-1.06687102963037326e+01,1.06687102963037326e+01
5.80000000000000000e+02,5.91666666666666629e+02,-1.85533145627434664e+02,1.17339212995647401e+02
5.91666666666666629e+02,6.03333333333333258e+02,-9.70944851202336707e+01,8.34254774123901939e+01
6.03333333333333371e+02,6.15000000000000000e+02,-2.73829829234229223e+01,1.61101728081957454e+01
6.15000000000000000e+02,6.26666666666666629e+02,-4.08237992719321241e+01,4.04174103557819180e+01
6.26666666666666629e+02,6.38333333333333258e+02,-9.29334655147973479e+01,6.31355890072940227e+01
6.38333333333333371e+02,6.50000000000000000e+02,-7.50012276029332554e+01,6.51661021713964743e+01
6.50000000000000000e+02,6.61666666666666629e+02,-1.21181578201038409e+01,1.09920301663909061e+01
6.61666666666666629e+02,6.73333333333333258e+02,-5.31480321618339744e+01,5.31481986625045408e+01
6.73333333333333258e+02,6.84999999999999886e+02,-1.86075648822441597e-01,1.86075648822441597e-01
6.85000000000000000e+02,6.96666666666666629e+02,-8.36313685160837395e+00,7.16411007727247551e+00
6.96666666666666629e+02,7.08333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
7.08333333333333258e+02,7.19999999999999886e+02,-1.41518290804145330e+00,5.22891488510093438e+00
7.20000000000000000e+02,7.31666666666666629e+02,-4.28183976928586496e+00,4.26023925092311906e+00
7.31666666666666629e+02,7.43333333333333258e+02,-3.66980138363015129e+01,3.66980138363015129e+01
7.43333333333333258e+02,7.54999999999999886e+02,-2.88067189196454763e+01,2.88067189196454763e+01
7.55000000000000000e+02,7.66666666666666629e+02,-2.53986464066314177e+01,2.03327942247755260e+01
7.66666666666666629e+02,7.78333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
7.78333333333333258e+02,7.89999999999999886e+02,3.43184582771987505e-03,4.89139728442018144e-03
7.90000000000000000e+02,8.01666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
8.01666666666666629e+02,8.13333333333333258e+02,-3.64871516773348681e+00,2.65010541760304186e+00
8.13333333333333258e+02,8.24999999999999886e+02,-4.58897335906278681e+00,4.58897335906278681e+00
8.25000000000000000e+02,8.36666666666666629e+02,-2.00262366561763328e+00,1.94635543298757763e+00
8.36666666666666629e+02,8.48333333333333258e+02,-4.21397551792017291e-03,4.21397551792017291e-03
8.48333333333333258e+02,8.59999999999999886e+02,-4.88052866047025080e-01,4.76723596748899636e-01
8.60000000000000000e+02,8.71666666666666629e+02,0.00000000000000000e+00,0.00000000000000000e+00
8.71666666666666629e+02,8.83333333333333258e+02,-2.81424940398991054e-03,2.81424940398991054e-03
8.83333333333333258e+02,8.94999999999999886e+02,-1.15568551157934274e+00,1.15034982815474418e+00
8.95000000000000000e+02,9.06666666666666629e+02,-1.39680093678103256e-02,1.39508792494408649e-02
9.06666666666666629e+02,9.18333333333333258e+02,6.86553173583105553e-02,7.98724815178345066e-02
9.18333333333333258e+02,9.29999999999999886e+02,-1.54415972153148420e-02,1.54415972153148420e-02
9.30000000000000000e+02,9.41666666666666629e+02,-1.12644932259265040e+01,1.12644932259265040e+01
9.41666666666666629e+02,9.53333333333333258e+02,-3.91845658767748217e+00,3.91845658767748173e+00
9.53333333333333258e+02,9.64999999999999886e+02,-2.36994760907007374e+00,2.36994760907007374e+00
9.65000000000000000e+02,9.76666666666666629e+02,-2.45191550041497952e-01,2.45191550041497952e-01
9.76666666666666629e+02,9.88333333333333258e+02,0.00000000000000000e+00,0.00000000000000000e+00
9.88333333333333258e+02,9.99999999999999886e+02,-2.26414714938367621e-03,2.26414714938367621e-03
