bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,2.73128245648932278e-06,2.73128245648932278e-06
5.00000000000000000e+00,1.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
1.00000000000000000e+01,1.50000000000000000e+01,4.15176062622457707e+01,4.27935094798322382e+01
1.50000000000000000e+01,2.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
2.00000000000000000e+01,2.50000000000000000e+01,2.09510670046019015e+02,1.41359685457251885e+02
2.50000000000000000e+01,3.00000000000000000e+01,4.26989928399646146e+02,3.83266527106127967e+02
3.00000000000000000e+01,3.50000000000000000e+01,6.59604170147397584e-01,6.59604170147397584e-01
3.50000000000000000e+01,4.00000000000000000e+01,2.77232773818534326e+02,1.93507554391692111e+02
4.00000000000000000e+01,4.50000000000000000e+01,8.58301094765469884e+02,6.72615710401834917e+02
4.50000000000000000e+01,5.00000000000000000e+01,1.09240015769996853e+03,8.24695183046840384e+02
5.00000000000000000e+01,5.50000000000000000e+01,3.24626690924192687e+01,3.24626690924192687e+01
5.50000000000000000e+01,6.00000000000000000e+01,1.02342970705279931e+04,1.02342970705279931e+04
6.00000000000000000e+01,6.50000000000000000e+01,5.84295598867679246e+02,5.83970743377929466e+02
6.50000000000000000e+01,7.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
7.00000000000000000e+01,7.50000000000000000e+01,1.14201470082485571e+02,9.16562314470206445e+01
7.50000000000000000e+01,8.00000000000000000e+01,1.19083281445996263e+02,8.96108521700613210e+01
8.00000000000000000e+01,8.50000000000000000e+01,1.75721259160940813e-03,1.75721259160940813e-03
8.50000000000000000e+01,9.00000000000000000e+01,9.87406386607908644e+02,7.08713924250369246e+02
9.00000000000000000e+01,9.50000000000000000e+01,4.49794941608855510e+01,3.93693349678761493e+01
9.50000000000000000e+01,1.00000000000000000e+02,3.32334017824285752e+02,1.85047087075641542e+02
1.00000000000000000e+02,1.05000000000000000e+02,8.67326569431396592e+02,6.97572870705708965e+02
1.05000000000000000e+02,1.10000000000000000e+02,1.20881734811318574e+03,8.82998094370289778e+02
