bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000000e+00,1.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
1.00000000000000000e+01,1.50000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
1.50000000000000000e+01,2.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
2.00000000000000000e+01,2.50000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
2.50000000000000000e+01,3.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
3.00000000000000000e+01,3.50000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000000e+01,4.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
4.00000000000000000e+01,4.50000000000000000e+01,1.25660454178455439e+03,1.25495909300685867e+03
4.50000000000000000e+01,5.00000000000000000e+01,1.20717838811089422e+02,9.62900570812073369e+01
5.00000000000000000e+01,5.50000000000000000e+01,4.21076776856887500e+03,4.21076776856887500e+03
5.50000000000000000e+01,6.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
6.00000000000000000e+01,6.50000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
6.50000000000000000e+01,7.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
7.00000000000000000e+01,7.50000000000000000e+01,2.92688795262997132e+02,2.92688795262997132e+02
7.50000000000000000e+01,8.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
8.00000000000000000e+01,8.50000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
8.50000000000000000e+01,9.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
9.00000000000000000e+01,9.50000000000000000e+01,7.67176202239280883e+02,7.67176202239280883e+02
9.50000000000000000e+01,1.00000000000000000e+02,2.89900646686792470e+03,2.89900646686792470e+03
1.00000000000000000e+02,1.05000000000000000e+02,3.50491323809202368e+03,3.50491323809202368e+03
1.05000000000000000e+02,1.10000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.10000000000000000e+02,1.15000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.15000000000000000e+02,1.20000000000000000e+02,2.72746437599004175e+01,2.72746437599004175e+01
1.20000000000000000e+02,1.25000000000000000e+02,2.58377788701960708e+03,2.58377788701960708e+03
1.25000000000000000e+02,1.30000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.30000000000000000e+02,1.35000000000000000e+02,1.15128857043156586e+03,1.15128857043156586e+03
1.35000000000000000e+02,1.40000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.40000000000000000e+02,1.45000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.45000000000000000e+02,1.50000000000000000e+02,2.16689891584183982e+01,2.16689891584183982e+01
1.50000000000000000e+02,1.55000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.55000000000000000e+02,1.60000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.60000000000000000e+02,1.65000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.65000000000000000e+02,1.70000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.70000000000000000e+02,1.75000000000000000e+02,1.86543086216118681e+01,1.86543086216118681e+01
1.75000000000000000e+02,1.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.80000000000000000e+02,1.85000000000000000e+02,7.70736511598323432e+02,7.67108186864184063e+02
1.85000000000000000e+02,1.90000000000000000e+02,3.83514298970556126e+02,3.73052758778547116e+02
1.90000000000000000e+02,1.95000000000000000e+02,2.25779194429556156e+02,2.25779194429556156e+02
1.95000000000000000e+02,2.00000000000000000e+02,1.30463507256983598e+03,1.30463507256983598e+03
2.00000000000000000e+02,2.05000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
2.05000000000000000e+02,2.10000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
2.10000000000000000e+02,2.15000000000000000e+02,1.01601453258353229e+03,1.01601453258353229e+03
2.15000000000000000e+02,2.20000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
2.20000000000000000e+02,2.25000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
2.25000000000000000e+02,2.30000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
2.30000000000000000e+02,2.35000000000000000e+02,-1.81590072579554174e-01,1.81590072579554146e-01
2.35000000000000000e+02,2.40000000000000000e+02,-2.32799800906486970e-01,2.32799800906486970e-01
2.40000000000000000e+02,2.45000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
2.45000000000000000e+02,2.50000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
