bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,6.91338354040930025e-01,1.01993254243258402e+00
5.00000000000000000e+00,1.00000000000000000e+01,-5.42420896165000954e+01,5.49238554387503655e+01
1.00000000000000000e+01,1.50000000000000000e+01,4.18225920599415772e+01,4.28431198988650692e+01
1.50000000000000000e+01,2.00000000000000000e+01,8.75230504674583965e-02,2.45136714246391563e+00
2.00000000000000000e+01,2.50000000000000000e+01,1.49701447851432619e+02,1.53259441718044684e+02
2.50000000000000000e+01,3.00000000000000000e+01,4.28559276000619093e+02,3.83274632524179538e+02
3.00000000000000000e+01,3.50000000000000000e+01,-4.36115866253968587e-01,3.27845779574909590e+00
3.50000000000000000e+01,4.00000000000000000e+01,2.77987045965875041e+02,1.93525056295408376e+02
4.00000000000000000e+01,4.50000000000000000e+01,2.01719186705467496e+03,1.42533975113151564e+03
4.50000000000000000e+01,5.00000000000000000e+01,1.19270922730454549e+03,8.30438452780681587e+02
5.00000000000000000e+01,5.50000000000000000e+01,4.24800165591611676e+03,4.21090774729073655e+03
5.50000000000000000e+01,6.00000000000000000e+01,1.02348320288262876e+04,1.02342976717985239e+04
6.00000000000000000e+01,6.50000000000000000e+01,5.70487015171008807e+02,5.83985591271602857e+02
6.50000000000000000e+01,7.00000000000000000e+01,-2.85503901447883131e+01,3.73489921987201541e+01
7.00000000000000000e+01,7.50000000000000000e+01,3.80435917763830048e+02,3.07258292391484190e+02
7.50000000000000000e+01,8.00000000000000000e+01,1.13939178238255124e+02,8.96808118454054295e+01
8.00000000000000000e+01,8.50000000000000000e+01,-5.47774271811354083e+01,3.03059569558250530e+01
8.50000000000000000e+01,9.00000000000000000e+01,9.50970160404903027e+02,7.09504285431981089e+02
9.00000000000000000e+01,9.50000000000000000e+01,8.03804672329953519e+02,7.68193988720067296e+02
9.50000000000000000e+01,1.00000000000000000e+02,2.84111850501140498e+03,2.91152726477961141e+03
1.00000000000000000e+02,1.05000000000000000e+02,4.26413092441100434e+03,3.57411644841893622e+03
1.05000000000000000e+02,1.10000000000000000e+02,1.13311414685050522e+03,8.84462705671693584e+02
1.10000000000000000e+02,1.15000000000000000e+02,-1.81060236053798818e+01,7.01971688608526367e+00
1.15000000000000000e+02,1.20000000000000000e+02,-4.01353000775043824e+01,6.01938054771039575e+01
1.20000000000000000e+02,1.25000000000000000e+02,2.49972417034226692e+03,2.58454982968173499e+03
1.25000000000000000e+02,1.30000000000000000e+02,3.51506425825015981e+02,3.22803495807570471e+02
1.30000000000000000e+02,1.35000000000000000e+02,1.17294269620805289e+03,1.15236501289063608e+03
1.35000000000000000e+02,1.40000000000000000e+02,-6.19166639171347128e+01,3.76196033392847227e+01
1.40000000000000000e+02,1.45000000000000000e+02,-3.40283791387018226e+01,3.21102992422444302e+01
1.45000000000000000e+02,1.50000000000000000e+02,7.36888367495466809e+02,6.94277457528814921e+02
1.50000000000000000e+02,1.55000000000000000e+02,-2.32600589369442076e+02,1.80164626047515753e+02
1.55000000000000000e+02,1.60000000000000000e+02,-2.20569341117228333e+02,2.28132293400619147e+02
1.60000000000000000e+02,1.65000000000000000e+02,-5.95326236733467695e+01,3.55937437226713840e+01
1.65000000000000000e+02,1.70000000000000000e+02,-3.55356583138244844e+01,9.85292840545525372e+00
1.70000000000000000e+02,1.75000000000000000e+02,3.38432046793903226e+02,3.45255078195065835e+02
1.75000000000000000e+02,1.80000000000000000e+02,7.43132926967505796e+01,3.72469052684019175e+02
1.80000000000000000e+02,1.85000000000000000e+02,7.02764537103874773e+02,7.68339820830022632e+02
1.85000000000000000e+02,1.90000000000000000e+02,5.20677950135704918e+02,4.12409718109323762e+02
1.90000000000000000e+02,1.95000000000000000e+02,2.92856192042569035e+02,2.45924850016557201e+02
1.95000000000000000e+02,2.00000000000000000e+02,1.48428037420113856e+03,1.32043090406582360e+03
2.00000000000000000e+02,2.05000000000000000e+02,-4.98739663749167335e+01,2.63276898418114733e+01
2.05000000000000000e+02,2.10000000000000000e+02,-1.33500554581927020e+02,2.79619812838903385e+02
2.10000000000000000e+02,2.15000000000000000e+02,9.97296072777152858e+02,1.01601763751253668e+03
2.15000000000000000e+02,2.20000000000000000e+02,-7.69267033300630061e+01,4.06352866523281833e+01
2.20000000000000000e+02,2.25000000000000000e+02,-2.28974567212413938e+01,9.87401507402468681e+00
2.25000000000000000e+02,2.30000000000000000e+02,-4.48662402280778565e+02,2.73065207917907060e+02
2.30000000000000000e+02,2.35000000000000000e+02,2.36942485041716452e+02,2.57577119909666578e+02
2.35000000000000000e+02,2.40000000000000000e+02,-3.45905192247814455e+01,2.59198291144067881e+01
2.40000000000000000e+02,2.45000000000000000e+02,-1.88194893937653482e+01,2.61167183169558026e+00
2.45000000000000000e+02,2.50000000000000000e+02,-1.47150659700411026e+01,2.29048775141343564e+00
2.50000000000000000e+02,2.55000000000000000e+02,6.54380506568041653e+01,1.17921134476006344e+02
2.55000000000000000e+02,2.60000000000000000e+02,-1.54769930591251523e+02,1.38876886259761562e+02
2.60000000000000000e+02,2.65000000000000000e+02,-1.29727562852530184e+02,1.24176436850580245e+02
2.65000000000000000e+02,2.70000000000000000e+02,-1.64078073486967980e+02,1.50008342099489994e+02
2.70000000000000000e+02,2.75000000000000000e+02,-1.08049074505564793e+01,1.97625884832482002e+00
2.75000000000000000e+02,2.80000000000000000e+02,3.85964825211827304e+02,4.05175421715342736e+02
2.80000000000000000e+02,2.85000000000000000e+02,4.76321610604177181e+02,4.68445671552651504e+02
2.85000000000000000e+02,2.90000000000000000e+02,2.19909961402013209e+02,2.60472481544450034e+02
2.90000000000000000e+02,2.95000000000000000e+02,-1.11788139972131280e+01,1.74934523332472325e+00
2.95000000000000000e+02,3.00000000000000000e+02,-1.37065938449725309e+01,2.18172680275937036e+00
3.00000000000000000e+02,3.05000000000000000e+02,-5.36523657094364097e+01,4.53772216240010735e+01
3.05000000000000000e+02,3.10000000000000000e+02,4.23017717536056466e+02,3.54827993166491183e+02
3.10000000000000000e+02,3.15000000000000000e+02,-5.71177235915350252e+01,7.01959157940403884e+01
3.15000000000000000e+02,3.20000000000000000e+02,-6.98673448412185127e+00,1.96902710801122138e+00
3.20000000000000000e+02,3.25000000000000000e+02,-1.71919623212893882e+01,1.02117527606011720e+01
3.25000000000000000e+02,3.30000000000000000e+02,-2.09159140536264907e+01,1.39895526317268946e+01
3.30000000000000000e+02,3.35000000000000000e+02,1.00664777318694263e+02,1.05172780080778935e+02
3.35000000000000000e+02,3.40000000000000000e+02,-7.33571547096256094e+00,1.54469631710588939e+00
3.40000000000000000e+02,3.45000000000000000e+02,5.45297714017065260e+00,9.84617374268017898e+00
3.45000000000000000e+02,3.50000000000000000e+02,2.50651305472086747e+01,2.52733993757427946e+01
3.50000000000000000e+02,3.55000000000000000e+02,5.22965557469243159e+00,9.23690348333594891e+00
3.55000000000000000e+02,3.60000000000000000e+02,-8.61782356859695753e+00,7.27144682248288543e+00
3.60000000000000000e+02,3.65000000000000000e+02,-1.91896829549382204e+01,1.12446308641937378e+01
3.65000000000000000e+02,3.70000000000000000e+02,-7.56946278012745477e+00,1.37433472572927595e+00
3.70000000000000000e+02,3.75000000000000000e+02,8.92365379291956771e+01,9.35624229058027055e+01
3.75000000000000000e+02,3.80000000000000000e+02,-5.11601500572242873e+00,8.65735757863024480e-01
3.80000000000000000e+02,3.85000000000000000e+02,-5.54434331137121461e+00,9.84164465263161592e-01
3.85000000000000000e+02,3.90000000000000000e+02,-6.87809839367663045e+00,1.47710711370240855e+00
3.90000000000000000e+02,3.95000000000000000e+02,1.71920543147508909e+00,6.31773395646141278e+00
3.95000000000000000e+02,4.00000000000000000e+02,7.55408368938109618e+01,9.35073600161343848e+01
4.00000000000000000e+02,4.05000000000000000e+02,-3.47006426956346026e+00,9.55391326235430549e-01
4.05000000000000000e+02,4.10000000000000000e+02,5.58653855380130651e+01,6.41451171712435411e+01
4.10000000000000000e+02,4.15000000000000000e+02,-6.05863054108001187e+00,2.61358747625769361e+00
4.15000000000000000e+02,4.20000000000000000e+02,-4.62931103160793178e+00,1.06299562199689412e+00
4.20000000000000000e+02,4.25000000000000000e+02,-5.60838870709889470e-01,2.21342634722804821e+00
4.25000000000000000e+02,4.30000000000000000e+02,-2.73882562477206015e+00,5.82280354665833388e-01
4.30000000000000000e+02,4.35000000000000000e+02,-2.32082412183560738e+00,4.77281992190552284e-01
4.35000000000000000e+02,4.40000000000000000e+02,-1.82675263817382905e+00,2.28995331574035754e+00
4.40000000000000000e+02,4.45000000000000000e+02,-5.53591679315627694e+00,2.59416108537139012e+00
4.45000000000000000e+02,4.50000000000000000e+02,-2.36335015971807616e+00,8.10932389299719669e-01
4.50000000000000000e+02,4.55000000000000000e+02,-2.56039708172098290e+00,7.15644828391464927e-01
4.55000000000000000e+02,4.60000000000000000e+02,-2.53572483544509497e+00,6.49930887066831775e-01
4.60000000000000000e+02,4.65000000000000000e+02,-8.18346207818948201e+00,5.12967290329615988e+00
4.65000000000000000e+02,4.70000000000000000e+02,8.98448456007157059e-02,1.32524842543474120e+00
4.70000000000000000e+02,4.75000000000000000e+02,-8.93757770769006088e-01,4.93043600456218978e-01
4.75000000000000000e+02,4.80000000000000000e+02,-2.78951746695248293e+00,1.58778735540035210e+00
4.80000000000000000e+02,4.85000000000000000e+02,-1.94059343317215660e+00,4.40578436196782997e-01
4.85000000000000000e+02,4.90000000000000000e+02,-5.35846463059511446e+00,3.88166883531623608e+00
4.90000000000000000e+02,4.95000000000000000e+02,-3.05620158520670593e+00,7.25426065105504114e-01
4.95000000000000000e+02,5.00000000000000000e+02,-2.41203912599319148e+00,6.73136396578960738e-01
