bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
5.00000000000000000e+00,1.00000000000000000e+01,-5.50128687493366613e+01,5.49007279575911369e+01
1.00000000000000000e+01,1.50000000000000000e+01,-4.97701456156640187e-01,4.97701456156640187e-01
1.50000000000000000e+01,2.00000000000000000e+01,-1.32366294553522821e-04,1.32366294553522848e-04
2.00000000000000000e+01,2.50000000000000000e+01,-5.91546980949365491e+01,5.91546980949365491e+01
2.50000000000000000e+01,3.00000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
3.00000000000000000e+01,3.50000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000000e+01,4.00000000000000000e+01,-8.14471118588721787e-01,8.14471118588721898e-01
4.00000000000000000e+01,4.50000000000000000e+01,-9.43662275881990666e+01,6.51845241749083186e+01
4.50000000000000000e+01,5.00000000000000000e+01,-1.48519429656301742e+01,1.48519429656301742e+01
5.00000000000000000e+01,5.50000000000000000e+01,1.04455932223864618e+01,1.04455932223864636e+01
5.50000000000000000e+01,6.00000000000000000e+01,-2.83030955252753624e-01,2.83030955252753624e-01
6.00000000000000000e+01,6.50000000000000000e+01,-1.10891754042543866e-01,1.10891754042543866e-01
6.50000000000000000e+01,7.00000000000000000e+01,-2.15618422836442178e+01,3.70959103610616197e+01
7.00000000000000000e+01,7.50000000000000000e+01,-1.80523460895328931e+01,1.80523460895328931e+01
7.50000000000000000e+01,8.00000000000000000e+01,-3.15807952086698198e-04,3.15807952086698198e-04
8.00000000000000000e+01,8.50000000000000000e+01,-3.81820288863896238e+01,3.00028533068450187e+01
8.50000000000000000e+01,9.00000000000000000e+01,-3.30165355704046632e+01,3.32564627627764153e+01
9.00000000000000000e+01,9.50000000000000000e+01,-3.63956537003277181e-01,3.63956537003277181e-01
9.50000000000000000e+01,1.00000000000000000e+02,-3.75451675844520821e+02,1.96201307157134920e+02
1.00000000000000000e+02,1.05000000000000000e+02,-9.10531345946239128e+01,5.71911783612113211e+01
1.05000000000000000e+02,1.10000000000000000e+02,-5.35505285152322514e+01,5.07260517093016432e+01
1.10000000000000000e+02,1.15000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00
1.15000000000000000e+02,1.20000000000000000e+02,-6.68076603438602064e+01,5.24665222742480708e+01
1.20000000000000000e+02,1.25000000000000000e+02,-6.93563171894139288e+01,6.30770549478503213e+01
1.25000000000000000e+02,1.30000000000000000e+02,-2.96976636324548782e+00,2.57069915825051432e+00
1.30000000000000000e+02,1.35000000000000000e+02,-3.92340583029014756e+00,3.92340583029014756e+00
1.35000000000000000e+02,1.40000000000000000e+02,-5.27213075550760806e+01,3.72670527570373338e+01
1.40000000000000000e+02,1.45000000000000000e+02,-3.19336360316200683e+01,2.47645516474496752e+01
1.45000000000000000e+02,1.50000000000000000e+02,-5.07658473955871798e+01,5.07153420535175528e+01
1.50000000000000000e+02,1.55000000000000000e+02,-2.09383468171137025e+02,1.80131142306460134e+02
1.55000000000000000e+02,1.60000000000000000e+02,-2.26471657491947980e+02,2.26616815139598970e+02
1.60000000000000000e+02,1.65000000000000000e+02,-3.50816673927405631e+01,3.50816673927405631e+01
