bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
0.00000000000000000e+00,5.00000000000000000e+00,8.72000279222515360e+01,5.46979180705265211e+00,7.48914083951128191e+01,1.00555332108127274e+02
5.00000000000000000e+00,1.00000000000000000e+01,2.59970895876963255e+02,9.67513505389121953e+00,2.22524543676700375e+02,3.01374344835562397e+02
1.00000000000000000e+01,1.50000000000000000e+01,4.28885290881381763e+02,1.16725017680505125e+01,3.67053400596406732e+02,4.97617311083750621e+02
1.50000000000000000e+01,2.00000000000000000e+01,5.93173590463852065e+02,1.48138965387225756e+01,5.09895250607307389e+02,6.83186203657054421e+02
2.00000000000000000e+01,2.50000000000000000e+01,7.68499487065855305e+02,1.74480471665967123e+01,6.56742247596157426e+02,8.93165392330772420e+02
2.50000000000000000e+01,3.00000000000000000e+01,8.80318687106504740e+02,1.68764717254906245e+01,7.53132551428577358e+02,1.02150455298847635e+03
3.00000000000000000e+01,3.50000000000000000e+01,9.90756633439055122e+02,1.81603433879420813e+01,8.55021842033864459e+02,1.13458195870889244e+03
3.50000000000000000e+01,4.00000000000000000e+01,1.10387921821157352e+03,1.97041308571345013e+01,9.49030053369633947e+02,1.27101292104742970e+03
4.00000000000000000e+01,4.50000000000000000e+01,1.21272405682237627e+03,2.03462420851844747e+01,1.03871538555370466e+03,1.40467055937990926e+03
4.50000000000000000e+01,5.00000000000000000e+01,1.32715639376239437e+03,2.16642003846320570e+01,1.14131219717133263e+03,1.52661492122465597e+03
5.00000000000000000e+01,5.50000000000000000e+01,1.41379260663532705e+03,2.28670345926558340e+01,1.21876598695683333e+03,1.61931104610029433e+03
5.50000000000000000e+01,6.00000000000000000e+01,1.46342675126235622e+03,2.27451420643240780e+01,1.25586916027619532e+03,1.68787536890172350e+03
6.00000000000000000e+01,6.50000000000000000e+01,1.47368211965553701e+03,2.34818633869411286e+01,1.27442536651564433e+03,1.67945097757645703e+03
6.50000000000000000e+01,7.00000000000000000e+01,1.51136285004502270e+03,2.31559720541637262e+01,1.30399182760688268e+03,1.72822767685911003e+03
7.00000000000000000e+01,7.50000000000000000e+01,1.53391568679577631e+03,2.41992434713595337e+01,1.32275122986358997e+03,1.75447875553487938e+03
