bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,6.91335622758473489e-01,1.01993254242892695e+00
5.00000000000000000e+00,1.00000000000000000e+01,7.70779132836567182e-01,1.59372707303316008e+00
1.00000000000000000e+01,1.50000000000000000e+01,8.02687253852443772e-01,2.00019057306437187e+00
1.50000000000000000e+01,2.00000000000000000e+01,8.76554167620119257e-02,2.45136713889022895e+00
2.00000000000000000e+01,2.50000000000000000e+01,-6.54524099649845703e-01,2.57244950396561967e+00
2.50000000000000000e+01,3.00000000000000000e+01,1.56934760097295256e+00,2.49261640701989240e+00
3.00000000000000000e+01,3.50000000000000000e+01,-1.09572003640136617e+00,3.21141835599664338e+00
3.50000000000000000e+01,4.00000000000000000e+01,1.56874326592942714e+00,2.47193128631920267e+00
4.00000000000000000e+01,4.50000000000000000e+01,-3.34754190715009825e+00,3.18825403311095279e+00
4.50000000000000000e+01,5.00000000000000000e+01,-5.55682624088238786e+00,3.67744660792094091e+00
5.00000000000000000e+01,5.50000000000000000e+01,-5.67437496756393145e+00,3.98999652618840672e+00
5.50000000000000000e+01,6.00000000000000000e+01,8.17989253546274275e-01,3.49672079649213119e+00
6.00000000000000000e+01,6.50000000000000000e+01,-1.36976919426278752e+01,4.16285893237356763e+00
6.50000000000000000e+01,7.00000000000000000e+01,-6.98854786114409432e+00,4.34058207434673538e+00
7.00000000000000000e+01,7.50000000000000000e+01,-8.40200149211975500e+00,3.76502435849092709e+00
7.50000000000000000e+01,8.00000000000000000e+01,-5.14378739978905131e+00,3.54163613414651612e+00
8.00000000000000000e+01,8.50000000000000000e+01,-1.65971555073373942e+01,4.27549030737571911e+00
8.50000000000000000e+01,9.00000000000000000e+01,-3.41969063260092110e+00,3.86164530944601259e+00
9.00000000000000000e+01,9.50000000000000000e+01,-7.98706753320955354e+00,3.54993284263563424e+00
9.50000000000000000e+01,1.00000000000000000e+02,-1.47703038362847821e+01,3.89117561256327438e+00
1.00000000000000000e+02,1.05000000000000000e+02,-1.70557485177920825e+01,3.58322189200030294e+00
1.05000000000000000e+02,1.10000000000000000e+02,-2.21526727474483920e+01,3.93836774755965147e+00
1.10000000000000000e+02,1.15000000000000000e+02,-1.61507949354336588e+01,3.91984768453630927e+00
1.15000000000000000e+02,1.20000000000000000e+02,-1.27867851234406906e+01,3.21907984862755292e+00
1.20000000000000000e+02,1.25000000000000000e+02,-1.47188964682950658e+01,3.30716394597698748e+00
1.25000000000000000e+02,1.30000000000000000e+02,-2.36831347170127806e+01,4.00247654416530096e+00
1.30000000000000000e+02,1.35000000000000000e+02,-2.63111453394580792e+01,4.39454163528728969e+00
1.35000000000000000e+02,1.40000000000000000e+02,-1.26305163373805343e+01,3.60634838418972148e+00
1.40000000000000000e+02,1.45000000000000000e+02,-2.28837744039550763e+01,3.94772750221570234e+00
1.45000000000000000e+02,1.50000000000000000e+02,-2.99772402003588176e+01,4.33058623383321173e+00
1.50000000000000000e+02,1.55000000000000000e+02,-2.32171800176778120e+01,3.47333416295280006e+00
1.55000000000000000e+02,1.60000000000000000e+02,-2.31997223190910091e+01,3.80595795244420820e+00
1.60000000000000000e+02,1.65000000000000000e+02,-2.91825909175373077e+01,3.71521719458314781e+00
1.65000000000000000e+02,1.70000000000000000e+02,-2.63925929425770285e+01,3.67213204829600537e+00
1.70000000000000000e+02,1.75000000000000000e+02,-2.81513996746844306e+01,3.58616700756046125e+00
1.75000000000000000e+02,1.80000000000000000e+02,-2.14606186973331958e+01,2.89973755299243319e+00
1.80000000000000000e+02,1.85000000000000000e+02,-2.45112731571459648e+01,3.16045381980256934e+00
1.85000000000000000e+02,1.90000000000000000e+02,-2.22804642268675153e+01,3.16758151023253820e+00
1.90000000000000000e+02,1.95000000000000000e+02,-2.65519610257434167e+01,3.62721245822216298e+00
1.95000000000000000e+02,2.00000000000000000e+02,-1.36813302468079883e+01,2.88902022746065290e+00
2.00000000000000000e+02,2.05000000000000000e+02,-2.34574317351537545e+01,2.92446363776046026e+00
2.05000000000000000e+02,2.10000000000000000e+02,-2.12417827595591007e+01,3.21317687876116143e+00
2.10000000000000000e+02,2.15000000000000000e+02,-1.82983235461402849e+01,2.47644930201871505e+00
2.15000000000000000e+02,2.20000000000000000e+02,-2.06089765621077881e+01,2.74301250446608602e+00
2.20000000000000000e+02,2.25000000000000000e+02,-2.38293374157712172e+01,3.00119489955465957e+00
2.25000000000000000e+02,2.30000000000000000e+02,-1.52059252972542698e+01,2.52790491748678603e+00
2.30000000000000000e+02,2.35000000000000000e+02,-1.62045006829175797e+01,2.54595613049174396e+00
2.35000000000000000e+02,2.40000000000000000e+02,-1.46791176035809325e+01,2.12523094389727119e+00
2.40000000000000000e+02,2.45000000000000000e+02,-1.78782052976186137e+01,2.34898836499267061e+00
2.45000000000000000e+02,2.50000000000000000e+02,-1.47099864465629580e+01,2.29048211907803623e+00
2.50000000000000000e+02,2.55000000000000000e+02,-1.30763534988661352e+01,1.94659427601562007e+00
2.55000000000000000e+02,2.60000000000000000e+02,-1.38557877998865404e+01,2.26710966453225637e+00
2.60000000000000000e+02,2.65000000000000000e+02,-1.14428810301301507e+01,1.91240729251715957e+00
2.65000000000000000e+02,2.70000000000000000e+02,-1.40287052164780786e+01,2.22314334461848251e+00
2.70000000000000000e+02,2.75000000000000000e+02,-1.09343628800505854e+01,1.97201428173242221e+00
2.75000000000000000e+02,2.80000000000000000e+02,-1.38836478800934806e+01,2.03773991547439737e+00
2.80000000000000000e+02,2.85000000000000000e+02,-1.19965597567903846e+01,1.75560160596556791e+00
2.85000000000000000e+02,2.90000000000000000e+02,-1.39117136903899130e+01,1.80621831209454542e+00
2.90000000000000000e+02,2.95000000000000000e+02,-1.13605095902072577e+01,1.73988374808273960e+00
2.95000000000000000e+02,3.00000000000000000e+02,-1.39065417928050632e+01,2.16099578764297862e+00
3.00000000000000000e+02,3.05000000000000000e+02,-8.22698328621873110e+00,1.24498180503553746e+00
3.05000000000000000e+02,3.10000000000000000e+02,-8.15793559395243584e+00,1.46648707876486539e+00
3.10000000000000000e+02,3.15000000000000000e+02,-1.33669270481267954e+01,1.96570038610772757e+00
3.15000000000000000e+02,3.20000000000000000e+02,-7.41217690166552767e+00,1.32276400858203180e+00
3.20000000000000000e+02,3.25000000000000000e+02,-9.01956886890500442e+00,1.49328375271929792e+00
3.25000000000000000e+02,3.30000000000000000e+02,-6.95254580625762397e+00,1.54292411825835685e+00
