bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,3.02145318198003299e+00,3.85410442352188631e-01
5.00000000000000000e+00,1.00000000000000000e+01,7.09465326814879660e+00,5.87901984728373850e-01
1.00000000000000000e+01,1.50000000000000000e+01,7.07838025575421348e+00,6.43026037278388585e-01
1.50000000000000000e+01,2.00000000000000000e+01,6.71826168261862033e+00,6.72007609938031214e-01
2.00000000000000000e+01,2.50000000000000000e+01,6.25422017244780282e+00,7.02777356270461784e-01
2.50000000000000000e+01,3.00000000000000000e+01,3.93042620583993862e+00,6.97164366199389596e-01
3.00000000000000000e+01,3.50000000000000000e+01,1.37467826779663294e+00,6.86858676863631890e-01
3.50000000000000000e+01,4.00000000000000000e+01,-1.27463630388339633e+00,6.61290186309661299e-01
4.00000000000000000e+01,4.50000000000000000e+01,-5.77352055908037975e+00,6.20424187056085374e-01
4.50000000000000000e+01,5.00000000000000000e+01,-1.05798562892325378e+01,5.93857050074979909e-01
5.00000000000000000e+01,5.50000000000000000e+01,-1.51383435065922178e+01,5.56578769487412361e-01
5.50000000000000000e+01,6.00000000000000000e+01,-2.05217506355763106e+01,5.29747226430229756e-01
6.00000000000000000e+01,6.50000000000000000e+01,-2.57418598767517715e+01,5.09959612122925732e-01
6.50000000000000000e+01,7.00000000000000000e+01,-3.09124349961891767e+01,5.00064720353958880e-01
7.00000000000000000e+01,7.50000000000000000e+01,-3.60324025374886006e+01,5.05552183117199405e-01
7.50000000000000000e+01,8.00000000000000000e+01,-4.08671348274559421e+01,5.24493312326784200e-01
8.00000000000000000e+01,8.50000000000000000e+01,-4.65692216879471559e+01,5.65769578600560541e-01
8.50000000000000000e+01,9.00000000000000000e+01,-5.11221398929706865e+01,6.07524567049801956e-01
9.00000000000000000e+01,9.50000000000000000e+01,-5.50517090219048697e+01,6.53524611155379409e-01
9.50000000000000000e+01,1.00000000000000000e+02,-5.94312383979629502e+01,7.10417345590225291e-01
1.00000000000000000e+02,1.05000000000000000e+02,-6.13016836189753604e+01,7.53659806663957044e-01
1.05000000000000000e+02,1.10000000000000000e+02,-6.62521408171788835e+01,8.11916509769000871e-01
1.10000000000000000e+02,1.15000000000000000e+02,-6.85749912207817403e+01,8.60919528187312655e-01
1.15000000000000000e+02,1.20000000000000000e+02,-7.10550056240335834e+01,9.03622687080890552e-01
1.20000000000000000e+02,1.25000000000000000e+02,-7.17108473750969893e+01,9.35262808107767740e-01
1.25000000000000000e+02,1.30000000000000000e+02,-7.34800962926048413e+01,9.69182963357426930e-01
1.30000000000000000e+02,1.35000000000000000e+02,-7.55729826970498948e+01,1.00314618808502964e+00
