bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,3.94102829687755545e+01,2.92615632084137589e+00
5.00000000000000000e+00,1.00000000000000000e+01,1.21081326609692482e+02,5.16964005358392686e+00
1.00000000000000000e+01,1.50000000000000000e+01,1.95834320072490925e+02,6.52877948226538685e+00
1.50000000000000000e+01,2.00000000000000000e+01,2.69641205556641069e+02,7.79234414944881149e+00
2.00000000000000000e+01,2.50000000000000000e+01,3.48404858887085936e+02,8.84958964717442065e+00
2.50000000000000000e+01,3.00000000000000000e+01,4.23116418142104180e+02,9.99257951137841438e+00
3.00000000000000000e+01,3.50000000000000000e+01,4.61655814396759979e+02,1.03198274087753727e+01
3.50000000000000000e+01,4.00000000000000000e+01,5.30259989928866730e+02,1.11918593393592740e+01
4.00000000000000000e+01,4.50000000000000000e+01,5.85041157306665696e+02,1.18783124892789953e+01
4.50000000000000000e+01,5.00000000000000000e+01,6.41777894097139210e+02,1.25335584071289468e+01
5.00000000000000000e+01,5.50000000000000000e+01,6.88329489447324249e+02,1.30602940775119567e+01
5.50000000000000000e+01,6.00000000000000000e+01,7.02514982233111709e+02,1.31436555531784123e+01
6.00000000000000000e+01,6.50000000000000000e+01,6.93033558945580467e+02,1.29933146616341624e+01
6.50000000000000000e+01,7.00000000000000000e+01,7.37318945669828281e+02,1.34973364385224457e+01
7.00000000000000000e+01,7.50000000000000000e+01,7.28833983668530891e+02,1.32621033921905713e+01
7.50000000000000000e+01,8.00000000000000000e+01,7.28480628216486593e+02,1.31738238330185382e+01
8.00000000000000000e+01,8.50000000000000000e+01,7.52402879869408025e+02,1.34821709721475536e+01
8.50000000000000000e+01,9.00000000000000000e+01,7.73077534534495612e+02,1.34329708331309341e+01
9.00000000000000000e+01,9.50000000000000000e+01,7.51801934081482386e+02,1.31412252181695290e+01
9.50000000000000000e+01,1.00000000000000000e+02,7.06671338160846631e+02,1.25699179332966704e+01
1.00000000000000000e+02,1.05000000000000000e+02,6.96763222338643118e+02,1.23275248338596395e+01
1.05000000000000000e+02,1.10000000000000000e+02,6.68474799301000985e+02,1.18897829935207877e+01
1.10000000000000000e+02,1.15000000000000000e+02,6.54808366923220774e+02,1.15296153027838493e+01
1.15000000000000000e+02,1.20000000000000000e+02,6.12008719939432694e+02,1.09768623168796786e+01
1.20000000000000000e+02,1.25000000000000000e+02,6.20326131716568398e+02,1.08446732601360463e+01
1.25000000000000000e+02,1.30000000000000000e+02,5.70151464522004289e+02,1.01774166890207862e+01
1.30000000000000000e+02,1.35000000000000000e+02,5.52356605481172210e+02,9.81206188588562078e+00
1.35000000000000000e+02,1.40000000000000000e+02,5.06387991809583809e+02,9.17662717710323506e+00
1.40000000000000000e+02,1.45000000000000000e+02,4.90006782473288581e+02,8.81173469896814154e+00
1.45000000000000000e+02,1.50000000000000000e+02,4.60361291331117741e+02,8.30421085886125177e+00
1.50000000000000000e+02,1.55000000000000000e+02,4.27880881829208647e+02,7.80864533374688019e+00
1.55000000000000000e+02,1.60000000000000000e+02,3.94165814891158220e+02,7.30834712972095168e+00
1.60000000000000000e+02,1.65000000000000000e+02,3.84741116317318870e+02,6.99857168774506455e+00
1.65000000000000000e+02,1.70000000000000000e+02,3.40863287674382093e+02,6.38282461731104878e+00
1.70000000000000000e+02,1.75000000000000000e+02,3.24680531226907078e+02,6.03879713160022735e+00
1.75000000000000000e+02,1.80000000000000000e+02,3.00006567346770737e+02,5.67573429874328284e+00
1.80000000000000000e+02,1.85000000000000000e+02,2.87049290059006353e+02,5.40802119180073237e+00
1.85000000000000000e+02,1.90000000000000000e+02,2.66327916781199065e+02,5.03998484397244617e+00
1.90000000000000000e+02,1.95000000000000000e+02,2.43790092625937177e+02,4.67025665095325504e+00
1.95000000000000000e+02,2.00000000000000000e+02,2.22026804913278880e+02,4.31075748330508546e+00
2.00000000000000000e+02,2.05000000000000000e+02,2.14036704099359895e+02,4.12008439659089021e+00
2.05000000000000000e+02,2.10000000000000000e+02,1.98251482362744724e+02,3.82169153167112929e+00
2.10000000000000000e+02,2.15000000000000000e+02,1.76549966977124285e+02,3.51096223647124139e+00
2.15000000000000000e+02,2.20000000000000000e+02,1.70244956761723614e+02,3.34409250359656252e+00
2.20000000000000000e+02,2.25000000000000000e+02,1.54641887925185046e+02,3.06966001269982680e+00
2.25000000000000000e+02,2.30000000000000000e+02,1.44170077911125958e+02,2.87617911231917489e+00
2.30000000000000000e+02,2.35000000000000000e+02,1.33018180588331575e+02,2.69827186398951469e+00
2.35000000000000000e+02,2.40000000000000000e+02,1.17890850615289750e+02,2.44639938899432163e+00
2.40000000000000000e+02,2.45000000000000000e+02,1.10338294560390494e+02,2.28093715057081026e+00
2.45000000000000000e+02,2.50000000000000000e+02,1.06477088965303579e+02,2.17434951481775274e+00
2.50000000000000000e+02,2.55000000000000000e+02,9.40224746228321209e+01,1.98421708938643415e+00
2.55000000000000000e+02,2.60000000000000000e+02,8.34554597548394810e+01,1.79811185487643277e+00
2.60000000000000000e+02,2.65000000000000000e+02,8.29302567459606053e+01,1.73404995746478097e+00
2.65000000000000000e+02,2.70000000000000000e+02,7.18591493728653745e+01,1.55395584641205864e+00
2.70000000000000000e+02,2.75000000000000000e+02,7.07523598567344294e+01,1.50902844148856974e+00
2.75000000000000000e+02,2.80000000000000000e+02,6.25981679502658110e+01,1.37863754971784558e+00
2.80000000000000000e+02,2.85000000000000000e+02,6.07947275565633518e+01,1.30959539377058043e+00
2.85000000000000000e+02,2.90000000000000000e+02,5.67925642041398007e+01,1.23483666211524579e+00
2.90000000000000000e+02,2.95000000000000000e+02,5.11065340893218121e+01,1.12064300028885033e+00
2.95000000000000000e+02,3.00000000000000000e+02,4.69121182282940339e+01,1.04848679269037981e+00
3.00000000000000000e+02,3.05000000000000000e+02,4.19237399440329099e+01,9.54689847121207413e-01
3.05000000000000000e+02,3.10000000000000000e+02,3.98815292804051609e+01,9.02238749384799088e-01
3.10000000000000000e+02,3.15000000000000000e+02,3.74843455383387578e+01,8.49734820456732987e-01
3.15000000000000000e+02,3.20000000000000000e+02,3.46484575478813071e+01,7.90348459565051731e-01
3.20000000000000000e+02,3.25000000000000000e+02,3.14741677124259809e+01,7.27939705210862820e-01
3.25000000000000000e+02,3.30000000000000000e+02,2.98037463686669852e+01,6.89958895223164670e-01
3.30000000000000000e+02,3.35000000000000000e+02,2.85111337968097267e+01,6.53905783591632428e-01
3.35000000000000000e+02,3.40000000000000000e+02,2.64506194910808503e+01,6.13360536117053101e-01
3.40000000000000000e+02,3.45000000000000000e+02,2.38796219967684387e+01,5.65087674771724058e-01
3.45000000000000000e+02,3.50000000000000000e+02,2.19565434813549807e+01,5.23573163260948271e-01
3.50000000000000000e+02,3.55000000000000000e+02,2.05250651904791290e+01,4.90587151188455695e-01
3.55000000000000000e+02,3.60000000000000000e+02,1.95463527798320449e+01,4.64824973713704404e-01
3.60000000000000000e+02,3.65000000000000000e+02,1.87398778961534234e+01,4.43477991745685585e-01
3.65000000000000000e+02,3.70000000000000000e+02,1.66752498301924525e+01,4.06445420328311546e-01
3.70000000000000000e+02,3.75000000000000000e+02,1.44588175631828122e+01,3.64609117278011263e-01
3.75000000000000000e+02,3.80000000000000000e+02,1.45056988371493549e+01,3.58273981722933010e-01
3.80000000000000000e+02,3.85000000000000000e+02,1.25363053793733616e+01,3.19733089620057254e-01
3.85000000000000000e+02,3.90000000000000000e+02,1.18890839206232108e+01,3.03477085376468336e-01
3.90000000000000000e+02,3.95000000000000000e+02,1.16460271210718300e+01,2.92154699167135379e-01
3.95000000000000000e+02,4.00000000000000000e+02,1.13251257736765378e+01,2.83770751499697937e-01
4.00000000000000000e+02,4.05000000000000000e+02,9.86415352467964723e+00,2.56251905667140401e-01
4.05000000000000000e+02,4.10000000000000000e+02,9.54966789076248368e+00,2.42997681666098836e-01
4.10000000000000000e+02,4.15000000000000000e+02,9.15997435339683186e+00,2.32446045716996397e-01
4.15000000000000000e+02,4.20000000000000000e+02,8.43604092132440897e+00,2.16788131784783233e-01
4.20000000000000000e+02,4.25000000000000000e+02,7.17352149793120475e+00,1.93203996955336327e-01
4.25000000000000000e+02,4.30000000000000000e+02,7.22112171369264289e+00,1.90609279358658679e-01
4.30000000000000000e+02,4.35000000000000000e+02,6.81336914099789581e+00,1.78510896139465219e-01
4.35000000000000000e+02,4.40000000000000000e+02,6.14339580022679499e+00,1.66439438622626279e-01
4.40000000000000000e+02,4.45000000000000000e+02,6.10826224465837431e+00,1.61835044537289613e-01
4.45000000000000000e+02,4.50000000000000000e+02,5.51820152302976741e+00,1.48572072528645294e-01
4.50000000000000000e+02,4.55000000000000000e+02,5.02532232782598154e+00,1.38989367826669208e-01
4.55000000000000000e+02,4.60000000000000000e+02,4.61135995633126416e+00,1.27366941452482507e-01
4.60000000000000000e+02,4.65000000000000000e+02,4.61847975612052242e+00,1.26114082321921089e-01
4.65000000000000000e+02,4.70000000000000000e+02,4.36882922567895982e+00,1.19859638648735528e-01
4.70000000000000000e+02,4.75000000000000000e+02,3.91866412102432538e+00,1.08739199881575696e-01
4.75000000000000000e+02,4.80000000000000000e+02,3.66818406516735118e+00,1.03936818523969271e-01
4.80000000000000000e+02,4.85000000000000000e+02,3.38817988482479260e+00,9.67122487003847231e-02
4.85000000000000000e+02,4.90000000000000000e+02,3.49505419727219335e+00,9.67941754487518236e-02
4.90000000000000000e+02,4.95000000000000000e+02,3.14040194360123337e+00,8.95693953676099386e-02
4.95000000000000000e+02,5.00000000000000000e+02,2.95116913905104372e+00,8.39183341396565474e-02
