bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,7.48914083951128191e+01,4.39795056439980137e+00
5.00000000000000000e+00,1.00000000000000000e+01,2.22524543676700375e+02,7.75380410753124849e+00
1.00000000000000000e+01,1.50000000000000000e+01,3.67053400596406732e+02,9.38894131071942084e+00
1.50000000000000000e+01,2.00000000000000000e+01,5.09895250607307389e+02,1.20243954209733612e+01
2.00000000000000000e+01,2.50000000000000000e+01,6.56742247596157426e+02,1.39377681389752119e+01
2.50000000000000000e+01,3.00000000000000000e+01,7.53132551428577358e+02,1.35384304367046138e+01
3.00000000000000000e+01,3.50000000000000000e+01,8.55021842033864459e+02,1.46764504514374376e+01
3.50000000000000000e+01,4.00000000000000000e+01,9.49030053369633947e+02,1.58749049673047580e+01
4.00000000000000000e+01,4.50000000000000000e+01,1.03871538555370466e+03,1.62841289902083446e+01
4.50000000000000000e+01,5.00000000000000000e+01,1.14131219717133263e+03,1.74079721766257407e+01
5.00000000000000000e+01,5.50000000000000000e+01,1.21876598695683333e+03,1.83999097096833886e+01
5.50000000000000000e+01,6.00000000000000000e+01,1.25586916027619532e+03,1.82330184412781833e+01
6.00000000000000000e+01,6.50000000000000000e+01,1.27442536651564433e+03,1.88932818211076743e+01
6.50000000000000000e+01,7.00000000000000000e+01,1.30399182760688268e+03,1.85602283962830512e+01
7.00000000000000000e+01,7.50000000000000000e+01,1.32275122986358997e+03,1.94174943095916390e+01
7.50000000000000000e+01,8.00000000000000000e+01,1.31678433538165336e+03,1.86655614647299934e+01
8.00000000000000000e+01,8.50000000000000000e+01,1.34294052565747779e+03,1.94701352944344954e+01
8.50000000000000000e+01,9.00000000000000000e+01,1.34839392208410550e+03,1.88557715165836051e+01
9.00000000000000000e+01,9.50000000000000000e+01,1.30025653176277820e+03,1.84145843314862958e+01
9.50000000000000000e+01,1.00000000000000000e+02,1.26956312023545388e+03,1.86527092937031220e+01
1.00000000000000000e+02,1.05000000000000000e+02,1.22801435741807245e+03,1.78989211479445913e+01
1.05000000000000000e+02,1.10000000000000000e+02,1.14389339829573623e+03,1.67023518163062263e+01
1.10000000000000000e+02,1.15000000000000000e+02,1.11619199863527592e+03,1.60064565709732243e+01
1.15000000000000000e+02,1.20000000000000000e+02,1.07606480119355433e+03,1.57281227395740313e+01
1.20000000000000000e+02,1.25000000000000000e+02,1.04948094757860167e+03,1.51068181758445768e+01
1.25000000000000000e+02,1.30000000000000000e+02,9.63075109654570724e+02,1.46039450176370753e+01
1.30000000000000000e+02,1.35000000000000000e+02,9.17081761021109514e+02,1.34887569867573536e+01
1.35000000000000000e+02,1.40000000000000000e+02,8.67542913302788179e+02,1.33875673990245350e+01
1.40000000000000000e+02,1.45000000000000000e+02,8.09198540795930285e+02,1.25348809641078986e+01
1.45000000000000000e+02,1.50000000000000000e+02,7.61587999114907234e+02,1.20657524542762360e+01
1.50000000000000000e+02,1.55000000000000000e+02,6.89536733346199753e+02,1.10508414974315361e+01
1.55000000000000000e+02,1.60000000000000000e+02,6.46520726504812274e+02,1.03731286688929600e+01
1.60000000000000000e+02,1.65000000000000000e+02,6.16391177474065671e+02,1.01875590435008689e+01
1.65000000000000000e+02,1.70000000000000000e+02,5.50846087317003708e+02,9.14002314096537738e+00
1.70000000000000000e+02,1.75000000000000000e+02,5.17538551425253218e+02,8.58253957363060671e+00
1.75000000000000000e+02,1.80000000000000000e+02,4.85044681792651431e+02,8.34311085062788393e+00
1.80000000000000000e+02,1.85000000000000000e+02,4.50587017194988391e+02,7.70004365782891487e+00
1.85000000000000000e+02,1.90000000000000000e+02,4.17241923830201131e+02,7.39169183983294698e+00
1.90000000000000000e+02,1.95000000000000000e+02,3.69839808154825334e+02,6.63299957129720674e+00
1.95000000000000000e+02,2.00000000000000000e+02,3.56030743924914589e+02,6.30880902069471272e+00
2.00000000000000000e+02,2.05000000000000000e+02,3.24286400017968447e+02,5.93204876435426254e+00
2.05000000000000000e+02,2.10000000000000000e+02,2.96082589393879573e+02,5.48782652710562147e+00
2.10000000000000000e+02,2.15000000000000000e+02,2.64803502551623410e+02,4.98413288927618048e+00
2.15000000000000000e+02,2.20000000000000000e+02,2.53531983717865472e+02,4.82412410817155113e+00
2.20000000000000000e+02,2.25000000000000000e+02,2.23262767355584714e+02,4.53882096077357478e+00
2.25000000000000000e+02,2.30000000000000000e+02,2.07925599253482005e+02,4.06576142535299745e+00
2.30000000000000000e+02,2.35000000000000000e+02,1.97575813654050791e+02,4.01854595635187906e+00
2.35000000000000000e+02,2.40000000000000000e+02,1.78007781550371135e+02,3.66219610518970873e+00
2.40000000000000000e+02,2.45000000000000000e+02,1.60133769950646240e+02,3.52678453451482055e+00
2.45000000000000000e+02,2.50000000000000000e+02,1.52774171366235748e+02,3.24873583345173866e+00
2.50000000000000000e+02,2.55000000000000000e+02,1.33616626599142847e+02,2.85436647625608542e+00
2.55000000000000000e+02,2.60000000000000000e+02,1.18558989802016811e+02,2.77344906590288565e+00
2.60000000000000000e+02,2.65000000000000000e+02,1.17288871339583224e+02,2.59174447707591682e+00
2.65000000000000000e+02,2.70000000000000000e+02,1.00034156323243906e+02,2.47609111518421621e+00
2.70000000000000000e+02,2.75000000000000000e+02,9.75403876712746865e+01,2.34061932785620996e+00
2.75000000000000000e+02,2.80000000000000000e+02,8.40989731880923728e+01,2.23278556921385052e+00
2.80000000000000000e+02,2.85000000000000000e+02,8.05748313982241768e+01,2.01317707905512311e+00
2.85000000000000000e+02,2.90000000000000000e+02,7.38804926779026658e+01,2.01649056830253182e+00
2.90000000000000000e+02,2.95000000000000000e+02,6.73525120341137722e+01,1.84350399356334838e+00
2.95000000000000000e+02,3.00000000000000000e+02,5.90899639461544837e+01,1.95332255588514347e+00
3.00000000000000000e+02,3.05000000000000000e+02,5.63626324746827123e+01,1.48786536031409877e+00
3.05000000000000000e+02,3.10000000000000000e+02,5.22078582370263860e+01,1.52584651480813327e+00
3.10000000000000000e+02,3.15000000000000000e+02,4.48200956358520415e+01,1.70441205422861786e+00
3.15000000000000000e+02,3.20000000000000000e+02,4.38588343817329687e+01,1.30886537278172788e+00
3.20000000000000000e+02,3.25000000000000000e+02,3.90333881889731060e+01,1.33251721048223315e+00
3.25000000000000000e+02,3.30000000000000000e+02,3.74038905419944214e+01,1.32971438947805565e+00
3.30000000000000000e+02,3.35000000000000000e+02,3.50225345275575464e+01,1.21435788637658026e+00
3.35000000000000000e+02,3.40000000000000000e+02,3.02880883731870760e+01,1.14916808473376486e+00
3.40000000000000000e+02,3.45000000000000000e+02,3.02206309752794517e+01,8.77693289931316789e-01
3.45000000000000000e+02,3.50000000000000000e+02,2.68839160632218075e+01,9.18579941030912339e-01
3.50000000000000000e+02,3.55000000000000000e+02,2.45576226484381479e+01,8.83962330294025600e-01
3.55000000000000000e+02,3.60000000000000000e+02,2.29580221088967775e+01,8.96529929003642923e-01
3.60000000000000000e+02,3.65000000000000000e+02,2.21031005422073790e+01,8.91055632728670943e-01
3.65000000000000000e+02,3.70000000000000000e+02,1.75608336342245508e+01,1.02928110377673043e+00
3.70000000000000000e+02,3.75000000000000000e+02,1.66555455141259223e+01,8.55688156085600227e-01
3.75000000000000000e+02,3.80000000000000000e+02,1.61844317593156646e+01,7.05906519063936533e-01
3.80000000000000000e+02,3.85000000000000000e+02,1.30032748002145997e+01,7.48096844736184208e-01
3.85000000000000000e+02,3.90000000000000000e+02,1.21517888194746302e+01,7.33390688186915329e-01
3.90000000000000000e+02,3.95000000000000000e+02,1.20344729698569690e+01,6.97047308338696436e-01
3.95000000000000000e+02,4.00000000000000000e+02,1.11313079723942927e+01,9.69882252302282644e-01
4.00000000000000000e+02,4.05000000000000000e+02,1.02121338180027230e+01,5.16814387030972267e-01
4.05000000000000000e+02,4.10000000000000000e+02,8.68198670592859045e+00,6.99196790896486786e-01
4.10000000000000000e+02,4.15000000000000000e+02,9.40004427416294241e+00,5.18830514872434367e-01
4.15000000000000000e+02,4.20000000000000000e+02,8.38165907837301027e+00,6.22864978241033929e-01
4.20000000000000000e+02,4.25000000000000000e+02,7.87252131502564900e+00,4.52908045918101188e-01
4.25000000000000000e+02,4.30000000000000000e+02,7.43649661535153594e+00,4.31143590267727805e-01
4.30000000000000000e+02,4.35000000000000000e+02,7.17818305937111489e+00,3.71134266729073903e-01
4.35000000000000000e+02,4.40000000000000000e+02,5.30478692424648202e+00,5.35432904533948650e-01
