bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,5.84588779007803816e-01,6.78970692840741741e-01
5.00000000000000000e+00,1.00000000000000000e+01,7.28143470453335162e-01,1.09502848372376582e+00
1.00000000000000000e+01,1.50000000000000000e+01,8.60444397211960532e-01,1.35138977732536181e+00
1.50000000000000000e+01,2.00000000000000000e+01,4.73274801659998190e-01,1.67520248274311356e+00
2.00000000000000000e+01,2.50000000000000000e+01,1.14120761028922602e-01,1.73284583650356416e+00
2.50000000000000000e+01,3.00000000000000000e+01,1.74713835451725985e+00,1.69291386966922230e+00
3.00000000000000000e+01,3.50000000000000000e+01,7.51410905593251632e-02,2.16159132626913708e+00
3.50000000000000000e+01,4.00000000000000000e+01,1.81088271268862888e+00,1.67133361531636160e+00
4.00000000000000000e+01,4.50000000000000000e+01,-1.50518786008151717e+00,2.15227807616668354e+00
4.50000000000000000e+01,5.00000000000000000e+01,-2.87224116413471586e+00,2.47205440519958985e+00
5.00000000000000000e+01,5.50000000000000000e+01,-2.81230427383110326e+00,2.67824455531536110e+00
5.50000000000000000e+01,6.00000000000000000e+01,1.51258161513653699e+00,2.36289726978607240e+00
6.00000000000000000e+01,6.50000000000000000e+01,-8.25603117339865733e+00,2.81580467975408100e+00
6.50000000000000000e+01,7.00000000000000000e+01,-3.64879256135386409e+00,2.92428537426682977e+00
7.00000000000000000e+01,7.50000000000000000e+01,-4.65543630447401480e+00,2.53063931096309824e+00
7.50000000000000000e+01,8.00000000000000000e+01,-2.57681846075068099e+00,2.38639885701354437e+00
8.00000000000000000e+01,8.50000000000000000e+01,-1.03315146069605888e+01,2.88048675740338300e+00
8.50000000000000000e+01,9.00000000000000000e+01,-1.40238796477796224e+00,2.60521987094859275e+00
9.00000000000000000e+01,9.50000000000000000e+01,-4.42820255220101267e+00,2.38239095023072789e+00
9.50000000000000000e+01,1.00000000000000000e+02,-9.11398509225983311e+00,2.60810767685547118e+00
1.00000000000000000e+02,1.05000000000000000e+02,-1.08717496716122053e+01,2.41343227988678377e+00
1.05000000000000000e+02,1.10000000000000000e+02,-1.44434908328943443e+01,2.67360541755607084e+00
1.10000000000000000e+02,1.15000000000000000e+02,-1.00923726854386597e+01,2.63361208476586661e+00
1.15000000000000000e+02,1.20000000000000000e+02,-7.95339878938368283e+00,2.16432772909653970e+00
1.20000000000000000e+02,1.25000000000000000e+02,-9.41048995907699748e+00,2.22406930200805153e+00
1.25000000000000000e+02,1.30000000000000000e+02,-1.54648156284288643e+01,2.67326731785543759e+00
1.30000000000000000e+02,1.35000000000000000e+02,-1.71403395865317520e+01,2.92388461771408670e+00
1.35000000000000000e+02,1.40000000000000000e+02,-7.90440042924531294e+00,2.42997705244751749e+00
1.40000000000000000e+02,1.45000000000000000e+02,-1.50866824941301019e+01,2.66354495053401097e+00
1.45000000000000000e+02,1.50000000000000000e+02,-1.94832974892762607e+01,2.87621874202922490e+00
1.50000000000000000e+02,1.55000000000000000e+02,-1.54451351805283394e+01,2.33217572407709595e+00
1.55000000000000000e+02,1.60000000000000000e+02,-1.50391112813266403e+01,2.51352891602972273e+00
1.60000000000000000e+02,1.65000000000000000e+02,-1.92963488972630728e+01,2.49397819074530203e+00
1.65000000000000000e+02,1.70000000000000000e+02,-1.72781574123480262e+01,2.42785487901650443e+00
1.70000000000000000e+02,1.75000000000000000e+02,-1.87968805445454912e+01,2.41092737329671225e+00
1.75000000000000000e+02,1.80000000000000000e+02,-1.41149261332684297e+01,1.94134740384457793e+00
1.80000000000000000e+02,1.85000000000000000e+02,-1.62514290109934159e+01,2.11631696485069254e+00
1.85000000000000000e+02,1.90000000000000000e+02,-1.47645827464289834e+01,2.11924878236951297e+00
1.90000000000000000e+02,1.95000000000000000e+02,-1.74713474635596704e+01,2.40931890204426891e+00
1.95000000000000000e+02,2.00000000000000000e+02,-8.88625614080811665e+00,1.92008525838981137e+00
2.00000000000000000e+02,2.05000000000000000e+02,-1.53369613503193722e+01,1.92660328813517734e+00
2.05000000000000000e+02,2.10000000000000000e+02,-1.38529313098790219e+01,2.10238844995691920e+00
