bin_low_gev,bin_high_gev,value,error
0.00000000000000000e+00,5.00000000000000000e+00,8.83249897864876488e+00,5.40872997642448117e-01
5.00000000000000000e+00,1.00000000000000000e+01,2.46822516694494389e+01,9.01161881361236539e-01
1.00000000000000000e+01,1.50000000000000000e+01,3.69786423332490202e+01,1.11562155392957485e+00
1.50000000000000000e+01,2.00000000000000000e+01,4.84749497630796498e+01,1.27340909963851034e+00
2.00000000000000000e+01,2.50000000000000000e+01,6.04298475243248348e+01,1.42463189705113402e+00
2.50000000000000000e+01,3.00000000000000000e+01,6.94715516187664122e+01,1.52503050988543110e+00
3.00000000000000000e+01,3.50000000000000000e+01,7.93797087419754490e+01,1.62900581210088191e+00
3.50000000000000000e+01,4.00000000000000000e+01,8.65894500184743947e+01,1.68377605510369999e+00
4.00000000000000000e+01,4.50000000000000000e+01,9.07365506175303267e+01,1.73033266788048756e+00
4.50000000000000000e+01,5.00000000000000000e+01,9.59064481688047152e+01,1.76501726140127069e+00
5.00000000000000000e+01,5.50000000000000000e+01,1.00782523654859801e+02,1.80026087745320984e+00
5.50000000000000000e+01,6.00000000000000000e+01,9.88840948863707041e+01,1.75395698503817954e+00
6.00000000000000000e+01,6.50000000000000000e+01,1.00870074292443817e+02,1.75164898091074162e+00
6.50000000000000000e+01,7.00000000000000000e+01,9.97346257093816462e+01,1.71501250863041754e+00
7.00000000000000000e+01,7.50000000000000000e+01,9.73854532678376188e+01,1.66567170234012796e+00
7.50000000000000000e+01,8.00000000000000000e+01,9.68503191890908965e+01,1.63015393647596940e+00
8.00000000000000000e+01,8.50000000000000000e+01,9.16218485966431899e+01,1.54132023706912547e+00
8.50000000000000000e+01,9.00000000000000000e+01,8.64773930826651451e+01,1.46502908014180599e+00
9.00000000000000000e+01,9.50000000000000000e+01,8.13450794057593356e+01,1.37992335680040989e+00
9.50000000000000000e+01,1.00000000000000000e+02,7.84061839424422402e+01,1.31392599340359029e+00
1.00000000000000000e+02,1.05000000000000000e+02,7.12179226271605330e+01,1.21224485258113646e+00
1.05000000000000000e+02,1.10000000000000000e+02,6.53598763903054021e+01,1.11500961047470426e+00
1.10000000000000000e+02,1.15000000000000000e+02,6.00130236163864410e+01,1.03211065719517214e+00
1.15000000000000000e+02,1.20000000000000000e+02,5.44420195451272022e+01,9.42911373133654918e-01
1.20000000000000000e+02,1.25000000000000000e+02,4.86408343843209892e+01,8.53589668391288359e-01
1.25000000000000000e+02,1.30000000000000000e+02,4.37867296791955667e+01,7.73584798860157630e-01
1.30000000000000000e+02,1.35000000000000000e+02,3.95130391249849566e+01,6.97387833082362518e-01
1.35000000000000000e+02,1.40000000000000000e+02,3.38970025672000617e+01,6.11114722413981126e-01
1.40000000000000000e+02,1.45000000000000000e+02,2.95313673838741657e+01,5.46089257713786025e-01
1.45000000000000000e+02,1.50000000000000000e+02,2.57894501209538696e+01,4.78199934576315544e-01
1.50000000000000000e+02,1.55000000000000000e+02,2.08121311887309517e+01,4.04200450175348502e-01
1.55000000000000000e+02,1.60000000000000000e+02,1.71992791928170661e+01,3.48339664985365005e-01
1.60000000000000000e+02,1.65000000000000000e+02,1.48295797572520858e+01,3.04126120685250079e-01
1.65000000000000000e+02,1.70000000000000000e+02,1.21807985838030479e+01,2.59252005040352451e-01
1.70000000000000000e+02,1.75000000000000000e+02,9.71717788207757138e+00,2.17656147479670575e-01
1.75000000000000000e+02,1.80000000000000000e+02,7.05791036064219224e+00,1.77364783027783135e-01
1.80000000000000000e+02,1.85000000000000000e+02,5.39955995226813723e+00,1.49106133338579028e-01
1.85000000000000000e+02,1.90000000000000000e+02,3.45872221818057124e+00,1.18637760050224583e-01
1.90000000000000000e+02,1.95000000000000000e+02,2.03990361995666980e+00,9.81810600609404616e-02
1.95000000000000000e+02,2.00000000000000000e+02,9.49468701060208864e-01,8.31936358674144616e-02
2.00000000000000000e+02,2.05000000000000000e+02,-1.78980448713845358e-01,6.97745283982616343e-02
2.05000000000000000e+02,2.10000000000000000e+02,-1.05363082525755325e+00,6.30873769728559214e-02
2.10000000000000000e+02,2.15000000000000000e+02,-1.84325558953312751e+00,6.03700744319221050e-02
2.15000000000000000e+02,2.20000000000000000e+02,-2.41084325865020510e+00,6.04013286560682941e-02
2.20000000000000000e+02,2.25000000000000000e+02,-3.02243532407519799e+00,6.38571477716868979e-02
2.25000000000000000e+02,2.30000000000000000e+02,-3.41232944930685678e+00,6.58434769232318778e-02
2.30000000000000000e+02,2.35000000000000000e+02,-3.73059727557179244e+00,6.99641772020766217e-02
2.35000000000000000e+02,2.40000000000000000e+02,-4.07878868193554656e+00,7.37210837688830473e-02
2.40000000000000000e+02,2.45000000000000000e+02,-4.17962007691294968e+00,7.52095992301887867e-02
2.45000000000000000e+02,2.50000000000000000e+02,-4.40824272927779859e+00,7.75074584892276874e-02
2.50000000000000000e+02,2.55000000000000000e+02,-4.18203248618873413e+00,7.48594931133999830e-02
2.55000000000000000e+02,2.60000000000000000e+02,-4.54107246690176147e+00,7.98932509038400990e-02
2.60000000000000000e+02,2.65000000000000000e+02,-4.47492699712914188e+00,7.97790064974897850e-02
2.65000000000000000e+02,2.70000000000000000e+02,-4.39034788065110781e+00,7.93108776290054884e-02
2.70000000000000000e+02,2.75000000000000000e+02,-4.30624410888578968e+00,7.78424168558426582e-02
2.75000000000000000e+02,2.80000000000000000e+02,-4.19911779985562372e+00,7.57045950420343616e-02
2.80000000000000000e+02,2.85000000000000000e+02,-4.11036579140772940e+00,7.56310111030033122e-02
2.85000000000000000e+02,2.90000000000000000e+02,-4.15280117547657390e+00,7.56249628875584751e-02
2.90000000000000000e+02,2.95000000000000000e+02,-3.89175895910056457e+00,7.21829093617881168e-02
2.95000000000000000e+02,3.00000000000000000e+02,-3.82389428316025137e+00,7.15448003825035067e-02
3.00000000000000000e+02,3.05000000000000000e+02,-3.67869955828488671e+00,6.88309894459274291e-02
3.05000000000000000e+02,3.10000000000000000e+02,-3.59240969740872940e+00,6.68683807627191290e-02
3.10000000000000000e+02,3.15000000000000000e+02,-3.38019565628135554e+00,6.44418008198749670e-02
3.15000000000000000e+02,3.20000000000000000e+02,-3.43518598674980691e+00,6.48488910289195392e-02
3.20000000000000000e+02,3.25000000000000000e+02,-3.28448001773599074e+00,6.19169667192464926e-02
3.25000000000000000e+02,3.30000000000000000e+02,-3.08585853316928027e+00,5.86785132969009776e-02
3.30000000000000000e+02,3.35000000000000000e+02,-2.84708043516490195e+00,5.54019507882111337e-02
3.35000000000000000e+02,3.40000000000000000e+02,-2.87135265132784889e+00,5.55357754270606463e-02
3.40000000000000000e+02,3.45000000000000000e+02,-2.57433242029017340e+00,5.10388109993602235e-02
3.45000000000000000e+02,3.50000000000000000e+02,-2.62311021298385194e+00,5.06595632277918526e-02
3.50000000000000000e+02,3.55000000000000000e+02,-2.37660643008566064e+00,4.73232157474909945e-02
3.55000000000000000e+02,3.60000000000000000e+02,-2.44446202349109809e+00,4.80029935561221421e-02
3.60000000000000000e+02,3.65000000000000000e+02,-2.25519207186999626e+00,4.44546053732609442e-02
3.65000000000000000e+02,3.70000000000000000e+02,-2.08396044084701559e+00,4.16383203667446966e-02
3.70000000000000000e+02,3.75000000000000000e+02,-1.99716546662432726e+00,4.01809207719756936e-02
3.75000000000000000e+02,3.80000000000000000e+02,-1.94760602457517074e+00,3.95642821489450500e-02
3.80000000000000000e+02,3.85000000000000000e+02,-1.82437380632520774e+00,3.74114261419409358e-02
3.85000000000000000e+02,3.90000000000000000e+02,-1.74602265527711475e+00,3.56402226937337779e-02
3.90000000000000000e+02,3.95000000000000000e+02,-1.64110586483090648e+00,3.35521673871981008e-02
3.95000000000000000e+02,4.00000000000000000e+02,-1.60078055301313738e+00,3.27712407115134663e-02
4.00000000000000000e+02,4.05000000000000000e+02,-1.49707955335667631e+00,3.09029286747286996e-02
4.05000000000000000e+02,4.10000000000000000e+02,-1.44941551386001888e+00,2.97204029827388763e-02
4.10000000000000000e+02,4.15000000000000000e+02,-1.37294577765796189e+00,2.84664181990545474e-02
4.15000000000000000e+02,4.20000000000000000e+02,-1.31702476281276759e+00,2.68966968157024269e-02
4.20000000000000000e+02,4.25000000000000000e+02,-1.19899182060587783e+00,2.50216109360774583e-02
4.25000000000000000e+02,4.30000000000000000e+02,-1.16093621758604182e+00,2.45742532739688935e-02
4.30000000000000000e+02,4.35000000000000000e+02,-1.06664877337865449e+00,2.28453964694314629e-02
4.35000000000000000e+02,4.40000000000000000e+02,-1.09785615422575566e+00,2.30231523167469081e-02
4.40000000000000000e+02,4.45000000000000000e+02,-9.98276425529227018e-01,2.11927324033613015e-02
4.45000000000000000e+02,4.50000000000000000e+02,-9.62113490021669238e-01,2.02822548555824309e-02
4.50000000000000000e+02,4.55000000000000000e+02,-8.80540869369767609e-01,1.90553225166748691e-02
4.55000000000000000e+02,4.60000000000000000e+02,-8.39144658678744437e-01,1.82512638087970885e-02
4.60000000000000000e+02,4.65000000000000000e+02,-7.89101837994784949e-01,1.70540531159361144e-02
4.65000000000000000e+02,4.70000000000000000e+02,-7.66643428667854732e-01,1.64959258039403568e-02
4.70000000000000000e+02,4.75000000000000000e+02,-7.39038660996784391e-01,1.59272105689160712e-02
4.75000000000000000e+02,4.80000000000000000e+02,-7.13862366865412823e-01,1.54494778415114643e-02
4.80000000000000000e+02,4.85000000000000000e+02,-6.87733360767329382e-01,1.48613311815511302e-02
4.85000000000000000e+02,4.90000000000000000e+02,-6.34853384800019960e-01,1.39626713582344641e-02
4.90000000000000000e+02,4.95000000000000000e+02,-6.03728520002818070e-01,1.32235064001924810e-02
4.95000000000000000e+02,5.00000000000000000e+02,-5.82693942070337867e-01,1.27252998586894171e-02
