bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.10000000000000009e+00,-3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.00000000000000000e+00,-2.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.89999999999999991e+00,-2.79999999999999982e+00,-3.82991299284393207e+01,3.82991299284393207e+01
-2.79999999999999982e+00,-2.69999999999999973e+00,-2.91785209718650318e+00,2.91785209718650318e+00
-2.69999999999999973e+00,-2.59999999999999964e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.60000000000000009e+00,-2.50000000000000000e+00,-2.53167455664944100e+02,2.53167455664944100e+02
-2.50000000000000000e+00,-2.39999999999999991e+00,3.19393226925078761e+03,3.19393226925078761e+03
-2.39999999999999991e+00,-2.29999999999999982e+00,3.33828562371411834e+01,3.33828562371411905e+01
-2.29999999999999982e+00,-2.19999999999999973e+00,-4.84375869013500221e+02,3.54212282157647337e+02
-2.19999999999999973e+00,-2.09999999999999964e+00,1.55474728633383251e+02,1.67767930662153873e+02
-2.10000000000000009e+00,-2.00000000000000000e+00,1.11400335476375085e+03,1.14430226249652992e+03
-2.00000000000000000e+00,-1.89999999999999991e+00,9.19560398031912337e+03,8.97146710372404232e+03
-1.89999999999999991e+00,-1.79999999999999982e+00,2.18046306823431996e+03,2.13854240675964456e+03
-1.79999999999999982e+00,-1.69999999999999973e+00,7.98151485601808417e+02,5.22125980677884627e+02
-1.69999999999999996e+00,-1.59999999999999987e+00,1.73857333907681314e+04,1.72368080109455041e+04
-1.59999999999999987e+00,-1.49999999999999978e+00,2.96209964382432663e+04,2.96243778954970330e+04
-1.49999999999999978e+00,-1.39999999999999969e+00,3.21995924713043351e+01,2.32562022711053551e+01
-1.39999999999999991e+00,-1.29999999999999982e+00,4.44442467792417392e+03,2.93857819459365692e+03
-1.29999999999999982e+00,-1.19999999999999973e+00,1.00921936695148324e+04,8.80434646911784694e+03
-1.19999999999999973e+00,-1.09999999999999964e+00,1.68468124499680044e+02,1.24919790439726413e+02
-1.09999999999999987e+00,-9.99999999999999889e-01,3.73658694711957864e+01,3.52261252516015304e+01
-9.99999999999999778e-01,-8.99999999999999800e-01,2.92075551648162364e+04,2.91985341663046675e+04
-8.99999999999999800e-01,-7.99999999999999822e-01,1.12202462763516058e+05,6.49793342610066247e+04
-7.99999999999999822e-01,-6.99999999999999845e-01,5.47740794020656722e+02,2.88417338608144803e+02
-6.99999999999999845e-01,-5.99999999999999867e-01,6.09944358764856679e+03,6.05335741565547323e+03
-5.99999999999999867e-01,-4.99999999999999889e-01,4.94242296237682331e+03,3.62369988812380006e+03
-4.99999999999999778e-01,-3.99999999999999800e-01,6.79074820218383775e+03,5.55870613539686383e+03
-3.99999999999999800e-01,-2.99999999999999822e-01,3.54095585576574535e+02,3.06265824418349041e+02
-2.99999999999999822e-01,-1.99999999999999817e-01,4.53722499460010295e+03,3.29464660552038549e+03
-1.99999999999999789e-01,-9.99999999999997835e-02,1.00052730485414784e+02,7.37948617756953098e+01
-9.99999999999997835e-02,2.22044604925031308e-16,5.72194026141803170e+03,4.62322419623052974e+03
2.22044604925031308e-16,1.00000000000000228e-01,1.38838578751101759e+04,1.29157733801190516e+04
1.00000000000000228e-01,2.00000000000000233e-01,2.30441546465197717e+02,1.73758611445015788e+02
2.00000000000000233e-01,3.00000000000000266e-01,1.03708067466487955e+04,9.29698235935948833e+03
3.00000000000000266e-01,4.00000000000000244e-01,1.55405092346393867e+04,1.11133859723941496e+04
4.00000000000000244e-01,5.00000000000000222e-01,5.14185873704470869e+05,5.11720817235990718e+05
5.00000000000000222e-01,6.00000000000000200e-01,7.91964682789607650e+03,6.53538895323758697e+03
6.00000000000000311e-01,7.00000000000000289e-01,2.75061087934078932e+03,2.00954690081961462e+03
7.00000000000000289e-01,8.00000000000000266e-01,4.90106217542001957e+02,4.90551566928861121e+02
8.00000000000000266e-01,9.00000000000000244e-01,2.13156526194347935e+04,1.69827955238867107e+04
9.00000000000000244e-01,1.00000000000000022e+00,6.98482101057981490e+04,4.77353001211612354e+04
1.00000000000000022e+00,1.10000000000000031e+00,4.08237291718552660e+03,4.06085234529489480e+03
1.10000000000000031e+00,1.20000000000000040e+00,2.31298069260324883e+04,2.00334335997357375e+04
1.20000000000000018e+00,1.30000000000000027e+00,4.89206221074631230e+03,4.86754894895757116e+03
1.30000000000000027e+00,1.40000000000000036e+00,3.00437346125831209e+03,2.94358151644041163e+03
1.40000000000000036e+00,1.50000000000000044e+00,4.29250765054420117e+04,2.46777613216473437e+04
1.50000000000000022e+00,1.60000000000000031e+00,2.02751900845741329e+04,1.90615964728023246e+04
1.60000000000000031e+00,1.70000000000000040e+00,6.66242094669033395e+03,6.62959987518706203e+03
1.70000000000000040e+00,1.80000000000000049e+00,-1.05897779649172175e+00,8.44115815084744203e-01
1.80000000000000027e+00,1.90000000000000036e+00,1.20155712831896635e+04,1.02761544974258286e+04
1.90000000000000036e+00,2.00000000000000044e+00,1.03430894540776578e+02,7.28681927049359928e+01
2.00000000000000044e+00,2.10000000000000053e+00,9.78852368687512899e+03,9.79111391295542307e+03
2.10000000000000053e+00,2.20000000000000062e+00,1.07484901844189995e+00,1.07484901844189995e+00
2.20000000000000018e+00,2.30000000000000027e+00,8.78606295804704035e-02,8.78606295804704035e-02
2.30000000000000027e+00,2.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.40000000000000036e+00,2.50000000000000044e+00,1.94482805178760600e+03,1.94482805178760623e+03
2.50000000000000044e+00,2.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.60000000000000053e+00,2.70000000000000062e+00,4.20657100171684419e+02,4.20657100171684419e+02
2.70000000000000018e+00,2.80000000000000027e+00,-3.12676910692994282e-04,3.12676910692994282e-04
2.80000000000000027e+00,2.90000000000000036e+00,1.36564122824466136e-04,1.36564122824466108e-04
2.90000000000000036e+00,3.00000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.00000000000000044e+00,3.10000000000000053e+00,-6.22603424942106116e+01,6.22603424942106045e+01
3.10000000000000053e+00,3.20000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
