bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.10000000000000009e+00,-3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.00000000000000000e+00,-2.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.89999999999999991e+00,-2.79999999999999982e+00,8.15021106253018814e+01,8.15021106253018814e+01
-2.79999999999999982e+00,-2.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.69999999999999973e+00,-2.59999999999999964e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.60000000000000009e+00,-2.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.50000000000000000e+00,-2.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.39999999999999991e+00,-2.29999999999999982e+00,9.32715431080593362e+02,9.32715431080593362e+02
-2.29999999999999982e+00,-2.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.19999999999999973e+00,-2.09999999999999964e+00,-1.16399900453243461e+01,1.16399900453243461e+01
-2.10000000000000009e+00,-2.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.00000000000000000e+00,-1.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.89999999999999991e+00,-1.79999999999999982e+00,1.42170546355634065e+03,1.42170546355634042e+03
-1.79999999999999982e+00,-1.69999999999999973e+00,1.36373218799502069e+03,1.36373218799502047e+03
-1.69999999999999996e+00,-1.59999999999999987e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.59999999999999987e+00,-1.49999999999999978e+00,1.25285894080278877e+03,1.22727190386658958e+03
-1.49999999999999978e+00,-1.39999999999999969e+00,5.75644285215782947e+04,5.75644285215782947e+04
-1.39999999999999991e+00,-1.29999999999999982e+00,5.55177165666581232e+02,4.65947721668254133e+02
-1.29999999999999982e+00,-1.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.19999999999999973e+00,-1.09999999999999964e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.09999999999999987e+00,-9.99999999999999889e-01,0.00000000000000000e+00,0.00000000000000000e+00
-9.99999999999999778e-01,-8.99999999999999800e-01,1.44950292017808883e+05,1.44950323659819609e+05
-8.99999999999999800e-01,-7.99999999999999822e-01,3.45392338914448032e+02,3.44334712452794918e+02
-7.99999999999999822e-01,-6.99999999999999845e-01,5.08007266291766136e+04,5.08007266291766136e+04
-6.99999999999999845e-01,-5.99999999999999867e-01,1.76808341439567557e+04,1.37302469791796339e+04
-5.99999999999999867e-01,-4.99999999999999889e-01,2.10734654558719049e+05,2.10536495952490252e+05
-4.99999999999999778e-01,-3.99999999999999800e-01,4.92394333327253025e+03,4.63911991738998586e+03
-3.99999999999999800e-01,-2.99999999999999822e-01,1.73410771418700119e+03,1.69463260859377533e+03
-2.99999999999999822e-01,-1.99999999999999817e-01,3.83588476691022370e+04,3.83588097326211282e+04
-1.99999999999999789e-01,-9.99999999999997835e-02,6.52317526890187582e+04,6.52317536379814264e+04
-9.99999999999997835e-02,2.22044604925031308e-16,2.33973394828566816e+04,2.33973406399916566e+04
2.22044604925031308e-16,1.00000000000000228e-01,1.75245702527305868e+05,1.75245661494278669e+05
1.00000000000000228e-01,2.00000000000000233e-01,1.06080612502182902e+02,1.06066720662934586e+02
2.00000000000000233e-01,3.00000000000000266e-01,1.76667439656038914e+04,1.75354933413670988e+04
3.00000000000000266e-01,4.00000000000000244e-01,-1.27865869370012673e-02,1.09554920479895245e-02
4.00000000000000244e-01,5.00000000000000222e-01,3.84902714147991654e-01,3.90131515246905980e-01
5.00000000000000222e-01,6.00000000000000200e-01,2.05866091147364132e+04,2.02561637879718037e+04
6.00000000000000311e-01,7.00000000000000289e-01,-6.64624376077136737e-03,6.64624376077136737e-03
7.00000000000000289e-01,8.00000000000000266e-01,9.34358782672989996e+00,9.34426313803790798e+00
8.00000000000000266e-01,9.00000000000000244e-01,1.29231193143538374e+05,1.29188470726957501e+05
9.00000000000000244e-01,1.00000000000000022e+00,3.17735493727378693e-01,3.22308411971651942e-01
1.00000000000000022e+00,1.10000000000000031e+00,0.00000000000000000e+00,0.00000000000000000e+00
1.10000000000000031e+00,1.20000000000000040e+00,0.00000000000000000e+00,0.00000000000000000e+00
1.20000000000000018e+00,1.30000000000000027e+00,5.32527314002042203e+03,5.25517253902367247e+03
1.30000000000000027e+00,1.40000000000000036e+00,3.83569887610498845e+04,3.83569887610498845e+04
1.40000000000000036e+00,1.50000000000000044e+00,-4.51847774814122180e-02,4.51847774814122180e-02
1.50000000000000022e+00,1.60000000000000031e+00,1.22807830530755922e+02,1.22807830530755922e+02
1.60000000000000031e+00,1.70000000000000040e+00,2.60196693753759655e+03,2.58346732658242490e+03
1.70000000000000040e+00,1.80000000000000049e+00,9.41206071985135932e+04,6.61048362302020250e+04
1.80000000000000027e+00,1.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
1.90000000000000036e+00,2.00000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.00000000000000044e+00,2.10000000000000053e+00,1.08344945792091994e+03,1.08344945792091994e+03
2.10000000000000053e+00,2.20000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.20000000000000018e+00,2.30000000000000027e+00,1.51622909931647100e+04,1.46385295907253476e+04
2.30000000000000027e+00,2.40000000000000036e+00,4.79494847065550402e+01,5.78377333570876004e+01
2.40000000000000036e+00,2.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.50000000000000044e+00,2.60000000000000053e+00,4.61418647699813027e+03,4.61418647699813027e+03
2.60000000000000053e+00,2.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.70000000000000018e+00,2.80000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.80000000000000027e+00,2.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.90000000000000036e+00,3.00000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.00000000000000044e+00,3.10000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.10000000000000053e+00,3.20000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
