bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-1.12550256014623464e-18,7.02633647441776645e-19
-3.10000000000000009e+00,-3.00000000000000000e+00,7.68843401836062602e-13,5.43166586914461388e-13
-3.00000000000000000e+00,-2.89999999999999991e+00,-5.61277782269734526e+00,5.61277781861533143e+00
-2.89999999999999991e+00,-2.79999999999999982e+00,4.32184217883130799e+01,9.00523049570755205e+01
-2.79999999999999982e+00,-2.69999999999999973e+00,-2.91785243168135233e+00,2.91785209718651783e+00
-2.69999999999999973e+00,-2.59999999999999964e+00,-2.15558220607890441e+01,2.15558276286462451e+01
-2.60000000000000009e+00,-2.50000000000000000e+00,-2.41280698316644958e+02,2.53446355295881801e+02
-2.50000000000000000e+00,-2.39999999999999991e+00,3.19393218102480887e+03,3.19393226925078898e+03
-2.39999999999999991e+00,-2.29999999999999982e+00,8.39166380846935567e+02,9.41904638283548024e+02
-2.29999999999999982e+00,-2.19999999999999973e+00,-6.93089606697973863e+02,3.92244669875763520e+02
-2.19999999999999973e+00,-2.09999999999999964e+00,1.43854835158765525e+02,1.68171247691255132e+02
-2.10000000000000009e+00,-2.00000000000000000e+00,8.93644282902192003e+02,1.46070333703381243e+03
-2.00000000000000000e+00,-1.89999999999999991e+00,5.35377629739178883e+03,9.40621274262098632e+03
-1.89999999999999991e+00,-1.79999999999999982e+00,-9.19911992630846726e+02,4.19284847992234245e+03
-1.79999999999999982e+00,-1.69999999999999973e+00,2.10596928623251461e+03,1.46132563663926317e+03
-1.69999999999999996e+00,-1.59999999999999987e+00,1.54714073542336992e+04,1.73016931810223832e+04
-1.59999999999999987e+00,-1.49999999999999978e+00,2.76102252097861601e+04,2.97253476004920631e+04
-1.49999999999999978e+00,-1.39999999999999969e+00,5.61429173209164292e+04,5.75825762226062943e+04
-1.39999999999999991e+00,-1.29999999999999982e+00,4.69760395741623324e+03,2.98039253119285195e+03
-1.29999999999999982e+00,-1.19999999999999973e+00,9.09240427353464293e+03,8.84487655660516066e+03
-1.19999999999999973e+00,-1.09999999999999964e+00,6.74386858855141611e+01,1.30917841586148512e+02
-1.09999999999999987e+00,-9.99999999999999889e-01,-3.81370748611435965e+03,2.53127997708283010e+03
-9.99999999999999778e-01,-8.99999999999999800e-01,1.60372969365969504e+05,1.48201780141288385e+05
-8.99999999999999800e-01,-7.99999999999999822e-01,1.06118703031810655e+05,6.50700052504510022e+04
-7.99999999999999822e-01,-6.99999999999999845e-01,4.49497106596857266e+04,5.09990223556133205e+04
-6.99999999999999845e-01,-5.99999999999999867e-01,2.08775666417080320e+04,1.50367008570442958e+04
-5.99999999999999867e-01,-4.99999999999999889e-01,1.97318172186639102e+05,2.10844826524705655e+05
-4.99999999999999778e-01,-3.99999999999999800e-01,6.14492047394638939e+03,7.53670431046376507e+03
-3.99999999999999800e-01,-2.99999999999999822e-01,-1.98454029076256338e+04,1.28527744006961930e+04
-2.99999999999999822e-01,-1.99999999999999817e-01,2.58238055541437134e+04,3.92089394470407424e+04
-1.99999999999999789e-01,-9.99999999999997835e-02,5.96008062938463845e+04,6.52325818231477679e+04
-9.99999999999997835e-02,2.22044604925031308e-16,3.03304219088788523e+04,2.38781710011612595e+04
2.22044604925031308e-16,1.00000000000000228e-01,1.89916878415342566e+05,1.75726071381692542e+05
1.00000000000000228e-01,2.00000000000000233e-01,-1.45560644774385710e+04,5.59576165837150438e+03
2.00000000000000233e-01,3.00000000000000266e-01,1.86879874922062991e+04,1.99294062234653393e+04
3.00000000000000266e-01,4.00000000000000244e-01,8.42660414102767027e+03,1.11585817986261009e+04
4.00000000000000244e-01,5.00000000000000222e-01,5.08656987353798992e+05,5.11721319853090914e+05
5.00000000000000222e-01,6.00000000000000200e-01,1.57149375366886361e+04,2.33398400959748433e+04
6.00000000000000311e-01,7.00000000000000289e-01,-1.77152071836508694e+04,1.33403740842187999e+04
7.00000000000000289e-01,8.00000000000000266e-01,-4.49891884262034728e+03,3.40053106903213620e+03
8.00000000000000266e-01,9.00000000000000244e-01,1.43437101026525575e+05,1.30355429121755209e+05
9.00000000000000244e-01,1.00000000000000022e+00,6.90386961559563642e+04,4.77354411414039932e+04
1.00000000000000022e+00,1.10000000000000031e+00,-1.14110653113737098e+04,1.01017412808068948e+04
1.10000000000000031e+00,1.20000000000000040e+00,2.02840632296636759e+04,2.01933900847089899e+04
1.20000000000000018e+00,1.30000000000000027e+00,6.10556071900024835e+03,7.56333896307096529e+03
1.30000000000000027e+00,1.40000000000000036e+00,4.12762159823749244e+04,3.84697764962551810e+04
1.40000000000000036e+00,1.50000000000000044e+00,4.16697854814506209e+04,2.47064785178864731e+04
1.50000000000000022e+00,1.60000000000000031e+00,2.05197909060268212e+04,1.90670064259908686e+04
1.60000000000000031e+00,1.70000000000000040e+00,9.25202923063490744e+03,7.11519265886974881e+03
1.70000000000000040e+00,1.80000000000000049e+00,9.15238888759512483e+04,6.61533978704464098e+04
1.80000000000000027e+00,1.90000000000000036e+00,1.11632915564124651e+04,1.03112446632364008e+04
1.90000000000000036e+00,2.00000000000000044e+00,1.09628638000149607e+02,7.34625674921006748e+01
2.00000000000000044e+00,2.10000000000000053e+00,8.92116427427869530e+03,9.93380401161210466e+03
2.10000000000000053e+00,2.20000000000000062e+00,-2.18168420645891047e+02,1.66772347483612094e+02
2.20000000000000018e+00,2.30000000000000027e+00,1.49661806440396394e+04,1.46398439667269540e+04
2.30000000000000027e+00,2.40000000000000036e+00,-1.17944902922796700e+02,1.75668282779169942e+02
2.40000000000000036e+00,2.50000000000000044e+00,1.94482737634097930e+03,1.94482805178771605e+03
2.50000000000000044e+00,2.60000000000000053e+00,4.61418607015745056e+03,4.61418647699813755e+03
2.60000000000000053e+00,2.70000000000000062e+00,4.20659052711634558e+02,4.20657100175938126e+02
2.70000000000000018e+00,2.80000000000000027e+00,-3.04110244304716391e-04,3.12753538618231212e-04
2.80000000000000027e+00,2.90000000000000036e+00,-6.98168690698667849e+00,6.98182348808607234e+00
2.90000000000000036e+00,3.00000000000000044e+00,1.79219548737030301e-07,1.04893355512728924e-07
3.00000000000000044e+00,3.10000000000000053e+00,-6.22603424943182944e+01,6.22603424942106045e+01
3.10000000000000053e+00,3.20000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
