bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.10000000000000009e+00,-3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.00000000000000000e+00,-2.89999999999999991e+00,-5.61277781861533143e+00,5.61277781861533143e+00
-2.89999999999999991e+00,-2.79999999999999982e+00,1.54411044498025517e-02,1.54411044498025517e-02
-2.79999999999999982e+00,-2.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.69999999999999973e+00,-2.59999999999999964e+00,-2.15558276286457513e+01,2.15558276286457513e+01
-2.60000000000000009e+00,-2.50000000000000000e+00,1.18867323055874703e+01,1.18867323055874703e+01
-2.50000000000000000e+00,-2.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.39999999999999991e+00,-2.29999999999999982e+00,-1.26932490533628638e+02,1.26932490533628652e+02
-2.29999999999999982e+00,-2.19999999999999973e+00,-2.08714301312861238e+02,1.68491958900184301e+02
-2.19999999999999973e+00,-2.09999999999999964e+00,1.94250478061293412e-02,1.94250478061293412e-02
-2.10000000000000009e+00,-2.00000000000000000e+00,-2.20317487162185557e+02,9.07869246673078919e+02
-2.00000000000000000e+00,-1.89999999999999991e+00,-3.84184579883745982e+03,2.82659090884761054e+03
-1.89999999999999991e+00,-1.79999999999999982e+00,-4.52213507988681886e+03,3.31441823990457351e+03
-1.79999999999999982e+00,-1.69999999999999973e+00,-5.56016602787832213e+01,5.56016602787832213e+01
-1.69999999999999996e+00,-1.59999999999999987e+00,-1.91370198539950411e+03,1.49700881576576467e+03
-1.59999999999999987e+00,-1.49999999999999978e+00,-3.26290615592867971e+03,2.11809448507940897e+03
-1.49999999999999978e+00,-1.39999999999999969e+00,-1.44537139336494079e+03,1.44537139336494079e+03
-1.39999999999999991e+00,-1.29999999999999982e+00,-2.82459246682212779e+02,1.74019864964459970e+02
-1.29999999999999982e+00,-1.19999999999999973e+00,-9.70330368374196496e+02,8.45713340372315884e+02
-1.19999999999999973e+00,-1.09999999999999964e+00,-3.84395702934083232e+01,3.03478353204156939e+01
-1.09999999999999987e+00,-9.99999999999999889e-01,-3.72103216230560429e+03,2.53089489481329838e+03
-9.99999999999999778e-01,-8.99999999999999800e-01,-1.36646133178784148e+04,1.00307433726184172e+04
-8.99999999999999800e-01,-7.99999999999999822e-01,-6.03680736978206915e+03,3.41613542957007667e+03
-7.99999999999999822e-01,-6.99999999999999845e-01,-5.65875913769473573e+03,4.48218338498405683e+03
-6.99999999999999845e-01,-5.99999999999999867e-01,-1.74641782789850981e+03,9.58255360783616993e+02
-5.99999999999999867e-01,-4.99999999999999889e-01,-1.65510124368009674e+04,1.08056419931863602e+04
-4.99999999999999778e-01,-3.99999999999999800e-01,-2.92410731352374933e+03,2.08121772941860445e+03
-3.99999999999999800e-01,-2.99999999999999822e-01,-1.79726961391579134e+04,1.27338902193452268e+04
-2.99999999999999822e-01,-1.99999999999999817e-01,-1.17857045729770452e+04,7.41609799240700340e+03
-1.99999999999999789e-01,-9.99999999999997835e-02,-1.28268545483466227e+02,1.25669344593371193e+02
-9.99999999999997835e-02,2.22044604925031308e-16,-1.72104504656172026e+03,1.07436319179839211e+03
2.22044604925031308e-16,1.00000000000000228e-01,-1.24708745455776466e+03,1.24468416655847182e+03
1.00000000000000228e-01,2.00000000000000233e-01,-6.32489591895869125e+03,5.57615718384915544e+03
2.00000000000000233e-01,3.00000000000000266e-01,-1.76929833415262624e+03,1.75397338651704558e+03
3.00000000000000266e-01,4.00000000000000244e-01,-1.34320392041649302e+03,9.40378344667016677e+02
4.00000000000000244e-01,5.00000000000000222e-01,-9.46978633795538826e+02,6.45401068050947515e+02
5.00000000000000222e-01,6.00000000000000200e-01,-9.63365555835132000e+03,9.57366436356633494e+03
6.00000000000000311e-01,7.00000000000000289e-01,-1.82818782813472353e+04,1.31861575889663309e+04
7.00000000000000289e-01,8.00000000000000266e-01,-3.41403559880000421e+03,3.36094813620017067e+03
8.00000000000000266e-01,9.00000000000000244e-01,-6.21762103391963956e+03,3.80103000089824673e+03
9.00000000000000244e-01,1.00000000000000022e+00,-3.58701762964743196e+01,2.69829668101711881e+01
1.00000000000000022e+00,1.10000000000000031e+00,-1.50041805993855924e+04,9.24929394739582858e+03
1.10000000000000031e+00,1.20000000000000040e+00,-2.59259992591932405e+03,2.53611517909012446e+03
1.20000000000000018e+00,1.30000000000000027e+00,-3.94545277130615068e+03,2.42762159013008204e+03
1.30000000000000027e+00,1.40000000000000036e+00,-1.63248244337287418e+00,1.64582465774800513e+00
1.40000000000000036e+00,1.50000000000000044e+00,-1.20485412493011154e+03,1.19077807688131043e+03
1.50000000000000022e+00,1.60000000000000031e+00,1.45840249516453554e+02,4.37176130113913871e+02
1.60000000000000031e+00,1.70000000000000040e+00,1.63651168440713457e+00,6.43072919433342527e+00
1.70000000000000040e+00,1.80000000000000049e+00,-2.59028394099455863e+03,2.53429918942233644e+03
1.80000000000000027e+00,1.90000000000000036e+00,-8.49881624861847627e+02,8.49949444801073582e+02
1.90000000000000036e+00,2.00000000000000044e+00,9.23725824709078225e+00,9.23725824709078225e+00
2.00000000000000044e+00,2.10000000000000053e+00,-1.95030891881804155e+03,1.28089333497369557e+03
2.10000000000000053e+00,2.20000000000000062e+00,-2.19279884623087696e+02,1.66768872961478877e+02
2.20000000000000018e+00,2.30000000000000027e+00,-1.96170291514507369e+02,1.96170291514507340e+02
2.30000000000000027e+00,2.40000000000000036e+00,-1.65873873821729433e+02,1.65873873821729404e+02
2.40000000000000036e+00,2.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.50000000000000044e+00,2.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.60000000000000053e+00,2.70000000000000062e+00,1.89069835181136510e-03,1.89069835181136510e-03
2.70000000000000018e+00,2.80000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
2.80000000000000027e+00,2.90000000000000036e+00,-6.98182348675047670e+00,6.98182348675047670e+00
2.90000000000000036e+00,3.00000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.00000000000000044e+00,3.10000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.10000000000000053e+00,3.20000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
