bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-3.44635984132407201e-03,5.54113741201591164e-04
-3.10000000000000009e+00,-3.00000000000000000e+00,-7.45352634770899636e-01,3.65357026210828412e-02
-3.00000000000000000e+00,-2.89999999999999991e+00,-4.87739925526742990e+00,2.21448272448442840e-01
-2.89999999999999991e+00,-2.79999999999999982e+00,-1.50457984781425100e+01,6.19097467484958419e-01
-2.79999999999999982e+00,-2.69999999999999973e+00,-2.87347539560472498e+01,1.00062169057243322e+00
-2.69999999999999973e+00,-2.59999999999999964e+00,-2.90557222983840582e+01,1.36219080081562693e+00
-2.60000000000000009e+00,-2.50000000000000000e+00,1.74282138430589804e+01,3.10690550259718989e+00
-2.50000000000000000e+00,-2.39999999999999991e+00,1.32985963084706839e+02,6.67899825042482487e+00
-2.39999999999999991e+00,-2.29999999999999982e+00,3.83543020036625705e+02,1.45442549792802467e+01
-2.29999999999999982e+00,-2.19999999999999973e+00,8.05640692292940457e+02,2.70472946745582803e+01
-2.19999999999999973e+00,-2.09999999999999964e+00,1.46289323557786156e+03,4.51209948824120701e+01
-2.10000000000000009e+00,-2.00000000000000000e+00,2.12954338615810593e+03,6.42578673577347956e+01
-2.00000000000000000e+00,-1.89999999999999991e+00,3.03269359725901904e+03,8.45372115080727440e+01
-1.89999999999999991e+00,-1.79999999999999982e+00,4.09928956727178866e+03,1.09287851843483622e+02
-1.79999999999999982e+00,-1.69999999999999973e+00,5.49520221002973540e+03,1.50697377183130413e+02
-1.69999999999999996e+00,-1.59999999999999987e+00,6.99809071375345320e+03,1.88826460124297625e+02
-1.59999999999999987e+00,-1.49999999999999978e+00,9.20191888180476781e+03,2.41790716965097630e+02
-1.49999999999999978e+00,-1.39999999999999969e+00,1.14041179671905065e+04,2.88764661785382657e+02
-1.39999999999999991e+00,-1.29999999999999982e+00,1.35860743021154121e+04,3.51705594528277629e+02
-1.29999999999999982e+00,-1.19999999999999973e+00,1.54323420112089607e+04,4.12370077897420970e+02
-1.19999999999999973e+00,-1.09999999999999964e+00,1.83151766443132583e+04,4.73529777755672171e+02
-1.09999999999999987e+00,-9.99999999999999889e-01,2.03384084461894381e+04,5.21713016415891047e+02
-9.99999999999999778e-01,-8.99999999999999800e-01,2.21235115162094662e+04,5.54374478235264291e+02
-8.99999999999999800e-01,-7.99999999999999822e-01,2.47527061000995673e+04,6.05779910368106584e+02
-7.99999999999999822e-01,-6.99999999999999845e-01,2.70204966073275718e+04,6.29446125422363934e+02
-6.99999999999999845e-01,-5.99999999999999867e-01,2.94867331319730947e+04,7.30264436606668141e+02
-5.99999999999999867e-01,-4.99999999999999889e-01,3.09349301597676276e+04,7.26279549138661309e+02
-4.99999999999999778e-01,-3.99999999999999800e-01,3.21738087173066706e+04,7.82991354310557540e+02
-3.99999999999999800e-01,-2.99999999999999822e-01,3.50706811571750441e+04,8.38673280351723179e+02
-2.99999999999999822e-01,-1.99999999999999817e-01,3.51888508613789672e+04,8.58291307313104426e+02
-1.99999999999999789e-01,-9.99999999999997835e-02,3.80506015376103314e+04,9.69329149018046678e+02
-9.99999999999997835e-02,2.22044604925031308e-16,3.75078576424596977e+04,9.25306439762476316e+02
2.22044604925031308e-16,1.00000000000000228e-01,3.74740646624481815e+04,9.11828510018493489e+02
1.00000000000000228e-01,2.00000000000000233e-01,3.56376911065839668e+04,8.34427978028958819e+02
2.00000000000000233e-01,3.00000000000000266e-01,3.71643403656558294e+04,9.12489062753162671e+02
3.00000000000000266e-01,4.00000000000000244e-01,3.61678767151280190e+04,8.77783352678477627e+02
4.00000000000000244e-01,5.00000000000000222e-01,3.55314404517134026e+04,8.44919399300094483e+02
5.00000000000000222e-01,6.00000000000000200e-01,3.40821040425610627e+04,8.33091442374032454e+02
6.00000000000000311e-01,7.00000000000000289e-01,3.04827233561249559e+04,6.70585491507054371e+02
7.00000000000000289e-01,8.00000000000000266e-01,2.92672199195231769e+04,6.61869379235379142e+02
8.00000000000000266e-01,9.00000000000000244e-01,2.81194398393093834e+04,6.49510620620209465e+02
9.00000000000000244e-01,1.00000000000000022e+00,2.48918516239667297e+04,5.74998355641387093e+02
1.00000000000000022e+00,1.10000000000000031e+00,2.34816062088808249e+04,5.27416832684167503e+02
1.10000000000000031e+00,1.20000000000000040e+00,2.08591744962550620e+04,4.47529264777281412e+02
1.20000000000000018e+00,1.30000000000000027e+00,1.84571614697568366e+04,4.02376849132977952e+02
1.30000000000000027e+00,1.40000000000000036e+00,1.59559351129659990e+04,3.37242447554974603e+02
1.40000000000000036e+00,1.50000000000000044e+00,1.41855432008025309e+04,2.98459017103198278e+02
1.50000000000000022e+00,1.60000000000000031e+00,1.19175988297079311e+04,2.29109894410662122e+02
1.60000000000000031e+00,1.70000000000000040e+00,1.02490560077889859e+04,2.01516119285875305e+02
1.70000000000000040e+00,1.80000000000000049e+00,8.33518432359425424e+03,1.62885309445309787e+02
1.80000000000000027e+00,1.90000000000000036e+00,6.56957243172916696e+03,1.30567524593710573e+02
1.90000000000000036e+00,2.00000000000000044e+00,5.16811140041396357e+03,9.63643573181810069e+01
2.00000000000000044e+00,2.10000000000000053e+00,3.88338633695577300e+03,7.48646916320605982e+01
2.10000000000000053e+00,2.20000000000000062e+00,2.75056515593379345e+03,5.31925344485942233e+01
2.20000000000000018e+00,2.30000000000000027e+00,1.83715321365042746e+03,3.72911973430733568e+01
2.30000000000000027e+00,2.40000000000000036e+00,1.14439322383072590e+03,2.49454751531570551e+01
2.40000000000000036e+00,2.50000000000000044e+00,6.38802259960728861e+02,1.60027049895398186e+01
2.50000000000000044e+00,2.60000000000000053e+00,2.98450470929416952e+02,9.43101125272981200e+00
2.60000000000000053e+00,2.70000000000000062e+00,1.26951809180646876e+02,5.45381518321336500e+00
2.70000000000000018e+00,2.80000000000000027e+00,3.90043784514450351e+01,2.55812738293945641e+00
2.80000000000000027e+00,2.90000000000000036e+00,8.20529730890091180e+00,9.82855560253733440e-01
2.90000000000000036e+00,3.00000000000000044e+00,1.37951828020590539e+00,3.05118964309618379e-01
3.00000000000000044e+00,3.10000000000000053e+00,2.61089627695735849e-01,4.57522427476680926e-02
3.10000000000000053e+00,3.20000000000000062e+00,1.25703793990138645e-03,6.99813176892576734e-04
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
