bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-2.28396968327926483e-04,4.77287982112016996e-05
-3.10000000000000009e+00,-3.00000000000000000e+00,7.61347645458635217e-03,3.67327935469316915e-03
-3.00000000000000000e+00,-2.89999999999999991e+00,7.99347764771180969e-01,6.13699716164065948e-02
-2.89999999999999991e+00,-2.79999999999999982e+00,7.48422998003237971e+00,3.71147454186934067e-01
-2.79999999999999982e+00,-2.69999999999999973e+00,3.85167361493199962e+01,1.48143898032025034e+00
-2.69999999999999973e+00,-2.59999999999999964e+00,1.21983110922327199e+02,4.07187004903607352e+00
-2.60000000000000009e+00,-2.50000000000000000e+00,2.91727814077987318e+02,8.98083936863563004e+00
-2.50000000000000000e+00,-2.39999999999999991e+00,6.34786122595859752e+02,1.77244488357789436e+01
-2.39999999999999991e+00,-2.29999999999999982e+00,1.20245741853105687e+03,3.08039518364731215e+01
-2.29999999999999982e+00,-2.19999999999999973e+00,2.03336271530706540e+03,4.84512157160386323e+01
-2.19999999999999973e+00,-2.09999999999999964e+00,3.26536837758014872e+03,7.26823675974973042e+01
-2.10000000000000009e+00,-2.00000000000000000e+00,4.83770115096057634e+03,1.01247532482800679e+02
-2.00000000000000000e+00,-1.89999999999999991e+00,6.74757160104835020e+03,1.35198764839478628e+02
-1.89999999999999991e+00,-1.79999999999999982e+00,9.00452274064215999e+03,1.73323810723082261e+02
-1.79999999999999982e+00,-1.69999999999999973e+00,1.09834840035016077e+04,2.10001130261451067e+02
-1.69999999999999996e+00,-1.59999999999999987e+00,1.40988699063858367e+04,2.58419285271970978e+02
-1.59999999999999987e+00,-1.49999999999999978e+00,1.73742601895206681e+04,3.07718696529382612e+02
-1.49999999999999978e+00,-1.39999999999999969e+00,2.14384685546751280e+04,3.67811926106378337e+02
-1.39999999999999991e+00,-1.29999999999999982e+00,2.38662168509657713e+04,4.12246186918562273e+02
-1.29999999999999982e+00,-1.19999999999999973e+00,2.74731731952815244e+04,4.67055671093058322e+02
-1.19999999999999973e+00,-1.09999999999999964e+00,3.10246704884923893e+04,5.23932595932038566e+02
-1.09999999999999987e+00,-9.99999999999999889e-01,3.70185081570329785e+04,6.05307963383645870e+02
-9.99999999999999778e-01,-8.99999999999999800e-01,3.97790020460428714e+04,6.47754211657411929e+02
-8.99999999999999800e-01,-7.99999999999999822e-01,4.42148844512751602e+04,7.09101144963232855e+02
-7.99999999999999822e-01,-6.99999999999999845e-01,4.68946095577997767e+04,7.56678482224014033e+02
-6.99999999999999845e-01,-5.99999999999999867e-01,5.07190264318340487e+04,8.08377367763747429e+02
-5.99999999999999867e-01,-4.99999999999999889e-01,5.46205220820977775e+04,8.60784783979884651e+02
-4.99999999999999778e-01,-3.99999999999999800e-01,5.58584897166626324e+04,8.82665781189991549e+02
-3.99999999999999800e-01,-2.99999999999999822e-01,5.87200062727745462e+04,9.25678807922280953e+02
-2.99999999999999822e-01,-1.99999999999999817e-01,6.03678335531501434e+04,9.44375940570070838e+02
-1.99999999999999789e-01,-9.99999999999997835e-02,6.16194951540201873e+04,9.67300963503791081e+02
-9.99999999999997835e-02,2.22044604925031308e-16,6.31322375561153822e+04,9.82498551532250303e+02
2.22044604925031308e-16,1.00000000000000228e-01,6.28774389795433672e+04,9.80997985205149121e+02
1.00000000000000228e-01,2.00000000000000233e-01,6.09410294433656309e+04,9.67204900050004539e+02
2.00000000000000233e-01,3.00000000000000266e-01,6.09074650557537607e+04,9.55210659453031553e+02
3.00000000000000266e-01,4.00000000000000244e-01,5.72478563433354648e+04,9.15589577109041102e+02
4.00000000000000244e-01,5.00000000000000222e-01,5.50848767940089238e+04,8.79143416904778519e+02
5.00000000000000222e-01,6.00000000000000200e-01,5.27906984763337387e+04,8.40687398836668308e+02
6.00000000000000311e-01,7.00000000000000289e-01,5.06537124883739743e+04,8.09066716576545218e+02
7.00000000000000289e-01,8.00000000000000266e-01,4.72043913758563504e+04,7.55089838111121821e+02
8.00000000000000266e-01,9.00000000000000244e-01,4.26362647491844109e+04,6.95809226137016481e+02
9.00000000000000244e-01,1.00000000000000022e+00,4.06715761667095067e+04,6.60720564721390474e+02
1.00000000000000022e+00,1.10000000000000031e+00,3.62516136759527872e+04,5.94566001664644205e+02
1.10000000000000031e+00,1.20000000000000040e+00,3.17543695909269554e+04,5.30865520211754756e+02
1.20000000000000018e+00,1.30000000000000027e+00,2.84769169746736225e+04,4.78582880137613586e+02
1.30000000000000027e+00,1.40000000000000036e+00,2.43005838730793439e+04,4.17057126069904143e+02
1.40000000000000036e+00,1.50000000000000044e+00,2.05032193557867868e+04,3.57633489741462711e+02
1.50000000000000022e+00,1.60000000000000031e+00,1.70833186699383768e+04,3.06688601504878250e+02
1.60000000000000031e+00,1.70000000000000040e+00,1.43050471030665794e+04,2.59852807547472594e+02
1.70000000000000040e+00,1.80000000000000049e+00,1.14793712487693101e+04,2.14017029397812195e+02
1.80000000000000027e+00,1.90000000000000036e+00,8.81691599947697432e+03,1.70872704765418916e+02
1.90000000000000036e+00,2.00000000000000044e+00,6.69994649884108549e+03,1.34182668512629988e+02
2.00000000000000044e+00,2.10000000000000053e+00,4.66800993258485141e+03,9.91240984842720252e+01
2.10000000000000053e+00,2.20000000000000062e+00,3.33285730965762014e+03,7.32254342684178141e+01
2.20000000000000018e+00,2.30000000000000027e+00,2.03171006458760030e+03,4.87556315335609867e+01
2.30000000000000027e+00,2.40000000000000036e+00,1.16022653677430958e+03,3.02017878871976144e+01
2.40000000000000036e+00,2.50000000000000044e+00,6.62637586434565719e+02,1.80639114689567712e+01
2.50000000000000044e+00,2.60000000000000053e+00,3.07315738595640710e+02,9.14555911502477947e+00
2.60000000000000053e+00,2.70000000000000062e+00,1.13284892976445974e+02,3.88032271469485357e+00
2.70000000000000018e+00,2.80000000000000027e+00,3.45403204115195592e+01,1.39509205985045681e+00
2.80000000000000027e+00,2.90000000000000036e+00,8.08606838143882989e+00,3.86821557548582884e-01
2.90000000000000036e+00,3.00000000000000044e+00,7.84748378694108961e-01,6.24440729997854035e-02
3.00000000000000044e+00,3.10000000000000053e+00,6.06344061167192385e-03,3.42716502171551895e-03
3.10000000000000053e+00,3.20000000000000062e+00,-2.01864294798628736e-04,4.44181404876555874e-05
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
