bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-2.28396968327926483e-04,4.77287982112016996e-05,-9.76595396199997747e-04,1.58036030207687130e-05
-3.10000000000000009e+00,-3.00000000000000000e+00,7.61347645458635217e-03,3.67327935469316915e-03,-9.29492583441072634e-02,4.08064966678135313e-02
-3.00000000000000000e+00,-2.89999999999999991e+00,7.99347764771180969e-01,6.13699716164065948e-02,4.58492926585548563e-02,9.93360780527900222e-01
-2.89999999999999991e+00,-2.79999999999999982e+00,7.48422998003237971e+00,3.71147454186934067e-01,6.13617727253397316e+00,7.48422998003237971e+00
-2.79999999999999982e+00,-2.69999999999999973e+00,3.85167361493199962e+01,1.48143898032025034e+00,3.31461020766181633e+01,4.31006677947674959e+01
-2.69999999999999973e+00,-2.59999999999999964e+00,1.21983110922327199e+02,4.07187004903607352e+00,9.86799875975407730e+01,1.52056959162547628e+02
-2.60000000000000009e+00,-2.50000000000000000e+00,2.91727814077987318e+02,8.98083936863563004e+00,2.28455571634455225e+02,3.81002139865020638e+02
-2.50000000000000000e+00,-2.39999999999999991e+00,6.34786122595859752e+02,1.77244488357789436e+01,4.87613622364274477e+02,8.49716009464293620e+02
