bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-4.02501256424948623e-03,5.59084590139178467e-04,-8.30027555850145100e-03,-2.02883293021643204e-03
-3.10000000000000009e+00,-3.00000000000000000e+00,-8.09461809192916215e-01,3.68761099685086177e-02,-1.38075019819607858e+00,-4.85461126491463113e-01
-3.00000000000000000e+00,-2.89999999999999991e+00,-4.91014127747907203e+00,2.31477615326239589e-01,-8.97158140384257052e+00,-2.58168032758923438e+00
-2.89999999999999991e+00,-2.79999999999999982e+00,-1.12640234636663124e+01,7.29521853910921281e-01,-2.36235683356505000e+01,-4.12525286269255531e+00
-2.79999999999999982e+00,-2.69999999999999973e+00,-7.33814823105374714e-01,1.81034797747725795e+00,-2.19477194426847468e+01,1.07832453990091768e+01
-2.69999999999999973e+00,-2.59999999999999964e+00,6.78674974715581385e+01,4.34467542063848011e+00,4.81413722321669582e+01,7.48636319535464168e+01
-2.60000000000000009e+00,-2.50000000000000000e+00,2.59803400489786895e+02,9.58482551519066206e+00,2.41548363540310930e+02,2.64480582282782166e+02
