bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-3.50255754597486710e-04,5.70570115234200688e-05
-3.10000000000000009e+00,-3.00000000000000000e+00,-7.17226508773717714e-02,3.39071366761131525e-03
-3.00000000000000000e+00,-2.89999999999999991e+00,-8.32089782900808705e-01,2.78617230358107447e-02
-2.89999999999999991e+00,-2.79999999999999982e+00,-3.70245495255690527e+00,1.05688354788481570e-01
-2.79999999999999982e+00,-2.69999999999999973e+00,-1.05157966818832715e+01,2.85402486848967296e-01
-2.69999999999999973e+00,-2.59999999999999964e+00,-2.50598967202417136e+01,6.63713067985853722e-01
-2.60000000000000009e+00,-2.50000000000000000e+00,-4.93526524739711121e+01,1.24921679028010058e+00
-2.50000000000000000e+00,-2.39999999999999991e+00,-8.88034142139110969e+01,2.09107872877027079e+00
-2.39999999999999991e+00,-2.29999999999999982e+00,-1.54383571965429297e+02,3.27769832041446607e+00
-2.29999999999999982e+00,-2.19999999999999973e+00,-2.49987739380933789e+02,4.68203517817267922e+00
-2.19999999999999973e+00,-2.09999999999999964e+00,-3.55624818660093013e+02,6.10301633201261406e+00
-2.10000000000000009e+00,-2.00000000000000000e+00,-5.03067343930259028e+02,7.99920266546306458e+00
-2.00000000000000000e+00,-1.89999999999999991e+00,-6.77612341063703411e+02,9.83137710557518396e+00
-1.89999999999999991e+00,-1.79999999999999982e+00,-8.64014756540977828e+02,1.18351398486381427e+01
-1.79999999999999982e+00,-1.69999999999999973e+00,-1.10948120928715298e+03,1.42736039365559950e+01
-1.69999999999999996e+00,-1.59999999999999987e+00,-1.34576944980264852e+03,1.67763468055443994e+01
-1.59999999999999987e+00,-1.49999999999999978e+00,-1.63046846956201807e+03,1.96824208077953777e+01
-1.49999999999999978e+00,-1.39999999999999969e+00,-1.90441865118545411e+03,2.29132209877771942e+01
-1.39999999999999991e+00,-1.29999999999999982e+00,-2.21207144508530382e+03,2.62604367337601410e+01
-1.29999999999999982e+00,-1.19999999999999973e+00,-2.52287291702792209e+03,2.95810754714647182e+01
-1.19999999999999973e+00,-1.09999999999999964e+00,-2.82221348497308463e+03,3.36821768919565372e+01
-1.09999999999999987e+00,-9.99999999999999889e-01,-3.22184816209624978e+03,3.71523920085110078e+01
-9.99999999999999778e-01,-8.99999999999999800e-01,-3.58052526063519235e+03,4.21885016792298870e+01
-8.99999999999999800e-01,-7.99999999999999822e-01,-3.76165925690666836e+03,4.53619982888226900e+01
-7.99999999999999822e-01,-6.99999999999999845e-01,-4.16766851282484822e+03,5.04720001225459214e+01
-6.99999999999999845e-01,-5.99999999999999867e-01,-4.29421127122416874e+03,5.28675702860251420e+01
-5.99999999999999867e-01,-4.99999999999999889e-01,-4.60519122326719480e+03,5.64944112656482034e+01
-4.99999999999999778e-01,-3.99999999999999800e-01,-4.77288992177236378e+03,5.88817239305416606e+01
-3.99999999999999800e-01,-2.99999999999999822e-01,-5.01924342232497293e+03,6.17070120467540804e+01
-2.99999999999999822e-01,-1.99999999999999817e-01,-5.05335629391769453e+03,6.27300946467718745e+01
-1.99999999999999789e-01,-9.99999999999997835e-02,-5.21103720287792567e+03,6.58837793565387528e+01
-9.99999999999997835e-02,2.22044604925031308e-16,-5.23119785325727844e+03,6.55460728441116913e+01
2.22044604925031308e-16,1.00000000000000228e-01,-5.12475780443532312e+03,6.45782946645562106e+01
1.00000000000000228e-01,2.00000000000000233e-01,-5.20241920258243772e+03,6.48622682575696530e+01
2.00000000000000233e-01,3.00000000000000266e-01,-5.14009936728677803e+03,6.34770042358668150e+01
3.00000000000000266e-01,4.00000000000000244e-01,-5.02777735745217524e+03,6.18559389138554252e+01
4.00000000000000244e-01,5.00000000000000222e-01,-4.70030284050149385e+03,5.85395740005223502e+01
5.00000000000000222e-01,6.00000000000000200e-01,-4.58695203317845881e+03,5.64972291165639362e+01
6.00000000000000311e-01,7.00000000000000289e-01,-4.38199977595589189e+03,5.37257524598277172e+01
7.00000000000000289e-01,8.00000000000000266e-01,-4.10035647813985634e+03,4.95339395373561828e+01
8.00000000000000266e-01,9.00000000000000244e-01,-3.82652107792710922e+03,4.59719035736330071e+01
9.00000000000000244e-01,1.00000000000000022e+00,-3.53444562849048543e+03,4.22430355453492936e+01
1.00000000000000022e+00,1.10000000000000031e+00,-3.17914536142894531e+03,3.74671584645736218e+01
1.10000000000000031e+00,1.20000000000000040e+00,-2.83941481019720322e+03,3.34456068358763972e+01
1.20000000000000018e+00,1.30000000000000027e+00,-2.51115548383137775e+03,2.96015303733978854e+01
1.30000000000000027e+00,1.40000000000000036e+00,-2.21665497330964899e+03,2.60879116881229614e+01
1.40000000000000036e+00,1.50000000000000044e+00,-1.90923703468811959e+03,2.27363651129153332e+01
1.50000000000000022e+00,1.60000000000000031e+00,-1.64364378086263741e+03,1.97639630836166482e+01
1.60000000000000031e+00,1.70000000000000040e+00,-1.35619509915528215e+03,1.66890328601057796e+01
1.70000000000000040e+00,1.80000000000000049e+00,-1.10177278557190311e+03,1.43863277887226051e+01
1.80000000000000027e+00,1.90000000000000036e+00,-8.73659854731663245e+02,1.19500477217920373e+01
1.90000000000000036e+00,2.00000000000000044e+00,-6.70881876140827103e+02,9.85614394029107110e+00
2.00000000000000044e+00,2.10000000000000053e+00,-5.03915662944262806e+02,7.93207716865230861e+00
2.10000000000000053e+00,2.20000000000000062e+00,-3.47223088386893494e+02,6.06177937302601855e+00
2.20000000000000018e+00,2.30000000000000027e+00,-2.45191408827114543e+02,4.63949443826102481e+00
2.30000000000000027e+00,2.40000000000000036e+00,-1.51777440705608228e+02,3.22544312245527820e+00
2.40000000000000036e+00,2.50000000000000044e+00,-9.19873394431794509e+01,2.12631028171436842e+00
2.50000000000000044e+00,2.60000000000000053e+00,-5.16774521565826390e+01,1.27868077830454574e+00
2.60000000000000053e+00,2.70000000000000062e+00,-2.44761166465401274e+01,6.49200025251737700e-01
2.70000000000000018e+00,2.80000000000000027e+00,-1.05730106014326033e+01,2.87524684529779417e-01
2.80000000000000027e+00,2.90000000000000036e+00,-3.87934879185584514e+00,1.08448065897996104e-01
2.90000000000000036e+00,3.00000000000000044e+00,-8.84533613968915389e-01,2.77016289200683920e-02
3.00000000000000044e+00,3.10000000000000053e+00,-7.41251208650740429e-02,3.53658302666636989e-03
3.10000000000000053e+00,3.20000000000000062e+00,-4.25506802272064457e-04,6.57547089210187250e-05
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
