bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-5.62042806004099194e-04,9.52723586265786479e-05
-3.10000000000000009e+00,-3.00000000000000000e+00,-1.04200087224967694e-01,7.88883906092249093e-03
-3.00000000000000000e+00,-2.89999999999999991e+00,-1.40319802252298675e+00,7.64933370544593760e-02
-2.89999999999999991e+00,-2.79999999999999982e+00,-6.96933488588779415e+00,3.06448573479253028e-01
-2.79999999999999982e+00,-2.69999999999999973e+00,-2.32574757302636819e+01,8.23296729787872383e-01
-2.69999999999999973e+00,-2.59999999999999964e+00,-6.50165608410694063e+01,1.89181951773361834e+00
-2.60000000000000009e+00,-2.50000000000000000e+00,-1.47436063690884737e+02,3.53773377742199235e+00
-2.50000000000000000e+00,-2.39999999999999991e+00,-2.98352513322088612e+02,5.95578223348415747e+00
-2.39999999999999991e+00,-2.29999999999999982e+00,-5.62739792024609073e+02,9.51114410371686780e+00
-2.29999999999999982e+00,-2.19999999999999973e+00,-9.36652653118629246e+02,1.40168466577559236e+01
-2.19999999999999973e+00,-2.09999999999999964e+00,-1.41924467590042536e+03,1.92635232864491499e+01
-2.10000000000000009e+00,-2.00000000000000000e+00,-2.02378458900022360e+03,2.59164286008161788e+01
-2.00000000000000000e+00,-1.89999999999999991e+00,-2.82392176778095018e+03,3.38751449473262056e+01
-1.89999999999999991e+00,-1.79999999999999982e+00,-3.64520247757256539e+03,4.24735536960200051e+01
-1.79999999999999982e+00,-1.69999999999999973e+00,-4.69083160409915308e+03,5.30510458213038163e+01
-1.69999999999999996e+00,-1.59999999999999987e+00,-5.83722031051121212e+03,6.50746164069290813e+01
-1.59999999999999987e+00,-1.49999999999999978e+00,-6.99826422268178339e+03,7.74716487126842992e+01
-1.49999999999999978e+00,-1.39999999999999969e+00,-8.38901472630451826e+03,9.25370853895251599e+01
-1.39999999999999991e+00,-1.29999999999999982e+00,-9.81495847409709677e+03,1.08264328342483054e+02
-1.29999999999999982e+00,-1.19999999999999973e+00,-1.13376952595210369e+04,1.25892168955205960e+02
-1.19999999999999973e+00,-1.09999999999999964e+00,-1.26247336318242706e+04,1.41368332130321761e+02
-1.09999999999999987e+00,-9.99999999999999889e-01,-1.43408468502320939e+04,1.60432373892561912e+02
-9.99999999999999778e-01,-8.99999999999999800e-01,-1.61565940039250254e+04,1.80840232095346465e+02
-8.99999999999999800e-01,-7.99999999999999822e-01,-1.74703935637425129e+04,1.97945730606924172e+02
-7.99999999999999822e-01,-6.99999999999999845e-01,-1.89557438868903700e+04,2.15564479251845967e+02
-6.99999999999999845e-01,-5.99999999999999867e-01,-2.00914459314224514e+04,2.29958494929911382e+02
-5.99999999999999867e-01,-4.99999999999999889e-01,-2.14988350898747522e+04,2.46257620640609588e+02
-4.99999999999999778e-01,-3.99999999999999800e-01,-2.23079175642363552e+04,2.57492572842008997e+02
-3.99999999999999800e-01,-2.99999999999999822e-01,-2.34762954349307111e+04,2.70599506885848996e+02
-2.99999999999999822e-01,-1.99999999999999817e-01,-2.36529961435110672e+04,2.76074866590352940e+02
-1.99999999999999789e-01,-9.99999999999997835e-02,-2.45942272318155337e+04,2.84578220860509816e+02
-9.99999999999997835e-02,2.22044604925031308e-16,-2.45095829352694600e+04,2.84778256683050074e+02
2.22044604925031308e-16,1.00000000000000228e-01,-2.39773713481706909e+04,2.81247766275737888e+02
1.00000000000000228e-01,2.00000000000000233e-01,-2.40232051783815514e+04,2.80044517029993244e+02
2.00000000000000233e-01,3.00000000000000266e-01,-2.38602205280553644e+04,2.76606745804325215e+02
3.00000000000000266e-01,4.00000000000000244e-01,-2.32281932261317888e+04,2.68309189535376504e+02
4.00000000000000244e-01,5.00000000000000222e-01,-2.18182735289473676e+04,2.52421897688731150e+02
5.00000000000000222e-01,6.00000000000000200e-01,-2.14296799593881333e+04,2.44736857126388315e+02
6.00000000000000311e-01,7.00000000000000289e-01,-2.03071237789564366e+04,2.30989706126634076e+02
7.00000000000000289e-01,8.00000000000000266e-01,-1.89732282244259586e+04,2.15538625269981821e+02
8.00000000000000266e-01,9.00000000000000244e-01,-1.73108397774898258e+04,1.95246601975931696e+02
9.00000000000000244e-01,1.00000000000000022e+00,-1.63120986045850368e+04,1.82828835550529817e+02
1.00000000000000022e+00,1.10000000000000031e+00,-1.41444163276126510e+04,1.58658953868248631e+02
1.10000000000000031e+00,1.20000000000000040e+00,-1.27652241820599520e+04,1.42682609837191194e+02
1.20000000000000018e+00,1.30000000000000027e+00,-1.12042345004810468e+04,1.24875832981981105e+02
1.30000000000000027e+00,1.40000000000000036e+00,-9.72510712193768450e+03,1.07327260971436019e+02
1.40000000000000036e+00,1.50000000000000044e+00,-8.42428797120144009e+03,9.30212094838344257e+01
1.50000000000000022e+00,1.60000000000000031e+00,-7.03878292371274074e+03,7.76647113598417889e+01
1.60000000000000031e+00,1.70000000000000040e+00,-5.71835373834269558e+03,6.42955858387780097e+01
1.70000000000000040e+00,1.80000000000000049e+00,-4.74227025866985605e+03,5.34817390845763043e+01
1.80000000000000027e+00,1.90000000000000036e+00,-3.61658051813326074e+03,4.22146183073816204e+01
1.90000000000000036e+00,2.00000000000000044e+00,-2.76703847460132192e+03,3.35555046579390890e+01
2.00000000000000044e+00,2.10000000000000053e+00,-2.03468544085305439e+03,2.59257970080746283e+01
2.10000000000000053e+00,2.20000000000000062e+00,-1.37738822268807417e+03,1.89885714524706088e+01
2.20000000000000018e+00,2.30000000000000027e+00,-9.33105121679955005e+02,1.39515798240855418e+01
2.30000000000000027e+00,2.40000000000000036e+00,-5.57074651048324313e+02,9.43653194536732620e+00
2.40000000000000036e+00,2.50000000000000044e+00,-3.06443072545946734e+02,6.07251301330524473e+00
2.50000000000000044e+00,2.60000000000000053e+00,-1.55198454846359908e+02,3.64276147301193776e+00
2.60000000000000053e+00,2.70000000000000062e+00,-6.32244806708323566e+01,1.86484088857665697e+00
2.70000000000000018e+00,2.80000000000000027e+00,-2.31610022645919038e+01,8.36495052829697827e-01
2.80000000000000027e+00,2.90000000000000036e+00,-7.33293454012238399e+00,3.14014886528501291e-01
2.90000000000000036e+00,3.00000000000000044e+00,-1.35288418729240312e+00,7.53568061494618718e-02
3.00000000000000044e+00,3.10000000000000053e+00,-9.98302034282163853e-02,7.90779574271570709e-03
3.10000000000000053e+00,3.20000000000000062e+00,-6.85957268718561026e-04,1.08411416245602198e-04
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
