bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-1.86454317804886816e-03,2.92996631323718629e-04
-3.10000000000000009e+00,-3.00000000000000000e+00,-4.89201418762435891e-01,2.31768578152158691e-02
-3.00000000000000000e+00,-2.89999999999999991e+00,-3.21759706263093825e+00,1.45619930071252013e-01
-2.89999999999999991e+00,-2.79999999999999982e+00,-1.01170255532561750e+01,4.29539324269416489e-01
-2.79999999999999982e+00,-2.69999999999999973e+00,-1.99446606056874529e+01,7.24045774540391207e-01
-2.69999999999999973e+00,-2.59999999999999964e+00,-2.15179237418386826e+01,9.78823703777024767e-01
-2.60000000000000009e+00,-2.50000000000000000e+00,1.03375744844500144e+01,2.16363043756946594e+00
-2.50000000000000000e+00,-2.39999999999999991e+00,9.40520985248445527e+01,4.84661480283113555e+00
-2.39999999999999991e+00,-2.29999999999999982e+00,2.80076936097937448e+02,1.08053242560248073e+01
-2.29999999999999982e+00,-2.19999999999999973e+00,6.02643466703015179e+02,2.06893469152138891e+01
-2.19999999999999973e+00,-2.09999999999999964e+00,1.10997314901875188e+03,3.47966424012261371e+01
-2.10000000000000009e+00,-2.00000000000000000e+00,1.63747492156509406e+03,5.06303267276812008e+01
-2.00000000000000000e+00,-1.89999999999999991e+00,2.36602393072087534e+03,6.84523590196622251e+01
-1.89999999999999991e+00,-1.79999999999999982e+00,3.19523269438254374e+03,8.79195911870219646e+01
-1.79999999999999982e+00,-1.69999999999999973e+00,4.33028016417309573e+03,1.22855154236483472e+02
-1.69999999999999996e+00,-1.59999999999999987e+00,5.48551087283922789e+03,1.53220715387546903e+02
-1.59999999999999987e+00,-1.49999999999999978e+00,7.29151240906058229e+03,1.99295636005517963e+02
-1.49999999999999978e+00,-1.39999999999999969e+00,9.06854649453589809e+03,2.38909222232147926e+02
-1.39999999999999991e+00,-1.29999999999999982e+00,1.07563898852285383e+04,2.88883720294156831e+02
-1.29999999999999982e+00,-1.19999999999999973e+00,1.22948871092926729e+04,3.40609767209269876e+02
-1.19999999999999973e+00,-1.09999999999999964e+00,1.46130785765143191e+04,3.91643939802059435e+02
-1.09999999999999987e+00,-9.99999999999999889e-01,1.62639606835572686e+04,4.33319395370773407e+02
-9.99999999999999778e-01,-8.99999999999999800e-01,1.76266388502731206e+04,4.62451793013654253e+02
-8.99999999999999800e-01,-7.99999999999999822e-01,1.98979858182185853e+04,5.09359826882685695e+02
-7.99999999999999822e-01,-6.99999999999999845e-01,2.17713603713811463e+04,5.34880687322417771e+02
-6.99999999999999845e-01,-5.99999999999999867e-01,2.37718372476846962e+04,6.13261084979399129e+02
-5.99999999999999867e-01,-4.99999999999999889e-01,2.48487891596928894e+04,6.12452871971397826e+02
-4.99999999999999778e-01,-3.99999999999999800e-01,2.59020514465515844e+04,6.61536954291037546e+02
-3.99999999999999800e-01,-2.99999999999999822e-01,2.81502370390408214e+04,7.10659453847671671e+02
-2.99999999999999822e-01,-1.99999999999999817e-01,2.84693545463449518e+04,7.29538232898547335e+02
-1.99999999999999789e-01,-9.99999999999997835e-02,3.07201295117784503e+04,8.07410240762065882e+02
-9.99999999999997835e-02,2.22044604925031308e-16,3.01148949040264961e+04,7.72589167282896483e+02
2.22044604925031308e-16,1.00000000000000228e-01,3.01870784261118824e+04,7.68133354987719486e+02
1.00000000000000228e-01,2.00000000000000233e-01,2.86381338450428957e+04,7.05122384314538294e+02
2.00000000000000233e-01,3.00000000000000266e-01,2.99617995862530661e+04,7.63509601325699464e+02
3.00000000000000266e-01,4.00000000000000244e-01,2.92036344141947811e+04,7.37496498020894364e+02
4.00000000000000244e-01,5.00000000000000222e-01,2.85730271478516734e+04,7.07796450227033006e+02
5.00000000000000222e-01,6.00000000000000200e-01,2.75476912605027064e+04,6.96351940831601382e+02
6.00000000000000311e-01,7.00000000000000289e-01,2.45813736894103458e+04,5.69537773124065438e+02
7.00000000000000289e-01,8.00000000000000266e-01,2.34356732563998339e+04,5.53363826629897744e+02
8.00000000000000266e-01,9.00000000000000244e-01,2.26452909636151235e+04,5.44865317023660054e+02
9.00000000000000244e-01,1.00000000000000022e+00,1.99161035681033245e+04,4.78648625341472723e+02
1.00000000000000022e+00,1.10000000000000031e+00,1.88912187376338006e+04,4.40483873963441113e+02
1.10000000000000031e+00,1.20000000000000040e+00,1.67191683991498212e+04,3.73510110536366028e+02
1.20000000000000018e+00,1.30000000000000027e+00,1.47595106590675332e+04,3.31392198733688474e+02
1.30000000000000027e+00,1.40000000000000036e+00,1.27989180194557302e+04,2.79686840442535413e+02
1.40000000000000036e+00,1.50000000000000044e+00,1.13774568983834852e+04,2.46156961783013713e+02
1.50000000000000022e+00,1.60000000000000031e+00,9.53246044970926414e+03,1.87960814546061357e+02
1.60000000000000031e+00,1.70000000000000040e+00,8.17239394072965024e+03,1.64085371444020325e+02
1.70000000000000040e+00,1.80000000000000049e+00,6.67858127894093559e+03,1.33174125101210990e+02
1.80000000000000027e+00,1.90000000000000036e+00,5.22546399591265799e+03,1.04807846167272274e+02
1.90000000000000036e+00,2.00000000000000044e+00,4.11405831163441053e+03,7.75778001884633426e+01
2.00000000000000044e+00,2.10000000000000053e+00,3.08697330589648163e+03,5.98844411163086718e+01
2.10000000000000053e+00,2.20000000000000062e+00,2.18539474198639391e+03,4.25526294816960160e+01
2.20000000000000018e+00,2.30000000000000027e+00,1.45425184913726025e+03,2.96445674333899696e+01
2.30000000000000027e+00,2.40000000000000036e+00,9.12188971044159075e+02,2.00778772883551753e+01
2.40000000000000036e+00,2.50000000000000044e+00,5.09286437725200074e+02,1.28140980157828661e+01
2.50000000000000044e+00,2.60000000000000053e+00,2.41999382029239285e+02,7.66556581652548541e+00
2.60000000000000053e+00,2.70000000000000062e+00,1.06153918904363636e+02,4.40730043995374476e+00
2.70000000000000018e+00,2.80000000000000027e+00,3.46278221480976498e+01,2.02233956254236036e+00
2.80000000000000027e+00,2.90000000000000036e+00,8.57979881627669450e+00,7.53048468944241156e-01
2.90000000000000036e+00,3.00000000000000044e+00,1.76444591533284134e+00,2.24164609941998327e-01
3.00000000000000044e+00,3.10000000000000053e+00,2.72628635320781465e-01,3.26135039599758231e-02
3.10000000000000053e+00,3.20000000000000062e+00,1.27258968394497267e-03,4.38280511457579236e-04
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
