bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,1.58036030207687130e-05,3.94368860685881390e-06
-3.10000000000000009e+00,-3.00000000000000000e+00,4.08064966678135313e-02,4.27466109935105074e-03
-3.00000000000000000e+00,-2.89999999999999991e+00,9.93360780527900222e-01,5.89191285713308310e-02
-2.89999999999999991e+00,-2.79999999999999982e+00,7.28910261130144743e+00,3.20993937922019967e-01
-2.79999999999999982e+00,-2.69999999999999973e+00,3.31461020766181633e+01,1.20051576769642643e+00
-2.69999999999999973e+00,-2.59999999999999964e+00,9.86799875975407730e+01,3.18635411117291989e+00
-2.60000000000000009e+00,-2.50000000000000000e+00,2.28455571634455225e+02,6.89718796341948082e+00
-2.50000000000000000e+00,-2.39999999999999991e+00,4.87613622364274477e+02,1.34965982013954964e+01
-2.39999999999999991e+00,-2.29999999999999982e+00,9.15441352086481970e+02,2.33889789645396959e+01
-2.29999999999999982e+00,-2.19999999999999973e+00,1.54180919044094594e+03,3.67927889269661534e+01
-2.19999999999999973e+00,-2.09999999999999964e+00,2.47406954757103404e+03,5.52775953192333489e+01
-2.10000000000000009e+00,-2.00000000000000000e+00,3.67100683471796265e+03,7.72848929520017123e+01
-2.00000000000000000e+00,-1.89999999999999991e+00,5.12869757286260392e+03,1.03470287881123298e+02
-1.89999999999999991e+00,-1.79999999999999982e+00,6.85372608693880375e+03,1.32891033387092648e+02
-1.79999999999999982e+00,-1.69999999999999973e+00,8.37885059664231085e+03,1.61405088466686124e+02
-1.69999999999999996e+00,-1.59999999999999987e+00,1.07692558609275329e+04,1.98847635583053602e+02
-1.59999999999999987e+00,-1.49999999999999978e+00,1.32708465862613029e+04,2.36770084842843232e+02
-1.49999999999999978e+00,-1.39999999999999969e+00,1.63842426903082924e+04,2.83107133788253861e+02
-1.39999999999999991e+00,-1.29999999999999982e+00,1.82476172231987875e+04,3.17485494831575409e+02
-1.29999999999999982e+00,-1.19999999999999973e+00,2.10003411587351693e+04,3.59580391021200057e+02
-1.19999999999999973e+00,-1.09999999999999964e+00,2.37218528131114581e+04,4.03488364597558473e+02
-1.09999999999999987e+00,-9.99999999999999889e-01,2.83038616556968373e+04,4.65811688712000034e+02
-9.99999999999999778e-01,-8.99999999999999800e-01,3.03768374905393139e+04,4.98003476753793905e+02
-8.99999999999999800e-01,-7.99999999999999822e-01,3.37621046249261562e+04,5.45117096342580680e+02
-7.99999999999999822e-01,-6.99999999999999845e-01,3.58264348085381571e+04,5.81852544617755029e+02
-6.99999999999999845e-01,-5.99999999999999867e-01,3.87125578224264682e+04,6.20970631171002992e+02
-5.99999999999999867e-01,-4.99999999999999889e-01,4.16761342428141070e+04,6.61131633520326773e+02
-4.99999999999999778e-01,-3.99999999999999800e-01,4.25866978361765432e+04,6.77536567743907995e+02
-3.99999999999999800e-01,-2.99999999999999822e-01,4.47756719828745991e+04,7.10327352654138849e+02
-2.99999999999999822e-01,-1.99999999999999817e-01,4.60004004524819611e+04,7.24191253847443136e+02
-1.99999999999999789e-01,-9.99999999999997835e-02,4.69420787888172636e+04,7.41405461755070633e+02
-9.99999999999997835e-02,2.22044604925031308e-16,4.81068667122487605e+04,7.53403583653162286e+02
2.22044604925031308e-16,1.00000000000000228e-01,4.78925627311063290e+04,7.51759286312964264e+02
1.00000000000000228e-01,2.00000000000000233e-01,4.64136093674098447e+04,7.41155554916633037e+02
2.00000000000000233e-01,3.00000000000000266e-01,4.64196702881724559e+04,7.32513481325559269e+02
3.00000000000000266e-01,4.00000000000000244e-01,4.36222136280996929e+04,7.02115157795540995e+02
4.00000000000000244e-01,5.00000000000000222e-01,4.20051638419160154e+04,6.74756074387178046e+02
5.00000000000000222e-01,6.00000000000000200e-01,4.02751620382858091e+04,6.45685401626583257e+02
6.00000000000000311e-01,7.00000000000000289e-01,3.86597667690482776e+04,6.21459121531298024e+02
7.00000000000000289e-01,8.00000000000000266e-01,3.60402337188409001e+04,5.80362860297801831e+02
8.00000000000000266e-01,9.00000000000000244e-01,3.25703823824232422e+04,5.35037568098730617e+02
9.00000000000000244e-01,1.00000000000000022e+00,3.10822380606571642e+04,5.08160666226171998e+02
1.00000000000000022e+00,1.10000000000000031e+00,2.77104312127434569e+04,4.57571533563826222e+02
1.10000000000000031e+00,1.20000000000000040e+00,2.42752517417864656e+04,4.08630042642729450e+02
1.20000000000000018e+00,1.30000000000000027e+00,2.17741413979228855e+04,3.68466608922839555e+02
1.30000000000000027e+00,1.40000000000000036e+00,1.85836654270397885e+04,3.21159266467836346e+02
1.40000000000000036e+00,1.50000000000000044e+00,1.56727892260542139e+04,2.75426690583411812e+02
1.50000000000000022e+00,1.60000000000000031e+00,1.30542970842847863e+04,2.36109971142778903e+02
1.60000000000000031e+00,1.70000000000000040e+00,1.09229101426284124e+04,1.99949406943856417e+02
1.70000000000000040e+00,1.80000000000000049e+00,8.75318898262560651e+03,1.64414268831623446e+02
1.80000000000000027e+00,1.90000000000000036e+00,6.71394073468436727e+03,1.31089879067496128e+02
1.90000000000000036e+00,2.00000000000000044e+00,5.09018385902446880e+03,1.02650286954220604e+02
2.00000000000000044e+00,2.10000000000000053e+00,3.53947645488141598e+03,7.56022044549250296e+01
2.10000000000000053e+00,2.20000000000000062e+00,2.52464095152993923e+03,5.56957783421036439e+01
2.20000000000000018e+00,2.30000000000000027e+00,1.54053784655543359e+03,3.70239049789594503e+01
2.30000000000000027e+00,2.40000000000000036e+00,8.83291826528346292e+02,2.29226550918225627e+01
2.40000000000000036e+00,2.50000000000000044e+00,5.09011946762128048e+02,1.37524484481898615e+01
2.50000000000000044e+00,2.60000000000000053e+00,2.40365742068190031e+02,7.02429751527016588e+00
2.60000000000000053e+00,2.70000000000000062e+00,9.20373160846862675e+01,3.03896031672512645e+00
2.70000000000000018e+00,2.80000000000000027e+00,2.98702009985668475e+01,1.13124722190480465e+00
2.80000000000000027e+00,2.90000000000000036e+00,7.78240134211015544e+00,3.34111514772423124e-01
2.90000000000000036e+00,3.00000000000000044e+00,9.83114533352622888e-01,5.93774816729477906e-02
3.00000000000000044e+00,3.10000000000000053e+00,3.76765818609992725e-02,4.08855742846538171e-03
3.10000000000000053e+00,3.20000000000000062e+00,1.65719671158128223e-05,3.60543759553310764e-06
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
