bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-2.02883293021643204e-03,2.94966654527923635e-04
-3.10000000000000009e+00,-3.00000000000000000e+00,-4.85461126491463113e-01,2.36767515469679009e-02
-3.00000000000000000e+00,-2.89999999999999991e+00,-2.58168032758923438e+00,1.57762567169432294e-01
-2.89999999999999991e+00,-2.79999999999999982e+00,-4.12525286269255531e+00,5.38000819983411871e-01
-2.79999999999999982e+00,-2.69999999999999973e+00,1.07832453990091768e+01,1.40424071788026672e+00
-2.69999999999999973e+00,-2.59999999999999964e+00,7.48636319535464168e+01,3.33605809193778224e+00
-2.60000000000000009e+00,-2.50000000000000000e+00,2.41548363540310930e+02,7.23545274477288025e+00
-2.50000000000000000e+00,-2.39999999999999991e+00,5.99070553916670519e+02,1.43597205271763979e+01
-2.39999999999999991e+00,-2.29999999999999982e+00,1.24331261189643533e+03,2.58115335836502631e+01
-2.29999999999999982e+00,-2.19999999999999973e+00,2.23254519399247692e+03,4.22919561693482180e+01
-2.19999999999999973e+00,-2.09999999999999964e+00,3.74654302117773523e+03,6.54579035123462205e+01
-2.10000000000000009e+00,-2.00000000000000000e+00,5.55086037325233974e+03,9.26028680872582157e+01
-2.00000000000000000e+00,-1.89999999999999991e+00,7.86619994709745879e+03,1.24379917042746996e+02
-1.89999999999999991e+00,-1.79999999999999982e+00,1.05486596512386295e+04,1.59775001102816560e+02
-1.79999999999999982e+00,-1.69999999999999973e+00,1.33629764644812949e+04,2.03407886586821803e+02
-1.69999999999999996e+00,-1.59999999999999987e+00,1.71208972507924518e+04,2.51784221406981686e+02
-1.59999999999999987e+00,-1.49999999999999978e+00,2.15861057738920717e+04,3.10361952061620173e+02
-1.49999999999999978e+00,-1.39999999999999969e+00,2.67465210406624574e+04,3.71563919344578835e+02
-1.39999999999999991e+00,-1.29999999999999982e+00,3.05335164252232535e+04,4.30615912283823093e+02
-1.29999999999999982e+00,-1.19999999999999973e+00,3.51006314592504423e+04,4.96906440944557687e+02
-1.19999999999999973e+00,-1.09999999999999964e+00,4.03036225649130574e+04,5.64236725413290628e+02
-1.09999999999999987e+00,-9.99999999999999889e-01,4.67556811965753441e+04,6.38347237879381623e+02
-9.99999999999999778e-01,-8.99999999999999800e-01,5.05427623728081962e+04,6.82212888591945102e+02
-8.99999999999999800e-01,-7.99999999999999822e-01,5.63867497723803244e+04,7.49508305917079724e+02
-7.99999999999999822e-01,-6.99999999999999845e-01,6.02309308395817934e+04,7.96461517072116294e+02
-6.99999999999999845e-01,-5.99999999999999867e-01,6.51964466786074263e+04,8.80784599951318910e+02
-5.99999999999999867e-01,-4.99999999999999889e-01,6.90270194023033982e+04,9.11870886518915654e+02
-4.99999999999999778e-01,-3.99999999999999800e-01,7.05861094304430444e+04,9.61293326218746415e+02
-3.99999999999999800e-01,-2.99999999999999822e-01,7.43497704401088267e+04,1.02451145134488934e+03
-2.99999999999999822e-01,-1.99999999999999817e-01,7.50364147577398253e+04,1.05033089414345523e+03
-1.99999999999999789e-01,-9.99999999999997835e-02,7.82423201517502021e+04,1.11725320300166049e+03
-9.99999999999997835e-02,2.22044604925031308e-16,8.47587965977485728e+04,1.12494794963276922e+03
2.22044604925031308e-16,1.00000000000000228e-01,8.39037605738467100e+04,1.12943193065443552e+03
1.00000000000000228e-01,2.00000000000000233e-01,7.34172627782578056e+04,1.06500704710920741e+03
2.00000000000000233e-01,3.00000000000000266e-01,7.53795889043843345e+04,1.09828592973802188e+03
3.00000000000000266e-01,4.00000000000000244e-01,7.28876231106625346e+04,1.04815750654817134e+03
4.00000000000000244e-01,5.00000000000000222e-01,7.12475271958513767e+04,1.00284414277086034e+03
5.00000000000000222e-01,6.00000000000000200e-01,6.94320624309712002e+04,9.68622464786964088e+02
6.00000000000000311e-01,7.00000000000000289e-01,6.52579833547964299e+04,8.59183270178883959e+02
7.00000000000000289e-01,8.00000000000000266e-01,6.16563157059564110e+04,8.11827078037299088e+02
8.00000000000000266e-01,9.00000000000000244e-01,5.74588952736778156e+04,7.69830990168250537e+02
9.00000000000000244e-01,1.00000000000000022e+00,5.32560449613090532e+04,7.04238101395060653e+02
1.00000000000000022e+00,1.10000000000000031e+00,4.85256938922130430e+04,6.38728131444300061e+02
1.10000000000000031e+00,1.20000000000000040e+00,4.28928524473911602e+04,5.56392980852145229e+02
1.20000000000000018e+00,1.30000000000000027e+00,3.82075855827565829e+04,4.97467854303903664e+02
1.30000000000000027e+00,1.40000000000000036e+00,3.28240248335365759e+04,4.27370313165344385e+02
1.40000000000000036e+00,1.50000000000000044e+00,2.83223101837311078e+04,3.70619783334431247e+02
1.50000000000000022e+00,1.60000000000000031e+00,2.35938267919486607e+04,3.02725310698648570e+02
1.60000000000000031e+00,1.70000000000000040e+00,1.98841730096158208e+04,2.59344652914629876e+02
1.70000000000000040e+00,1.80000000000000049e+00,1.61163516054542652e+04,2.12161103594382439e+02
1.80000000000000027e+00,1.90000000000000036e+00,1.24148811481102748e+04,1.68232722895786509e+02
1.90000000000000036e+00,2.00000000000000044e+00,9.55846284693675625e+03,1.28967457300691137e+02
2.00000000000000044e+00,2.10000000000000053e+00,6.87093522986868265e+03,9.66470512175064016e+01
2.10000000000000053e+00,2.20000000000000062e+00,4.86610332956646653e+03,7.02167747623147989e+01
2.20000000000000018e+00,2.30000000000000027e+00,3.08722305485679817e+03,4.75055684683372021e+01
2.30000000000000027e+00,2.40000000000000036e+00,1.84386371091686988e+03,3.05119112882249617e+01
2.40000000000000036e+00,2.50000000000000044e+00,1.03532196141134978e+03,1.88113898176528451e+01
2.50000000000000044e+00,2.60000000000000053e+00,4.85513278768603641e+02,1.04020008675632738e+01
2.60000000000000053e+00,2.70000000000000062e+00,1.95964224482482479e+02,5.35525322937915593e+00
2.70000000000000018e+00,2.80000000000000027e+00,6.20152550122881010e+01,2.31860800215706897e+00
2.80000000000000027e+00,2.90000000000000036e+00,1.50177504827819916e+01,8.25072319103905438e-01
2.90000000000000036e+00,3.00000000000000044e+00,2.32261946381796136e+00,2.32475686115915625e-01
3.00000000000000044e+00,3.10000000000000053e+00,2.69213063027161859e-01,3.29633604980792694e-02
3.10000000000000053e+00,3.20000000000000062e+00,1.06805705135270580e-03,4.40035279245310005e-04
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
