bin_low_gev,bin_high_gev,value,error
-4.00000000000000000e+00,-3.89999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.89999999999999991e+00,-3.79999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,-3.69999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.70000000000000018e+00,-3.60000000000000009e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,-3.50000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.50000000000000000e+00,-3.39999999999999991e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,-3.29999999999999982e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.29999999999999982e+00,-3.19999999999999973e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,-3.10000000000000009e+00,-2.70499652909697534e-19,1.69203872671200003e-19
-3.10000000000000009e+00,-3.00000000000000000e+00,3.48675871534681492e-13,2.46626945744025882e-13
-3.00000000000000000e+00,-2.89999999999999991e+00,-2.04952559100876584e-09,1.25979248174089107e-09
-2.89999999999999991e+00,-2.79999999999999982e+00,-7.57642285104954606e-09,8.22086668008749633e-09
-2.79999999999999982e+00,-2.69999999999999973e+00,-1.97133973443677239e-07,1.73587033366857690e-07
-2.69999999999999973e+00,-2.59999999999999964e+00,2.81155867199598031e-06,1.99887556447017308e-06
-2.60000000000000009e+00,-2.50000000000000000e+00,1.16567574160961743e-05,6.90695169647631480e-06
-2.50000000000000000e+00,-2.39999999999999991e+00,-4.12396372716782337e-05,4.19137649945712601e-05
-2.39999999999999991e+00,-2.29999999999999982e+00,2.02860521209600347e-04,3.34068074421111716e-04
-2.29999999999999982e+00,-2.19999999999999973e+00,2.96410886140065449e-04,3.99603870389806781e-04
-2.19999999999999973e+00,-2.09999999999999964e+00,3.94859660023453760e-04,7.44295583941368549e-03
-2.10000000000000009e+00,-2.00000000000000000e+00,-2.15857895045546561e-02,2.26499899311776685e-02
-2.00000000000000000e+00,-1.89999999999999991e+00,8.44758467653863518e-03,8.94047607893348403e-03
-1.89999999999999991e+00,-1.79999999999999982e+00,2.49744739772425860e-02,1.28652021498617458e-01
-1.79999999999999982e+00,-1.69999999999999973e+00,-1.69155355343787034e-01,1.22491553303909470e-01
-1.69999999999999996e+00,-1.59999999999999987e+00,-3.51132636833475398e-01,6.12676448210595415e-01
-1.59999999999999987e+00,-1.49999999999999978e+00,-4.09190852444954511e-01,1.14386688489137778e+00
-1.49999999999999978e+00,-1.39999999999999969e+00,-4.80932620451682347e+00,2.18353025128664191e+00
-1.39999999999999991e+00,-1.29999999999999982e+00,-1.15554940748887560e+01,6.33825544839306598e+00
-1.29999999999999982e+00,-1.19999999999999973e+00,-1.78371989968442186e+01,5.79136952875120414e+00
-1.19999999999999973e+00,-1.09999999999999964e+00,-3.83265551867421195e+01,1.52785451581270806e+01
-1.09999999999999987e+00,-9.99999999999999889e-01,-8.01548135739509462e+01,1.63212748463366815e+01
-9.99999999999999778e-01,-8.99999999999999800e-01,-7.47665128125925662e+01,2.08146401608448919e+01
-8.99999999999999800e-01,-7.99999999999999822e-01,-2.49074548074764209e+02,3.56205659629101348e+01
-7.99999999999999822e-01,-6.99999999999999845e-01,-4.70209146562818432e+02,7.34254320685945601e+01
-6.99999999999999845e-01,-5.99999999999999867e-01,-7.45999690560015893e+02,9.42764482417296108e+01
-5.99999999999999867e-01,-4.99999999999999889e-01,-1.17283962168399239e+03,1.15812975461113751e+02
-4.99999999999999778e-01,-3.99999999999999800e-01,-1.71661034142183166e+03,1.45175249612164890e+02
-3.99999999999999800e-01,-2.99999999999999822e-01,-2.59104181040725143e+03,1.81591291085273923e+02
-2.99999999999999822e-01,-1.99999999999999817e-01,-3.47580959026130495e+03,1.97985060745230697e+02
-1.99999999999999789e-01,-9.99999999999997835e-02,-3.67657401192944917e+03,1.97182106833995846e+02
-9.99999999999997835e-02,2.22044604925031308e-16,2.34969317603539139e+03,3.05414365073467025e+02
2.22044604925031308e-16,1.00000000000000228e-01,1.73179575824580934e+03,3.35872647103981819e+02
1.00000000000000228e-01,2.00000000000000233e-01,-5.63751049479105586e+03,2.83627918065206302e+02
2.00000000000000233e-01,3.00000000000000266e-01,-5.01616208943187576e+03,2.82045788108682075e+02
3.00000000000000266e-01,4.00000000000000244e-01,-3.82278475975830770e+03,2.34584182852445394e+02
4.00000000000000244e-01,5.00000000000000222e-01,-3.01763200015802022e+03,2.07979608563499966e+02
5.00000000000000222e-01,6.00000000000000200e-01,-2.06289668521297062e+03,1.74841152378182755e+02
6.00000000000000311e-01,7.00000000000000289e-01,-1.41200723303688937e+03,1.49677000957164893e+02
7.00000000000000289e-01,8.00000000000000266e-01,-1.02564186021778414e+03,1.07292212157108068e+02
8.00000000000000266e-01,9.00000000000000244e-01,-5.73780747508497939e+02,7.63174170169870507e+01
9.00000000000000244e-01,1.00000000000000022e+00,-4.94902995141078918e+02,7.27767899344356550e+01
1.00000000000000022e+00,1.10000000000000031e+00,-3.11169539509432809e+02,4.64099496444183615e+01
1.10000000000000031e+00,1.20000000000000040e+00,-1.59558236596312128e+02,3.32063818316101518e+01
1.20000000000000018e+00,1.30000000000000027e+00,-1.03978030355064732e+02,1.88719647396686803e+01
1.30000000000000027e+00,1.40000000000000036e+00,-5.11101969201976090e+01,1.31567957222364473e+01
1.40000000000000036e+00,1.50000000000000044e+00,-3.05587466467084816e+01,9.31035253829297993e+00
1.50000000000000022e+00,1.60000000000000031e+00,-1.46397349084622057e+01,5.15623040570845426e+00
1.60000000000000031e+00,1.70000000000000040e+00,-8.42918358820368674e+00,3.18407102882314241e+00
1.70000000000000040e+00,1.80000000000000049e+00,-3.15039616333508166e+00,1.15191422964568568e+00
1.80000000000000027e+00,1.90000000000000036e+00,-1.39138583251917813e+00,6.44671399598792161e-01
1.90000000000000036e+00,2.00000000000000044e+00,-1.80269342591739035e+00,7.63741704706590196e-01
2.00000000000000044e+00,2.10000000000000053e+00,-2.86671528186154212e-01,8.38145252662147455e-02
2.10000000000000053e+00,2.20000000000000062e+00,2.34775068879699428e-02,3.37736631974852389e-02
2.20000000000000018e+00,2.30000000000000027e+00,-1.51568754753237910e-02,1.28124522016206353e-02
2.30000000000000027e+00,2.40000000000000036e+00,-1.11226614439270573e-02,6.88931458674387105e-03
2.40000000000000036e+00,2.50000000000000044e+00,-3.47442864603014724e-04,3.27560374315275838e-04
2.50000000000000044e+00,2.60000000000000053e+00,-1.94164679634565511e-04,1.19495951347083746e-04
2.60000000000000053e+00,2.70000000000000062e+00,2.86560216775992550e-05,2.88069201288945164e-05
2.70000000000000018e+00,2.80000000000000027e+00,3.49130677135289598e-06,3.22920012627773423e-06
2.80000000000000027e+00,2.90000000000000036e+00,-8.16062683759611280e-09,5.52202653048529241e-08
2.90000000000000036e+00,3.00000000000000044e+00,7.07067997527239924e-08,4.12642949402215658e-08
3.00000000000000044e+00,3.10000000000000053e+00,-5.16598036100269563e-11,3.84534361501598801e-11
3.10000000000000053e+00,3.20000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.20000000000000018e+00,3.30000000000000027e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.30000000000000027e+00,3.40000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.40000000000000036e+00,3.50000000000000044e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.50000000000000044e+00,3.60000000000000053e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.60000000000000053e+00,3.70000000000000062e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.70000000000000062e+00,3.80000000000000071e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.80000000000000027e+00,3.90000000000000036e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.90000000000000036e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
